anio,iso3,expo_pesca,share_global,pais_nombre,geocodigoFundar,geonombreFundar
1977,DZA,1885706,0.0365733246526247,Argelia,DZA,Argelia
1977,ECU,707316,0.0137184151187915,Ecuador,ECU,Ecuador
1977,EGY,313200,0.0060745234311192,Egipto,EGY,Egipto
1977,ESH,0,0.0,Sáhara Occidental,ESH,Sáhara Occidental
1977,ESP,125170001,2.42767593853038,España,ESP,España
1977,ETH,35897,0.0006962233959351,Etiopía,ETH,Etiopía
1977,FIN,2120298,0.0411232435566896,Finlandia,FIN,Finlandia
1977,FJI,8505999,0.16497410673875,Fiji,FJI,Fiji
1977,FRA,55103451,1.06873309142729,Francia,FRA,Francia
1977,FRO,116441932,2.25839477745462,Islas Feroe,FRO,Islas Feroe
1977,GAB,754430,0.0146321925674944,Gabón,GAB,Gabón
1977,GBR,36091652,0.699998677336526,Reino Unido,GBR,Reino Unido
1977,GHA,327441,0.006350728054946,Ghana,GHA,Ghana
1977,GIB,0,0.0,Gibraltar,GIB,Gibraltar
1977,GIN,0,0.0,Guinea,GIN,Guinea
1977,GLP,211341,0.0040989650589277,Guadalupe,GLP,Guadalupe
1977,GMB,0,0.0,Gambia,GMB,Gambia
1977,GNB,0,0.0,Guinea-Bissau,GNB,Guinea-Bissau
1977,GRC,13367577,0.25926455844122,Grecia,GRC,Grecia
1977,GRD,2120,4.11174638377e-05,Granada,GRD,Granada
1977,GRL,49610350,0.962194232123322,Groenlandia,GRL,Groenlandia
1977,GTM,80656,0.0015643255487239,Guatemala,GTM,Guatemala
1977,GUF,4630185,0.0898025774997339,Guayana Francesa,GUF,Guayana Francesa
1977,GUY,7943265,0.15405986386363,Guyana,GUY,Guyana
1977,HKG,67993481,1.31873561142356,Hong Kong,HKG,Hong Kong
1977,HND,115877,0.0022474379043033,Honduras,HND,Honduras
1977,HTI,7761,0.0001505248287002,Haití,HTI,Haití
1977,HUN,277550,0.0053830906076217,Hungría,HUN,Hungría
1977,IDN,162298004,3.14777467471864,Indonesia,IDN,Indonesia
1977,IND,121096704,2.34867422055973,India,IND,India
1977,IRL,44254698,0.858321200313231,Irlanda,IRL,Irlanda
1977,IRN,4735670,0.0918484622511119,Irán,IRN,Irán
1977,IRQ,26859,0.0005209311137817,Iraq,IRQ,Iraq
1977,ISL,261032479,5.06273279044901,Islandia,ISL,Islandia
1977,ISR,1565907,0.0303708134177956,Israel,ISR,Israel
1977,ITA,53670397,1.04093896594499,Italia,ITA,Italia
1977,JAM,0,0.0,Jamaica,JAM,Jamaica
1977,JOR,183722,0.0035632937222608,Jordania,JOR,Jordania
