"anio","iso3","pais_nombre","produccion_captura","produccion_acuicola","produccion_total","participacion"
"2023","VIR","Islas Vírgenes de EEUU","420","8","428","1.87163923507633e-06"
"2023","ATF","Tierras Australes Francesas","423","0","423","1.84977429074133e-06"
"2023","BMU","Bermuda","395","0","395","1.72733060246531e-06"
"2023","DMA","Dominica","369","2","371","1.62237886965729e-06"
"2023","BES","Bonaire","265","0.5","265.5","1.16102854418871e-06"
"2023","SXM","San Martín (parte holandesa)","253","0","253","1.1063661833512e-06"
"2023","SHN","Santa Elena","248.196","0","248.196","1.08535834483412e-06"
"2023","CYM","Islas Caimán","125","90","215","9.40192606405166e-07"
"2023","ABW","Aruba","170","1.5","171.5","7.49967590690632e-07"
"2023","GUM","Guam","61.241","103","164.241","7.18224064505074e-07"
"2023","WLF","Wallis y Futuna","138.305","0","138.305","6.04806225250542e-07"
"2023","SWZ","Eswatini","65","60","125","5.46623608375097e-07"
"2023","MNP","Islas Marianas","72.307","41","113.307","4.95490249553257e-07"
"2023","BLM","San Barthélemy","100","0","100","4.37298886700077e-07"
"2023","MAF","San Martín (parte francesa)","90","0","90","3.9356899803007e-07"
"2023","TKL","Tokelau","69","0","69","3.01736231823053e-07"
"2023","BTN","Bhután","9","43","52","2.2739542108404e-07"
"2023","NIU","Niue","39","0","39","1.7054656581303e-07"
"2023","MSR","Montserrat","30","0","30","1.31189666010023e-07"
"2023","PCN","Pitcairn","3","0","3","1.31189666010023e-08"
"2023","GIB","Gibraltar","1","0","1","4.37298886700077e-09"
"2023","MCO","Mónaco","1","0","1","4.37298886700077e-09"
"2023","AND","Andorra","0","0","0","0"
"2023","LIE","Liechtenstein","0","0","0","0"
"2023","LUX","Luxemburgo","0","0","0","0"
"2023","MNG","Mongolia","0","0","0","0"
"2023","NFK","Isla Norfolk","0","0","0","0"
"2023","SJM","Islas Svalbard y Jan Mayen","0","0","0","0"
"2023","SMR","San Marino","0","0","0","0"
