"anio","inflacion","iso3"
"2014","0.202","DEU"
"2015","0.201","DEU"
"2016","1.707","DEU"
"2017","1.579","DEU"
"2018","1.846","DEU"
"2019","1.336","DEU"
"2020","-0.534","DEU"
"2021","5.428","DEU"
"2022","10.805","DEU"
"2023","2.971","DEU"
"2000","40.54","GHA"
"2001","21.288","GHA"
"2002","15.171","GHA"
"2003","23.563","GHA"
"2004","11.777","GHA"
"2005","14.838","GHA"
"2006","10.923","GHA"
"2007","12.748","GHA"
"2008","18.133","GHA"
"2009","9.459","GHA"
"2010","6.868","GHA"
"2011","8.372","GHA"
"2012","8.124","GHA"
"2013","13.495","GHA"
"2014","16.987","GHA"
"2015","17.692","GHA"
"2016","15.362","GHA"
"2017","11.821","GHA"
"2018","9.425","GHA"
"2019","7.759","GHA"
"2020","10.473","GHA"
"2021","12.621","GHA"
"2022","52.054","GHA"
"2023","23.158","GHA"
"2000","3.669","GRC"
"2001","3.525","GRC"
"2002","3.498","GRC"
"2003","3.098","GRC"
"2004","3.129","GRC"
"2005","3.504","GRC"
"2006","3.199","GRC"
"2007","3.855","GRC"
"2008","2.193","GRC"
"2009","2.549","GRC"
"2010","5.158","GRC"
"2011","2.177","GRC"
"2012","0.318","GRC"
"2013","-1.816","GRC"
"2014","-2.535","GRC"
"2015","0.392","GRC"
"2016","0.29","GRC"
"2017","0.967","GRC"
"2018","0.632","GRC"
"2019","1.05","GRC"
"2020","-2.39","GRC"
"2021","4.359","GRC"
"2022","7.571","GRC"
"2023","3.688","GRC"
"2000","5.072","GTM"
"2001","8.917","GTM"
"2002","6.31","GTM"
"2003","5.877","GTM"
"2004","9.215","GTM"
"2005","8.563","GTM"
"2006","5.789","GTM"
"2007","8.764","GTM"
"2008","9.401","GTM"
"2009","-0.293","GTM"
"2010","5.402","GTM"
"2011","6.206","GTM"
"2012","3.431","GTM"
"2013","4.396","GTM"
"2014","2.949","GTM"
"2015","3.057","GTM"
"2016","4.241","GTM"
"2017","5.677","GTM"
"2018","2.315","GTM"
"2019","3.407","GTM"
"2020","4.819","GTM"
"2021","3.061","GTM"
"2022","9.241","GTM"
"2023","4.178","GTM"
"2000","7.207","GIN"
"2001","1.13","GIN"
"2002","6.118","GIN"
"2003","12.094","GIN"
"2004","27.644","GIN"
"2005","29.663","GIN"
"2006","39.132","GIN"
"2007","12.822","GIN"
"2008","13.504","GIN"
"2009","7.899","GIN"
"2010","20.803","GIN"
"2011","19.026","GIN"
"2012","12.833","GIN"
"2013","10.548","GIN"
"2014","8.968","GIN"
"2015","7.324","GIN"
"2016","8.701","GIN"
"2017","9.546","GIN"
"2018","9.942","GIN"
"2019","9.122","GIN"
"2020","10.579","GIN"
"2021","12.535","GIN"
"2022","8.613","GIN"
"2023","9.265","GIN"
"2000","9.915","HTI"
"2001","12.761","HTI"
"2002","8.25","HTI"
"2003","33.432","HTI"
"2004","17.252","HTI"
"2005","14.783","HTI"
"2006","9.554","HTI"
"2007","5.669","HTI"
"2008","19.097","HTI"
"2009","-2.678","HTI"
"2010","4.253","HTI"
"2011","7.461","HTI"
"2012","4.726","HTI"
"2013","4.306","HTI"
"2014","3.985","HTI"
"2015","8.439","HTI"
"2016","10.668","HTI"
"2017","10.834","HTI"
"2018","13.255","HTI"
"2019","19.675","HTI"
"2020","25.176","HTI"
"2021","13.062","HTI"
"2022","38.656","HTI"
"2023","31.839","HTI"
"2000","10.1","HND"
"2001","8.81","HND"
"2002","8.097","HND"
"2003","6.795","HND"
"2004","9.183","HND"
"2005","7.748","HND"
"2006","5.286","HND"
"2007","8.873","HND"
"2008","10.831","HND"
"2009","2.951","HND"
"2010","6.485","HND"
"2011","5.605","HND"
"2012","5.391","HND"
"2013","4.917","HND"
"2014","5.82","HND"
"2015","2.357","HND"
"2016","3.315","HND"
"2017","4.728","HND"
"2018","4.224","HND"
"2019","4.084","HND"
"2020","4.013","HND"
"2021","5.316","HND"
"2022","9.796","HND"
"2023","5.19","HND"
"2000","-2.083","HKG"
"2001","-3.546","HKG"
"2002","-1.618","HKG"
"2003","-1.794","HKG"
"2004","0.304","HKG"
"2005","1.366","HKG"
"2006","2.246","HKG"
"2007","3.807","HKG"
"2008","2.116","HKG"
"2009","1.519","HKG"
"2010","2.993","HKG"
"2011","5.68","HKG"
"2012","3.625","HKG"
"2013","4.343","HKG"
"2014","4.855","HKG"
"2015","2.315","HKG"
"2016","1.185","HKG"
"2017","1.704","HKG"
"2018","2.513","HKG"
"2019","2.86","HKG"
"2020","-0.894","HKG"
"2021","2.405","HKG"
"2022","1.957","HKG"
"2023","2.372","HKG"
"2000","10.081","HUN"
"2001","6.818","HUN"
"2002","4.817","HUN"
"2003","5.731","HUN"
"2004","5.451","HUN"
"2005","3.332","HUN"
"2006","6.523","HUN"
"2007","7.38","HUN"
"2008","3.5","HUN"
"2009","5.558","HUN"
"2010","4.674","HUN"
"2011","4.073","HUN"
"2012","4.978","HUN"
"2013","0.413","HUN"
"2014","-0.931","HUN"
"2015","0.873","HUN"
"2016","1.767","HUN"
"2017","2.139","HUN"
"2018","2.738","HUN"
"2019","3.995","HUN"
"2020","2.74","HUN"
"2021","7.363","HUN"
"2022","24.549","HUN"
"2023","5.5","HUN"
"2000","2.932","IND"
"2001","5.611","IND"
"2002","4.775","IND"
"2003","3.851","IND"
"2004","4.388","IND"
"2005","4.085","IND"
"2006","6.769","IND"
"2007","6.446","IND"
"2008","9.059","IND"
"2009","12.575","IND"
"2010","8.561","IND"
"2011","7.773","IND"
"2012","10.488","IND"
"2013","7.663","IND"
"2014","5.272","IND"
"2015","5.259","IND"
"2016","3.569","IND"
"2017","4.594","IND"
"2018","2.465","IND"
"2019","6.668","IND"
"2020","4.867","IND"
"2021","6.344","IND"
"2022","6.206","IND"
"2023","5.071","IND"
"2000","9.33","IDN"
"2001","12.579","IDN"
"2002","9.938","IDN"
"2003","5.186","IDN"
"2004","6.385","IDN"
"2005","17.144","IDN"
"2006","6.593","IDN"
"2007","5.78","IDN"
"2008","11.062","IDN"
"2009","2.779","IDN"
"2010","6.953","IDN"
"2011","3.785","IDN"
"2012","3.647","IDN"
"2013","8.088","IDN"
"2014","8.36","IDN"
"2015","3.353","IDN"
"2016","3.027","IDN"
"2017","3.605","IDN"
"2018","3.163","IDN"
"2019","2.585","IDN"
"2020","1.676","IDN"
"2021","1.879","IDN"
"2022","5.411","IDN"
"2023","2.806","IDN"
"2000","11.111","IRN"
"2001","11.111","IRN"
"2002","18","IRN"
"2003","13.559","IRN"
"2004","15.672","IRN"
"2005","7.742","IRN"
"2006","16.168","IRN"
"2007","22.165","IRN"
"2008","17.722","IRN"
"2009","10.394","IRN"
"2010","19.805","IRN"
"2011","20.596","IRN"
"2012","41.348","IRN"
"2013","19.555","IRN"
"2014","16.223","IRN"
"2015","8.352","IRN"
"2016","11.827","IRN"
"2017","8.31","IRN"
"2018","48.844","IRN"
"2019","21.992","IRN"
"2020","48.698","IRN"
"2021","34.269","IRN"
"2022","54.014","IRN"
"2023","40","IRN"
"2000","4.993","IRQ"
"2001","16.351","IRQ"
"2002","19.334","IRQ"
"2003","35.76","IRQ"
"2004","31.677","IRQ"
"2005","31.616","IRQ"
"2006","64.826","IRQ"
"2007","4.671","IRQ"
"2008","6.752","IRQ"
"2009","-4.413","IRQ"
"2010","3.312","IRQ"
"2011","6.02","IRQ"
"2012","3.614","IRQ"
"2013","3.132","IRQ"
"2014","1.587","IRQ"
"2015","2.31","IRQ"
"2016","-0.67","IRQ"
"2017","0.771","IRQ"
"2018","-0.096","IRQ"
"2019","0.096","IRQ"
"2020","3.155","IRQ"
"2021","5.283","IRQ"
"2022","4.313","IRQ"
"2023","3.966","IRQ"
"2000","4.806","IRL"
"2001","4.331","IRL"
"2002","4.518","IRL"
"2003","3.037","IRL"
"2004","2.381","IRL"
"2005","1.993","IRL"
"2006","3.04","IRL"
"2007","3.267","IRL"
"2008","1.327","IRL"
"2009","-2.518","IRL"
"2010","-0.207","IRL"
"2011","1.449","IRL"
"2012","1.735","IRL"
"2013","0.301","IRL"
"2014","-0.3","IRL"
"2015","0.301","IRL"
"2016","-0.2","IRL"
"2017","0.501","IRL"
"2018","0.798","IRL"
"2019","0.989","IRL"
"2020","-0.979","IRL"
"2021","5.638","IRL"
"2022","8.24","IRL"
"2023","3.201","IRL"
"2000","0","ISR"
"2001","1.409","ISR"
"2002","6.496","ISR"
"2003","-1.886","ISR"
"2004","1.207","ISR"
"2005","2.386","ISR"
"2006","-0.097","ISR"
"2007","3.397","ISR"
"2008","3.805","ISR"
"2009","3.915","ISR"
"2010","2.662","ISR"
"2011","2.17","ISR"
"2012","1.635","ISR"
"2013","1.816","ISR"
"2014","-0.196","ISR"
"2015","-0.997","ISR"
"2016","-0.202","ISR"
"2017","0.4","ISR"
"2018","0.797","ISR"
"2019","0.601","ISR"
"2020","-0.694","ISR"
"2021","2.805","ISR"
"2022","5.263","ISR"
"2023","2.958","ISR"
"2000","2.736","ITA"
"2001","2.264","ITA"
"2002","2.995","ITA"
"2003","2.528","ITA"
"2004","2.343","ITA"
"2005","2.048","ITA"
"2006","2.125","ITA"
"2007","2.775","ITA"
"2008","2.362","ITA"
"2009","1.099","ITA"
"2010","2.065","ITA"
"2011","3.727","ITA"
"2012","2.567","ITA"
"2013","0.601","ITA"
"2014","0","ITA"
"2015","0.1","ITA"
"2016","0.497","ITA"
"2017","0.989","ITA"
"2018","1.175","ITA"
"2019","0.484","ITA"
"2020","-0.289","ITA"
"2021","4.155","ITA"
"2022","12.338","ITA"
"2023","0.495","ITA"
"2000","5.956","JAM"
"2001","8.546","JAM"
"2002","7.225","JAM"
"2003","13.836","JAM"
"2004","13.709","JAM"
"2005","12.561","JAM"
"2006","5.655","JAM"
"2007","16.819","JAM"
"2008","16.844","JAM"
"2009","10.215","JAM"
"2010","11.744","JAM"
"2011","6.008","JAM"
"2012","8.002","JAM"
"2013","9.473","JAM"
"2014","6.357","JAM"
"2015","3.661","JAM"
"2016","1.725","JAM"
"2017","5.235","JAM"
"2018","2.44","JAM"
"2019","6.219","JAM"
"2020","5.18","JAM"
"2021","7.321","JAM"
"2022","9.361","JAM"
"2023","6.9","JAM"
"2000","-0.766","JPN"
"2001","-0.91","JPN"
"2002","-0.536","JPN"
"2003","-0.308","JPN"
"2004","0.527","JPN"
"2005","-0.76","JPN"
"2006","0.368","JPN"
"2007","0.512","JPN"
"2008","1.073","JPN"
"2009","-2","JPN"
"2010","-0.255","JPN"
"2011","-0.302","JPN"
"2012","-0.245","JPN"
"2013","1.397","JPN"
"2014","2.551","JPN"
"2015","0.197","JPN"
"2016","0.267","JPN"
"2017","0.549","JPN"
"2018","0.868","JPN"
"2019","0.51","JPN"
"2020","-0.916","JPN"
"2021","0.513","JPN"
"2022","3.871","JPN"
"2023","2.921","JPN"
"2000","-1.857","JOR"
"2001","3.771","JOR"
"2002","0.507","JOR"
"2003","2.856","JOR"
"2004","3.897","JOR"
"2005","4.171","JOR"
"2006","7.457","JOR"
"2007","4.604","JOR"
"2008","7.379","JOR"
"2009","2.997","JOR"
"2010","5.579","JOR"
"2011","3.034","JOR"
"2012","6.264","JOR"
"2013","3.042","JOR"
"2014","1.646","JOR"
"2015","-1.737","JOR"
"2016","1.219","JOR"
"2017","3.471","JOR"
"2018","3.778","JOR"
"2019","0.68","JOR"
"2020","-0.322","JOR"
"2021","2.345","JOR"
"2022","4.395","JOR"
"2023","2.009","JOR"
"2000","9.8","KAZ"
"2001","6.4","KAZ"
"2002","6.6","KAZ"
"2003","6.8","KAZ"
"2004","6.7","KAZ"
"2005","7.6","KAZ"
"2006","8.4","KAZ"
"2007","18.8","KAZ"
"2008","9.5","KAZ"
"2009","6.2","KAZ"
"2010","7.8","KAZ"
"2011","7.4","KAZ"
"2012","6","KAZ"
"2013","4.8","KAZ"
"2014","7.4","KAZ"
"2015","13.6","KAZ"
"2016","8.5","KAZ"
"2017","7.1","KAZ"
"2018","5.3","KAZ"
"2019","5.4","KAZ"
"2020","7.5","KAZ"
"2021","8.4","KAZ"
"2022","20.3","KAZ"
"2023","9.8","KAZ"
"2000","11.78","KEN"
"2001","1.602","KEN"
"2002","4.247","KEN"
"2003","8.35","KEN"
"2004","17.083","KEN"
"2005","4.912","KEN"
"2006","7.316","KEN"
"2007","5.6","KEN"
"2008","15.478","KEN"
"2009","8.016","KEN"
"2010","4.509","KEN"
"2011","18.934","KEN"
"2012","3.2","KEN"
"2013","7.149","KEN"
"2014","6.019","KEN"
"2015","8.007","KEN"
"2016","6.35","KEN"
"2017","4.496","KEN"
"2018","5.711","KEN"
"2019","7.157","KEN"
"2020","5.617","KEN"
"2021","5.725","KEN"
"2022","9.064","KEN"
"2023","6.636","KEN"
"2000","2.779","KOR"
"2001","3.164","KOR"
"2002","3.733","KOR"
"2003","3.42","KOR"
"2004","3.035","KOR"
"2005","2.618","KOR"
"2006","2.09","KOR"
"2007","3.606","KOR"
"2008","4.139","KOR"
"2009","2.801","KOR"
"2010","3.034","KOR"
"2011","4.158","KOR"
"2012","1.426","KOR"
"2013","1.143","KOR"
"2014","0.833","KOR"
"2015","1.132","KOR"
"2016","1.338","KOR"
"2017","1.407","KOR"
"2018","1.32","KOR"
"2019","0.738","KOR"
"2020","0.613","KOR"
"2021","3.698","KOR"
"2022","5.017","KOR"
"2023","3.158","KOR"
"2000","10.48","KGZ"
"2001","3.685","KGZ"
"2002","2.285","KGZ"
"2003","5.565","KGZ"
"2004","2.764","KGZ"
"2005","4.921","KGZ"
"2006","5.098","KGZ"
"2007","20.094","KGZ"
"2008","20.028","KGZ"
"2009","-0.04","KGZ"
"2010","19.226","KGZ"
"2011","5.708","KGZ"
"2012","7.495","KGZ"
"2013","3.97","KGZ"
"2014","10.475","KGZ"
"2015","3.352","KGZ"
"2016","-0.503","KGZ"
"2017","3.656","KGZ"
"2018","0.486","KGZ"
"2019","3.056","KGZ"
"2020","9.722","KGZ"
"2021","11.195","KGZ"
"2022","14.669","KGZ"
"2023","7.275","KGZ"
"2000","10.56","LAO"
"2001","7.523","LAO"
"2002","15.189","LAO"
"2003","12.624","LAO"
"2004","8.663","LAO"
"2005","8.78","LAO"
"2006","4.546","LAO"
"2007","5.745","LAO"
"2008","3.174","LAO"
"2009","3.926","LAO"
"2010","5.758","LAO"
"2011","7.696","LAO"
"2012","4.733","LAO"
"2013","6.65","LAO"
"2014","2.399","LAO"
"2015","0.897","LAO"
"2016","2.487","LAO"
"2017","0.148","LAO"
"2018","1.485","LAO"
"2019","6.284","LAO"
"2020","3.226","LAO"
"2021","5.268","LAO"
"2022","39.266","LAO"
"2023","24.369","LAO"
"2000","3.204","LBR"
"2001","19.313","LBR"
"2002","11.095","LBR"
"2003","5.037","LBR"
"2004","7.524","LBR"
"2005","7","LBR"
"2006","11.911","LBR"
"2007","11.659","LBR"
"2008","9.388","LBR"
"2009","9.708","LBR"
"2010","6.618","LBR"
"2011","11.449","LBR"
"2012","7.709","LBR"
"2013","8.494","LBR"
"2014","7.661","LBR"
"2015","8.039","LBR"
"2016","12.518","LBR"
"2017","13.894","LBR"
"2018","28.525","LBR"
"2019","20.251","LBR"
"2020","13.122","LBR"
"2021","5.459","LBR"
"2022","9.185","LBR"
"2023","10.015","LBR"
"2000","-6.609","LBY"
"2001","-10.28","LBY"
"2002","-7.268","LBY"
"2003","-1.259","LBY"
"2004","-3.5","LBY"
"2005","9.812","LBY"
"2006","2.741","LBY"
"2007","7.332","LBY"
"2008","9.846","LBY"
"2009","0.328","LBY"
"2010","3.325","LBY"
"2011","26.646","LBY"
"2012","-3.674","LBY"
"2013","1.704","LBY"
"2014","7.138","LBY"
"2015","16.9","LBY"
"2016","23.983","LBY"
"2017","27.979","LBY"
"2018","-1.191","LBY"
"2019","0.214","LBY"
"2020","2.817","LBY"
"2021","3.702","LBY"
"2022","4.106","LBY"
"2023","2.564","LBY"
"2000","1.665","LTU"
"2001","2.03","LTU"
"2002","-0.895","LTU"
"2003","-1.305","LTU"
"2004","2.847","LTU"
"2005","2.994","LTU"
"2006","4.553","LTU"
"2007","8.198","LTU"
"2008","8.462","LTU"
"2009","1.174","LTU"
"2010","3.624","LTU"
"2011","3.475","LTU"
"2012","2.916","LTU"
"2013","0.53","LTU"
"2014","-0.189","LTU"
"2015","-0.249","LTU"
"2016","1.96","LTU"
"2017","3.806","LTU"
"2018","1.758","LTU"
"2019","2.73","LTU"
"2020","-0.072","LTU"
"2021","10.702","LTU"
"2022","19.98","LTU"
"2023","0.633","LTU"
"2000","9.864","MDG"
"2001","5.683","MDG"
"2002","13.521","MDG"
"2003","-0.79","MDG"
"2004","27.327","MDG"
"2005","11.44","MDG"
"2006","10.829","MDG"
"2007","8.214","MDG"
"2008","10.141","MDG"
"2009","7.994","MDG"
"2010","10.195","MDG"
"2011","6.903","MDG"
"2012","5.778","MDG"
"2013","6.258","MDG"
"2014","6.026","MDG"
"2015","7.563","MDG"
"2016","5.952","MDG"
"2017","10.598","MDG"
"2018","6.943","MDG"
"2019","3.975","MDG"
"2020","4.569","MDG"
"2021","6.158","MDG"
"2022","10.823","MDG"
"2023","7.451","MDG"
"2000","35.445","MWI"
"2001","22.121","MWI"
"2002","11.48","MWI"
"2003","9.824","MWI"
"2004","13.695","MWI"
"2005","16.561","MWI"
"2006","10.138","MWI"
"2007","7.523","MWI"
"2008","9.945","MWI"
"2009","7.58","MWI"
"2010","6.27","MWI"
"2011","9.798","MWI"
"2012","34.577","MWI"
"2013","23.5","MWI"
"2014","24.152","MWI"
"2015","24.855","MWI"
"2016","19.969","MWI"
"2017","7.061","MWI"
"2018","9.892","MWI"
"2019","11.527","MWI"
"2020","7.645","MWI"
"2021","11.529","MWI"
"2022","25.43","MWI"
"2023","40.014","MWI"
"2000","1.204","MYS"
"2001","1.189","MYS"
"2002","1.603","MYS"
"2003","1.157","MYS"
"2004","2.183","MYS"
"2005","3.211","MYS"
"2006","3.146","MYS"
"2007","2.288","MYS"
"2008","4.473","MYS"
"2009","1.019","MYS"
"2010","2.119","MYS"
"2011","2.964","MYS"
"2012","1.248","MYS"
"2013","3.223","MYS"
"2014","2.663","MYS"
"2015","2.683","MYS"
"2016","1.742","MYS"
"2017","3.51","MYS"
"2018","0.165","MYS"
"2019","0.991","MYS"
"2020","-1.39","MYS"
"2021","3.234","MYS"
"2022","3.775","MYS"
"2023","2.489","MYS"
"2000","2.586","MLI"
"2001","5.182","MLI"
"2002","4.128","MLI"
"2003","-4.987","MLI"
"2004","1.48","MLI"
"2005","3.316","MLI"
"2006","3.594","MLI"
"2007","2.354","MLI"
"2008","8.051","MLI"
"2009","1.479","MLI"
"2010","1.833","MLI"
"2011","5.259","MLI"
"2012","2.4","MLI"
"2013","0","MLI"
"2014","1.147","MLI"
"2015","0.965","MLI"
"2016","-0.758","MLI"
"2017","1.747","MLI"
"2018","0.78","MLI"
"2019","-3.32","MLI"
"2020","0.721","MLI"
"2021","8.847","MLI"
"2022","7.763","MLI"
"2023","-0.58","MLI"
"2000","5.578","MRT"
"2001","1.732","MRT"
"2002","8.402","MRT"
"2003","2.398","MRT"
"2004","16.144","MRT"
"2005","5.805","MRT"
"2006","8.887","MRT"
"2007","7.41","MRT"
"2008","3.906","MRT"
"2009","4.915","MRT"
"2010","6.143","MRT"
"2011","5.472","MRT"
"2012","3.405","MRT"
"2013","4.486","MRT"
"2014","5.001","MRT"
"2015","-2.83","MRT"
"2016","2.77","MRT"
"2017","1.236","MRT"
"2018","3.154","MRT"
"2019","2.702","MRT"
"2020","1.826","MRT"
"2021","5.707","MRT"
"2022","11.014","MRT"
"2023","1.569","MRT"
"2000","8.959","MEX"
"2001","4.403","MEX"
"2002","5.7","MEX"
"2003","3.977","MEX"
"2004","5.191","MEX"
"2005","3.333","MEX"
"2006","4.053","MEX"
"2007","3.759","MEX"
"2008","6.528","MEX"
"2009","3.574","MEX"
"2010","4.402","MEX"
"2011","3.819","MEX"
"2012","3.568","MEX"
"2013","3.974","MEX"
"2014","4.081","MEX"
"2015","2.131","MEX"
"2016","3.36","MEX"
"2017","6.773","MEX"
"2018","4.831","MEX"
"2019","2.829","MEX"
"2020","3.15","MEX"
"2021","7.355","MEX"
"2022","7.817","MEX"
"2023","4.42","MEX"
"2000","8.718","MNG"
"2001","7.547","MNG"
"2002","1.754","MNG"
"2003","4.31","MNG"
"2004","11.157","MNG"
"2005","9.665","MNG"
"2006","4.746","MNG"
"2007","17.55","MNG"
"2008","22.254","MNG"
"2009","4.147","MNG"
"2010","9.513","MNG"
"2011","10.505","MNG"
"2012","14.26","MNG"
"2013","12","MNG"
"2014","11.571","MNG"
"2015","2.049","MNG"
"2016","1.255","MNG"
"2017","6.32","MNG"
"2018","8.159","MNG"
"2019","5.28","MNG"
"2020","2.559","MNG"
"2021","13.872","MNG"
"2022","13.234","MNG"
"2023","7.895","MNG"
"2000","1.67","MAR"
"2001","1.706","MAR"
"2002","1.429","MAR"
"2003","1.776","MAR"
"2004","0.542","MAR"
"2005","2.095","MAR"
"2006","3.283","MAR"
"2007","1.986","MAR"
"2008","4.229","MAR"
"2009","-1.614","MAR"
"2010","2.22","MAR"
"2011","0.869","MAR"
"2012","2.583","MAR"
"2013","0.42","MAR"
"2014","1.672","MAR"
"2015","0.617","MAR"
"2016","1.736","MAR"
"2017","1.606","MAR"
"2018","0.198","MAR"
"2019","1.085","MAR"
"2020","-0.293","MAR"
"2021","3.229","MAR"
"2022","8.341","MAR"
"2023","3.412","MAR"
"2000","11.438","MOZ"
"2001","21.935","MOZ"
"2002","9.119","MOZ"
"2003","13.815","MOZ"
"2004","9.067","MOZ"
"2005","11.148","MOZ"
"2006","9.374","MOZ"
"2007","12.545","MOZ"
"2008","11.831","MOZ"
"2009","2.242","MOZ"
"2010","17.446","MOZ"
"2011","6.141","MOZ"
"2012","2.02","MOZ"
"2013","3.538","MOZ"
"2014","1.925","MOZ"
"2015","10.554","MOZ"
"2016","21.152","MOZ"
"2017","5.648","MOZ"
"2018","3.524","MOZ"
"2019","3.503","MOZ"
"2020","3.52","MOZ"
"2021","6.74","MOZ"
"2022","10.288","MOZ"
"2023","4.251","MOZ"
"2000","-1.144","MMR"
"2001","-20.926","MMR"
"2002","60.138","MMR"
"2003","24.111","MMR"
"2004","3.068","MMR"
"2005","9.982","MMR"
"2006","24.801","MMR"
"2007","34.227","MMR"
"2008","14.362","MMR"
"2009","-0.121","MMR"
"2010","6.5","MMR"
"2011","3.017","MMR"
"2012","4.116","MMR"
"2013","6.934","MMR"
"2014","3.598","MMR"
"2015","13.591","MMR"
"2016","3.877","MMR"
"2017","3.403","MMR"
"2018","8.588","MMR"
"2019","9.511","MMR"
"2020","2.034","MMR"
"2021","7.277","MMR"
"2022","31.448","MMR"
"2023","20","MMR"
"2000","12.09","NAM"
"2001","9.044","NAM"
"2002","14.254","NAM"
"2003","2.576","NAM"
"2004","4.233","NAM"
"2005","3.585","NAM"
"2006","6.033","NAM"
"2007","5.523","NAM"
"2008","11.165","NAM"
"2009","7.926","NAM"
"2010","3.06","NAM"
"2011","7.397","NAM"
"2012","6.383","NAM"
"2013","4.894","NAM"
"2014","4.634","NAM"
"2015","3.696","NAM"
"2016","7.298","NAM"
"2017","5.167","NAM"
"2018","5.15","NAM"
"2019","2.588","NAM"
"2020","2.361","NAM"
"2021","4.494","NAM"
"2022","6.904","NAM"
"2023","5.523","NAM"
"2000","0.596","NPL"
"2001","3.407","NPL"
"2002","3.51","NPL"
"2003","6.09","NPL"
"2004","2.022","NPL"
"2005","6.65","NPL"
"2006","8.273","NPL"
"2007","4.732","NPL"
"2008","10.695","NPL"
"2009","11.087","NPL"
"2010","9.026","NPL"
"2011","9.582","NPL"
"2012","11.475","NPL"
"2013","7.749","NPL"
"2014","8.084","NPL"
"2015","7.576","NPL"
"2016","10.439","NPL"
"2017","2.711","NPL"
"2018","4.58","NPL"
"2019","6.021","NPL"
"2020","4.776","NPL"
"2021","4.187","NPL"
"2022","8.081","NPL"
"2023","7.437","NPL"
"2000","3.075","NLD"
"2001","5.281","NLD"
"2002","3.298","NLD"
"2003","1.59","NLD"
"2004","1.243","NLD"
"2005","1.959","NLD"
"2006","1.713","NLD"
"2007","1.582","NLD"
"2008","1.658","NLD"
"2009","0.694","NLD"
"2010","1.806","NLD"
"2011","2.451","NLD"
"2012","3.305","NLD"
"2013","1.3","NLD"
"2014","-0.14","NLD"
"2015","0.452","NLD"
"2016","0.76","NLD"
"2017","1.2","NLD"
"2018","1.804","NLD"
"2019","2.696","NLD"
"2020","0.872","NLD"
"2021","6.395","NLD"
"2022","11.026","NLD"
"2023","0.999","NLD"
"2000","3.976","NZL"
"2001","1.816","NZL"
"2002","2.723","NZL"
"2003","1.554","NZL"
"2004","2.7","NZL"
"2005","3.155","NZL"
"2006","2.635","NZL"
"2007","3.184","NZL"
"2008","3.375","NZL"
"2009","1.959","NZL"
"2010","4.026","NZL"
"2011","1.847","NZL"
"2012","0.95","NZL"
"2013","1.625","NZL"
"2014","0.758","NZL"
"2015","0.084","NZL"
"2016","1.336","NZL"
"2017","1.594","NZL"
"2018","1.889","NZL"
"2019","1.854","NZL"
"2020","1.437","NZL"
"2021","5.949","NZL"
"2022","7.219","NZL"
"2023","4.655","NZL"
"2000","9.873","NIC"
"2001","4.838","NIC"
"2002","3.873","NIC"
"2003","6.48","NIC"
"2004","9.256","NIC"
"2005","9.583","NIC"
"2006","9.447","NIC"
"2007","16.877","NIC"
"2008","13.774","NIC"
"2009","0.933","NIC"
"2010","9.23","NIC"
"2011","7.95","NIC"
"2012","6.619","NIC"
"2013","5.675","NIC"
"2014","6.48","NIC"
"2015","3.052","NIC"
"2016","3.13","NIC"
"2017","5.678","NIC"
"2018","3.885","NIC"
"2019","6.13","NIC"
"2020","2.931","NIC"
"2021","7.21","NIC"
"2022","11.593","NIC"
"2023","5.591","NIC"
"2000","4.353","NER"
"2001","3.05","NER"
"2002","0.602","NER"
"2003","-1.512","NER"
"2004","3.691","NER"
"2005","4.164","NER"
"2006","0.328","NER"
"2007","4.746","NER"
"2008","13.594","NER"
"2009","-4.299","NER"
"2010","2.677","NER"
"2011","1.413","NER"
"2012","0.707","NER"
"2013","1.099","NER"
"2014","-0.579","NER"
"2015","2.13","NER"
"2016","-2.156","NER"
"2017","1.747","NER"
"2018","1.618","NER"
"2019","-2.317","NER"
"2020","3.063","NER"
"2021","4.89","NER"
"2022","3.108","NER"
"2023","7.181","NER"
"2000","14.527","NGA"
"2001","16.495","NGA"
"2002","12.169","NGA"
"2003","23.811","NGA"
"2004","10.008","NGA"
"2005","11.565","NGA"
"2006","8.5","NGA"
"2007","6.607","NGA"
"2008","15.052","NGA"
"2009","13.93","NGA"
"2010","11.816","NGA"
"2011","10.287","NGA"
"2012","11.979","NGA"
"2013","7.961","NGA"
"2014","7.978","NGA"
"2015","9.554","NGA"
"2016","18.546","NGA"
"2017","15.368","NGA"
"2018","11.442","NGA"
"2019","11.982","NGA"
"2020","15.754","NGA"
"2021","15.625","NGA"
"2022","21.345","NGA"
"2023","28.921","NGA"
"2000","2.969","NOR"
"2001","2.097","NOR"
"2002","2.696","NOR"
"2003","0.625","NOR"
"2004","1.118","NOR"
"2005","1.843","NOR"
"2006","2.171","NOR"
"2007","2.834","NOR"
"2008","2.181","NOR"
"2009","2.022","NOR"
"2010","2.753","NOR"
"2011","0.107","NOR"
"2012","1.392","NOR"
"2013","2.006","NOR"
"2014","2.07","NOR"
"2015","2.333","NOR"
"2016","3.469","NOR"
"2017","1.628","NOR"
"2018","3.487","NOR"
"2019","1.366","NOR"
"2020","1.438","NOR"
"2021","5.314","NOR"
"2022","5.887","NOR"
"2023","4.766","NOR"
"2000","-1.02","OMN"
"2001","-4.142","OMN"
"2002","-0.101","OMN"
