"anio","codigo","nivel","rubro","precio_relativo"
"2017","01.1.2","3","Carnes y derivados","88.1925030918596"
"2017","01.1.3","3","Pescados y mariscos","94.0636719987761"
"2017","01.1.4","3","Leche, productos lácteos y huevos","98.446821645324"
"2017","01.1.5","3","Aceites, mantecas y otras grasas","105.699983787123"
"2017","01.1.6","3","Frutas","91.8819795852534"
"2017","01.1.7","3","Verduras, tubérculos y legumbres","90.5237083772641"
"2017","01.1.8","3","Azúcar, repostería y postres","95.3136603859558"
"2017","01.1.9","3","Otros alimentos","102.733932901365"
"2017","01.2","2","Bebidas no alcohólicas","97.5610377307647"
"2017","02","1","Bebidas alcohólicas y tabaco","141.323982505317"
"2017","02.1","2","Bebidas alcohólicas","107.944264571574"
"2017","02.1.1","3","Vinos","105.263313490289"
"2017","02.1.2","3","Cerveza","119.804938773677"
"2017","02.2","2","Tabaco","168.881813208628"
"2017","03","1","Prendas de vestir y calzado","97.3789431825746"
"2017","03.1","2","Prendas de vestir","98.0203787408908"
"2017","03.2","2","Calzado","95.3211037064046"
"2017","04","1","Vivienda, agua, electricidad, gas y otros combustibles","133.010049803276"
"2017","04.1","2","Alquiler de la vivienda","96.8001136610966"
"2017","04.2","2","Mantenimiento y reparación de la vivienda","103.251075107834"
"2017","04.3","2","Suministro de agua y otros servicios relacionados con la vivienda","131.152479542312"
"2017","04.3.1","3","Suministro de agua","392.77446251958"
"2017","04.3.2","3","Gastos comunes por la vivienda","99.5708944157621"
"2017","04.4","2","Electricidad, gas y otros combustibles","244.436568033589"
"2017","04.4.1","3","Electricidad","210.810075400959"
"2017","04.4.2","3","Gas","288.873374747414"
"2017","05","1","Equipamiento y mantenimiento del hogar","91.1422553115885"
"2017","05.1","2","Muebles, accesorios y alfombras","91.954040743802"
"2017","05.2","2","Artículos textiles para el hogar","92.1356752784974"
"2017","05.3","2","Electrodomésticos","88.5796031959338"
"2017","05.4","2","Cristalería, vajilla y utensilios para el hogar","88.5325153009791"
"2017","05.5","2","Herramientas y accesorios para la casa y el jardín","86.3862817272367"
"2017","05.6","2","Bienes y servicios para la conservación del hogar","91.9737650142727"
"2017","06","1","Salud","95.0902032382495"
"2017","06.1","2","Medicamentos y productos medicinales","91.1020409154083"
"2017","06.1.1","3","Medicamentos","90.9140020407643"
"2017","06.1.2","3","Productos medicinales","93.6758629650922"
"2017","06.1.3","3","Artefactos y equipos terapéuticos","91.521236218494"
"2017","06.1.4","3","Servicios para pacientes externos","96.0852961253713"
"2017","06.2","2","Seguros médicos","98.3431694448012"
"2017","07","1","Transporte","95.6887198542378"
"2017","07.1","2","Adquisición de vehículos","107.092447290858"
"2017","07.2","2","Funcionamiento de equipos de transporte personal","91.2855545774439"
"2017","07.3","2","Servicios de transporte de pasajeros","95.9754328677572"
"2017","07.3.1","3","Transporte de pasajeros por ferrocarril","90.5657085280877"
"2017","07.3.2","3","Transporte de pasajeros por carretera","98.2375783206185"
"2017","07.3.3","3","Transporte de pasajeros por aire","84.204677379881"
"2017","08","1","Información y comunicación","93.0672132231051"
"2017","09","1","Recreación y cultura","99.0519378141209"
"2017","09.1","2","Productos de recreación","96.4541517248716"
"2017","09.2","2","Servicios de recreación","111.588105465525"
"2017","09.3","2","Servicios culturales","105.297056803501"
"2017","09.4","2","Diarios, libros y artículos de papelería y dibujo","114.178189669705"
"2017","09.5","2","Paquetes turísticos","70.5373146547018"
"2017","10","1","Educación","99.5390184659406"
"2017","11","1","Restaurantes y hoteles","89.1750892415123"
"2017","11.1","2","Servicios de alimentos y bebidas preparadas fuera del hogar","90.1956043517412"
"2017","11.2","2","Servicios de alojamiento","80.7599757562445"
"2017","12","1","Seguros y servicios financieros","90.7270467249234"
"2017","12.1","2","Seguros","92.5258051517584"
"2017","12.2","2","Servicios financieros","78.6979879270315"
"2017","13","1","Cuidado personal, protección social y otros productos","96.8686968131241"
"2017","13.1","2","Cuidado personal","97.3299472488423"
"2017","13.2","2","Efectos personales","82.8122482599024"
"2017","13.3","2","Otros servicios","103.011617300067"
"2018","01","1","Alimentos y bebidas no alcohólicas","91.190221786196"
"2018","01.1","2","Alimentos","90.1369579646149"
"2018","01.1.1","3","Pan y cereales","87.3727917623672"
"2018","01.1.2","3","Carnes y derivados","84.8743486318536"
"2018","01.1.3","3","Pescados y mariscos","98.4401661918899"
"2018","01.1.4","3","Leche, productos lácteos y huevos","95.0121006402329"
"2018","01.1.5","3","Aceites, mantecas y otras grasas","109.796411468711"
"2018","01.1.6","3","Frutas","90.4434981019264"
"2018","01.1.7","3","Verduras, tubérculos y legumbres","88.1357742136232"
"2018","01.1.8","3","Azúcar, repostería y postres","91.1300828372174"
"2018","01.1.9","3","Otros alimentos","105.726652499976"
"2018","01.2","2","Bebidas no alcohólicas","98.7311657049784"
"2018","02","1","Bebidas alcohólicas y tabaco","131.382264498754"
"2018","02.1","2","Bebidas alcohólicas","99.1086406899964"
"2018","02.1.1","3","Vinos","91.8144530939358"
"2018","02.1.2","3","Cerveza","124.404480724665"
"2018","02.2","2","Tabaco","158.027407058185"
"2018","03","1","Prendas de vestir y calzado","89.8124480918728"
"2018","03.1","2","Prendas de vestir","90.2146913634435"
"2018","03.2","2","Calzado","88.5235578518279"
"2018","04","1","Vivienda, agua, electricidad, gas y otros combustibles","146.943725391414"
"2018","04.1","2","Alquiler de la vivienda","97.9451849941039"
"2018","04.2","2","Mantenimiento y reparación de la vivienda","97.896517437657"
"2018","04.3","2","Suministro de agua y otros servicios relacionados con la vivienda","128.233835027954"
"2018","04.3.1","3","Suministro de agua","360.553819314309"
"2018","04.3.2","3","Gastos comunes por la vivienda","100.18994708241"
"2018","04.4","2","Electricidad, gas y otros combustibles","347.92796603065"
"2018","04.4.1","3","Electricidad","294.433419123936"
"2018","04.4.2","3","Gas","418.616843009899"
"2018","05","1","Equipamiento y mantenimiento del hogar","88.289156746626"
"2018","05.1","2","Muebles, accesorios y alfombras","89.8028714130221"
"2018","05.2","2","Artículos textiles para el hogar","90.2534526096599"
"2018","05.3","2","Electrodomésticos","87.2154256892474"
"2018","05.4","2","Cristalería, vajilla y utensilios para el hogar","90.6186076596398"
"2018","05.5","2","Herramientas y accesorios para la casa y el jardín","88.4831415059237"
"2018","05.6","2","Bienes y servicios para la conservación del hogar","87.8535540469024"
"2018","06","1","Salud","92.3265989382034"
"2018","06.1","2","Medicamentos y productos medicinales","88.1150611869802"
"2018","06.1.1","3","Medicamentos","87.2967757416146"
"2018","06.1.2","3","Productos medicinales","105.553413589865"
"2018","06.1.3","3","Artefactos y equipos terapéuticos","87.7015200088052"
"2018","06.1.4","3","Servicios para pacientes externos","89.5569585798844"
"2018","06.2","2","Seguros médicos","97.5700636998341"
"2018","07","1","Transporte","100.215620394179"
"2018","07.1","2","Adquisición de vehículos","111.192012797853"
"2018","07.2","2","Funcionamiento de equipos de transporte personal","94.9727075675214"
"2018","07.3","2","Servicios de transporte de pasajeros","101.554762382873"
"2018","07.3.1","3","Transporte de pasajeros por ferrocarril","85.0036977758598"
"2018","07.3.2","3","Transporte de pasajeros por carretera","104.244234948858"
"2018","07.3.3","3","Transporte de pasajeros por aire","95.03956346247"
"2018","08","1","Información y comunicación","91.9271325588118"
"2018","09","1","Recreación y cultura","96.2387584982158"
"2018","09.1","2","Productos de recreación","94.3591970412501"
"2018","09.2","2","Servicios de recreación","109.621306709055"
"2018","09.3","2","Servicios culturales","97.1742868599518"
"2018","09.4","2","Diarios, libros y artículos de papelería y dibujo","113.480522435893"
"2018","09.5","2","Paquetes turísticos","71.9055828974713"
"2018","10","1","Educación","93.880920312736"
"2018","11","1","Restaurantes y hoteles","85.5451398311851"
"2018","11.1","2","Servicios de alimentos y bebidas preparadas fuera del hogar","86.7017615814435"
"2018","11.2","2","Servicios de alojamiento","76.0061448150892"
"2018","12","1","Seguros y servicios financieros","87.331221427768"
"2018","12.1","2","Seguros","88.710033525857"
"2018","12.2","2","Servicios financieros","78.1131923873171"
"2018","13","1","Cuidado personal, protección social y otros productos","97.2340740197812"
"2018","13.1","2","Cuidado personal","97.6069866866843"
"2018","13.2","2","Efectos personales","86.3173224688704"
"2018","13.3","2","Otros servicios","101.948737459991"
"2019","01","1","Alimentos y bebidas no alcohólicas","94.9713144038094"
"2019","01.1","2","Alimentos","93.9062757492102"
"2019","01.1.1","3","Pan y cereales","91.0856507394882"
"2019","01.1.2","3","Carnes y derivados","88.372209704117"
"2019","01.1.3","3","Pescados y mariscos","103.139235410131"
"2019","01.1.4","3","Leche, productos lácteos y huevos","107.450780024248"
"2019","01.1.5","3","Aceites, mantecas y otras grasas","111.498802984618"
"2019","01.1.6","3","Frutas","80.1924658607777"
"2019","01.1.7","3","Verduras, tubérculos y legumbres","83.9876872759269"
"2019","01.1.8","3","Azúcar, repostería y postres","93.7482201019157"
"2019","01.1.9","3","Otros alimentos","115.187458374574"
"2019","01.2","2","Bebidas no alcohólicas","102.59317144942"
"2019","02","1","Bebidas alcohólicas y tabaco","125.973500029325"
"2019","02.1","2","Bebidas alcohólicas","87.5470441031559"
"2019","02.1.1","3","Vinos","77.6494165407269"
"2019","02.1.2","3","Cerveza","119.45391171675"
"2019","02.2","2","Tabaco","157.697595576886"
"2019","03","1","Prendas de vestir y calzado","86.9740335092865"
"2019","03.1","2","Prendas de vestir","87.1309041910606"
"2019","03.2","2","Calzado","86.4728478462235"
"2019","04","1","Vivienda, agua, electricidad, gas y otros combustibles","146.04672284477"
"2019","04.1","2","Alquiler de la vivienda","86.1564196328877"
"2019","04.2","2","Mantenimiento y reparación de la vivienda","93.8827515485031"
"2019","04.3","2","Suministro de agua y otros servicios relacionados con la vivienda","129.840984308937"
"2019","04.3.1","3","Suministro de agua","378.015825746686"
"2019","04.3.2","3","Gastos comunes por la vivienda","99.883373143984"
"2019","04.4","2","Electricidad, gas y otros combustibles","368.285679391313"
"2019","04.4.1","3","Electricidad","307.520070639997"
"2019","04.4.2","3","Gas","448.583435913892"
"2019","05","1","Equipamiento y mantenimiento del hogar","84.7492086580466"
"2019","05.1","2","Muebles, accesorios y alfombras","82.6871570293145"
"2019","05.2","2","Artículos textiles para el hogar","92.5690194210776"
"2019","05.3","2","Electrodomésticos","97.3026690349211"
"2019","05.4","2","Cristalería, vajilla y utensilios para el hogar","93.3517173656751"
"2019","05.5","2","Herramientas y accesorios para la casa y el jardín","93.1787469303901"
"2019","05.6","2","Bienes y servicios para la conservación del hogar","81.0076018355149"
"2019","06","1","Salud","94.3700288338546"
"2019","06.1","2","Medicamentos y productos medicinales","97.1270530468839"
"2019","06.1.1","3","Medicamentos","97.3405058526568"
"2019","06.1.2","3","Productos medicinales","125.370370418996"
"2019","06.1.3","3","Artefactos y equipos terapéuticos","85.3500192486502"
"2019","06.1.4","3","Servicios para pacientes externos","85.2519820247624"
"2019","06.2","2","Seguros médicos","96.1201426285151"
"2019","07","1","Transporte","102.933814278101"
