"provincia","anio","prop"
"GBA","1998",0.148697352516268
"GBA","1999",0.144581893983691
"GBA","2000",0.127480844307488
"GBA","2001",0.119751510695808
"GBA","2002",0.113361715411003
"GBA","2003",0.116981046556426
"GBA","2004",0.116317425631821
"GBA","2005",0.114200849992476
"GBA","2006",0.110915504917921
"GBA","2007",0.112065458044776
"GBA","2008",0.106955339211254
"GBA","2009",0.111614569077361
"GBA","2010",0.121853890718527
"GBA","2011",0.121758758246935
"GBA","2012",0.119429692911568
"GBA","2013",0.114326540140202
"GBA","2014",0.110588647450325
"GBA","2015",0.112197957501747
"GBA","2016",0.111265693762107
"GBA","2017",0.112649508317493
"GBA","2018",0.112381510336693
"GBA","2019",0.10787829658196
"GBA","2020",0.106975434896863
"GBA","2021",0.105313017774703
"GBA","2022",0.105265434631049
"Jujuy","1996",0.0050332599390786
"Jujuy","1997",0.00631989833811224
"Jujuy","1998",0.00585369103114058
"Jujuy","1999",0.00561501872364072
"Jujuy","2000",0.00541275121633711
"Jujuy","2001",0.00544287779693953
"Jujuy","2002",0.00507921854089111
"Jujuy","2003",0.00454006360621558
"Jujuy","2004",0.00370572703268688
"Jujuy","2005",0.00356232307842713
"Jujuy","2006",0.00350150182208139
"Jujuy","2007",0.00397969294081772
"Jujuy","2008",0.00414194449516009
"Jujuy","2009",0.00411249926910558
"Jujuy","2010",0.00373848509289431
"Jujuy","2011",0.0038321318921712
"Jujuy","2012",0.00324265040843198
"Jujuy","2013",0.00324372417576631
"Jujuy","2014",0.00312085436200464
"Jujuy","2015",0.00340076899213146
"Jujuy","2016",0.00277282630223807
"Jujuy","2017",0.00257846664733016
"Jujuy","2018",0.00262846649689513
"Jujuy","2019",0.00270766323211398
"Jujuy","2020",0.00270595260759131
"Jujuy","2021",0.00296360483934891
"Jujuy","2022",0.00318811385791336
"La Pampa","1996",0.00625490760730556
"La Pampa","1997",0.00604196486612099
"La Pampa","1998",0.00588283458534967
"La Pampa","1999",0.00524870164787391
"La Pampa","2000",0.00487488034075141
"La Pampa","2001",0.00456556734109339
"La Pampa","2002",0.00492646008853349
"La Pampa","2003",0.00455970448038557
"La Pampa","2004",0.00495701148528245
"La Pampa","2005",0.0052858151876014
"La Pampa","2006",0.00516685024965669
"La Pampa","2007",0.00519338266989281
"La Pampa","2008",0.00526687664308457
"La Pampa","2009",0.00454806997265396
"La Pampa","2010",0.00383049658852874
"La Pampa","2011",0.00408585398757535
"La Pampa","2012",0.0037902425630433
"La Pampa","2013",0.00408471881305004
"La Pampa","2014",0.00347520471567201
"La Pampa","2015",0.00365537620762161
"La Pampa","2016",0.00386134580300051
"La Pampa","2017",0.0030179326082944
"La Pampa","2018",0.0030158857648617
"La Pampa","2019",0.00303871397452885
"La Pampa","2020",0.00294270312136433
"La Pampa","2021",0.00289742202548654
"La Pampa","2022",0.00313836716949274
"La Rioja","1996",0.00161515057746552
"La Rioja","1997",0.00188377131016295
"La Rioja","1998",0.00178608353652867
"La Rioja","1999",0.00209699246769153
"La Rioja","2000",0.00207795178770577
"La Rioja","2001",0.00221104099308264
"La Rioja","2002",0.00189619731078707
"La Rioja","2003",0.00217862619639363
"La Rioja","2004",0.00230616147032427
"La Rioja","2005",0.00205742557073513
"La Rioja","2006",0.00199434208547042
"La Rioja","2007",0.00188661805572952
"La Rioja","2008",0.00223267100974532
"La Rioja","2009",0.0020371828235998
"La Rioja","2010",0.00179132290149548
