anio,edad,apertura_sexo,tasa_informalidad_legal
2020,26,femenino,0.508351712265523
2020,26,masculino,0.507371877312147
2020,26,total,0.507791161448488
2020,27,femenino,0.502748471428466
2020,27,masculino,0.509109592514265
2020,27,total,0.506268932671911
2020,28,femenino,0.479485534317835
2020,28,masculino,0.454980194078454
2020,28,total,0.465536033094324
2020,29,femenino,0.458412439446395
2020,29,masculino,0.399132627307121
2020,29,total,0.42495816848107
2020,30,femenino,0.450309515954962
2020,30,masculino,0.345096806248659
2020,30,total,0.390823926300766
2020,31,femenino,0.440010377603245
2020,31,masculino,0.331716553158206
2020,31,total,0.378420127904935
2020,32,femenino,0.375210648151924
2020,32,masculino,0.281211563722775
2020,32,total,0.32030295958187
2020,33,femenino,0.384535251441682
2020,33,masculino,0.275892865941993
2020,33,total,0.32399879740371
2020,34,femenino,0.357065765467548
2020,34,masculino,0.263779240110413
2020,34,total,0.304208167048224
2020,35,femenino,0.286236228909245
2020,35,masculino,0.287467824445682
2020,35,total,0.286919857536828
2020,36,femenino,0.27799297692264
2020,36,masculino,0.284181737329238
2020,36,total,0.281527469729379
2020,37,femenino,0.267825467911551
2020,37,masculino,0.277260375261383
2020,37,total,0.273094730363389
2020,38,femenino,0.270593407982896
2020,38,masculino,0.288731580889321
2020,38,total,0.28078043274512
2020,39,femenino,0.25951999322144
2020,39,masculino,0.267317156228642
2020,39,total,0.263763831083955
2020,40,femenino,0.273342208779798
2020,40,masculino,0.252438971460538
2020,40,total,0.261978527295738
2020,41,femenino,0.266861924571341
2020,41,masculino,0.230196627678015
2020,41,total,0.247411459944324
2020,42,femenino,0.266062530727222
2020,42,masculino,0.220478675587212
2020,42,total,0.242021565525803
2020,43,femenino,0.230231508507924
2020,43,masculino,0.186304562738589
2020,43,total,0.20736935692281
2020,44,femenino,0.223053249454985
2020,44,masculino,0.191296038915914
2020,44,total,0.206303286081378
2020,45,femenino,0.223616309578582
2020,45,masculino,0.173717468405015
2020,45,total,0.197406940232767
2020,46,femenino,0.222144348771348
2020,46,masculino,0.160462738131552
2020,46,total,0.19034115119388
2020,47,femenino,0.222675931209108
2020,47,masculino,0.17789724168952
2020,47,total,0.199814507114141
2020,48,femenino,0.213612155750506
2020,48,masculino,0.168393549354293
2020,48,total,0.189364329666274
2020,49,femenino,0.21768436769777
2020,49,masculino,0.167580166040253
2020,49,total,0.190953143302499
2020,50,femenino,0.259446654522582
2020,50,masculino,0.193077918365967
2020,50,total,0.225246327165553
2020,51,femenino,0.267091549580921
2020,51,masculino,0.201832440255016
2020,51,total,0.234563167681126
2020,52,femenino,0.263583256017401
2020,52,masculino,0.186237807603497
2020,52,total,0.225556549609568
2020,53,femenino,0.284856094866932
2020,53,masculino,0.202956380518773
2020,53,total,0.246741694885039
2020,54,femenino,0.312870383864844
2020,54,masculino,0.221381203610606
2020,54,total,0.271165963898233
2020,55,femenino,0.269937239181152
2020,55,masculino,0.20031354133656
2020,55,total,0.237837867752861
2020,56,femenino,0.261480900648938
2020,56,masculino,0.208663461321415
2020,56,total,0.236062562161431
2020,57,femenino,0.300759563730286
2020,57,masculino,0.219191894883766
2020,57,total,0.259798643362373
2020,58,femenino,0.282566360281581
2020,58,masculino,0.23323797359307
2020,58,total,0.257724965644529
2020,59,femenino,0.268711775555771
2020,59,masculino,0.243841859463671
2020,59,total,0.256131761728368
2020,60,femenino,0.27050071336368
2020,60,masculino,0.24164080813751
2020,60,total,0.254829213495831
2020,61,femenino,0.282573587993368
2020,61,masculino,0.24339020543813
2020,61,total,0.260019495255647
2020,62,femenino,0.251956647497193
2020,62,masculino,0.223967085820247
2020,62,total,0.235307702383168
2020,63,femenino,0.239593670900191
2020,63,masculino,0.177586342661858
2020,63,total,0.199971017234682
2020,64,femenino,0.242499960588337
2020,64,masculino,0.172093187185
2020,64,total,0.193847480248225
2020,65,femenino,0.307467173703125
2020,65,masculino,0.177565266387028
2020,65,total,0.214217700641254
2020,66,femenino,0.388710816537187
2020,66,masculino,0.178622893609513
2020,66,total,0.24393275619222
2020,67,femenino,0.380496935818867
2020,67,masculino,0.183668035688996
2020,67,total,0.243985808748129
2020,68,femenino,0.455539584566388
2020,68,masculino,0.257452986817126
2020,68,total,0.320730340366341
2020,69,femenino,0.510549025442642
2020,69,masculino,0.260989463286138
2020,69,total,0.349880756796863
2020,70,femenino,0.513741181425713
2020,70,masculino,0.303725534084409
2020,70,total,0.390822416302766
2021,18,femenino,0.969227714909668
2021,18,masculino,0.970070102793215
2021,18,total,0.969898330962212
2021,19,femenino,0.886434080058759
2021,19,masculino,0.925772731819546
2021,19,total,0.915780833162323
2021,20,femenino,0.835448718847734
2021,20,masculino,0.847822787347681
2021,20,total,0.844234644391622
2021,21,femenino,0.802343887463767
2021,21,masculino,0.782169904894034
2021,21,total,0.788495180798105
2021,22,femenino,0.76756215899866
2021,22,masculino,0.748232858430775
2021,22,total,0.754990797812597
2021,23,femenino,0.697467070370027
2021,23,masculino,0.683948918307939
2021,23,total,0.689071596453691
2021,24,femenino,0.645778950990843
2021,24,masculino,0.63850558475598
2021,24,total,0.641414599184589
2021,25,femenino,0.573832398404748
2021,25,masculino,0.575066554621401
2021,25,total,0.574561990524163
2021,26,femenino,0.550653762469724
2021,26,masculino,0.548176040402548
2021,26,total,0.54923341847256
2021,27,femenino,0.517449233353645
2021,27,masculino,0.510245232748777
2021,27,total,0.513327756757957
2021,28,femenino,0.527848323464095
2021,28,masculino,0.480161970440164
2021,28,total,0.500078020433282
2021,29,femenino,0.49066508095956
2021,29,masculino,0.444888543055665
2021,29,total,0.464295305370744
2021,30,femenino,0.517192022146722
2021,30,masculino,0.420649244859822
2021,30,total,0.463492996214135
2021,31,femenino,0.494594343939903
2021,31,masculino,0.407058360160095
2021,31,total,0.444537313510561
2021,32,femenino,0.479251854982041
2021,32,masculino,0.380402277334405
2021,32,total,0.422267901228069
2021,33,femenino,0.437152806871319
2021,33,masculino,0.346646165274594
2021,33,total,0.386440108324015
2021,34,femenino,0.424978174383124
2021,34,masculino,0.363075581962183
2021,34,total,0.390715220326867
2021,35,femenino,0.371894850768648
2021,35,masculino,0.32948457939772
2021,35,total,0.347774596034594
2021,36,femenino,0.349113649514839
2021,36,masculino,0.318589000950295
2021,36,total,0.331616648541167
2021,37,femenino,0.335076126813492
2021,37,masculino,0.301847635157114
2021,37,total,0.31621482891138
2021,38,femenino,0.337246432443149
2021,38,masculino,0.293356030068035
2021,38,total,0.3126315295466
2021,39,femenino,0.331425941007755
2021,39,masculino,0.255334215787209
2021,39,total,0.28841630129563
2021,40,femenino,0.342944805647609
2021,40,masculino,0.246208171289371
2021,40,total,0.2893332425415
2021,41,femenino,0.335040828274736
2021,41,masculino,0.212386704911252
2021,41,total,0.270887699679666
2021,42,femenino,0.323754426784029
2021,42,masculino,0.228566700842277
2021,42,total,0.274330240320577
2021,43,femenino,0.315768009759425
2021,43,masculino,0.22948885038183
2021,43,total,0.270318157392275
2021,44,femenino,0.31018185757771
2021,44,masculino,0.234004812900629
2021,44,total,0.27048408016401
2021,45,femenino,0.288001912620169
2021,45,masculino,0.246850598414197
2021,45,total,0.266666396693679
2021,46,femenino,0.285740012054628
2021,46,masculino,0.247509138370132
2021,46,total,0.265242213323651
2021,47,femenino,0.297193364941359
2021,47,masculino,0.222424727527406
2021,47,total,0.257117836762652
2021,48,femenino,0.27846763609915
2021,48,masculino,0.221966369779785
2021,48,total,0.248808311367035
2021,49,femenino,0.286047294707679
2021,49,masculino,0.214705616239538
2021,49,total,0.248607216520998
2021,50,femenino,0.272537139682246
2021,50,masculino,0.211178898878954
2021,50,total,0.240779267855297
2021,51,femenino,0.270005719669862
2021,51,masculino,0.22033550419935
2021,51,total,0.245217948593726
2021,52,femenino,0.236227248441674
2021,52,masculino,0.226876629408768
2021,52,total,0.23166958179209
2021,53,femenino,0.247690707868265
2021,53,masculino,0.228082064768455
2021,53,total,0.238385334957876
2021,54,femenino,0.247483354848556
2021,54,masculino,0.229437375066174
2021,54,total,0.238945695759211
2021,55,femenino,0.254779983360877
2021,55,masculino,0.218672450358207
2021,55,total,0.237294108053957
2021,56,femenino,0.269638253261811
2021,56,masculino,0.199100906365087
2021,56,total,0.235050886916216
2021,57,femenino,0.320503286320396
2021,57,masculino,0.214414130473383
2021,57,total,0.268311192545146
2021,58,femenino,0.292331957933556
2021,58,masculino,0.227236165265057
2021,58,total,0.259287115361722
2021,59,femenino,0.298773815202447
2021,59,masculino,0.2391897147456
2021,59,total,0.267102024233444
2021,60,femenino,0.315567420240073
2021,60,masculino,0.244535401574437
2021,60,total,0.277623595589368
2021,61,femenino,0.305518619003608
2021,61,masculino,0.255943251072109
2021,61,total,0.278092959626382
2021,62,femenino,0.290228620062218
2021,62,masculino,0.264322670602837
2021,62,total,0.274955056957966
2021,63,femenino,0.357388746032849
2021,63,masculino,0.243392698333067
2021,63,total,0.286812703936583
2021,64,femenino,0.39853799781649
2021,64,masculino,0.235482851316537
2021,64,total,0.291991869770094
2021,65,femenino,0.436450243075776
2021,65,masculino,0.25568814638027
2021,65,total,0.315641560944275
2021,66,femenino,0.504068557619875
2021,66,masculino,0.297063535221411
2021,66,total,0.36538409466302
2021,67,femenino,0.536355097037143
2021,67,masculino,0.286600232994236
2021,67,total,0.374600663620631
2021,68,femenino,0.546155247813411
2021,68,masculino,0.34275940393651
2021,68,total,0.410796462334591
2021,69,femenino,0.539428193842995
2021,69,masculino,0.42148702426994
2021,69,total,0.465427273966159
2021,70,femenino,0.625796093122826
2021,70,masculino,0.494318236120536
2021,70,total,0.549101592770372
2022,18,femenino,0.833904308818016
2022,18,masculino,0.911079683563884
2022,18,total,0.879740456091722
2022,19,femenino,0.804415204678363
2022,19,masculino,0.858942090550045
2022,19,total,0.836862638305934
2022,20,femenino,0.790095774364646
