"geocodigoFundar","geonombreFundar","anio","vab_pb","region","participacion"
"AR-S","Santa Fe","2018","45126.70204","Pampeana y AMBA","0.07671"
"AR-S","Santa Fe","2019","45613.28896","Pampeana y AMBA","0.07881"
"AR-S","Santa Fe","2020","42071.14749","Pampeana y AMBA","0.08068"
"AR-S","Santa Fe","2021","47392.06840","Pampeana y AMBA","0.08228"
"AR-S","Santa Fe","2022","48243.69401","Pampeana y AMBA","0.07972"
"AR-S","Santa Fe","2023","46447.58585","Pampeana y AMBA","0.07797"
"AR-G","Santiago del Estero","2004","5165.68941","NOA","0.01253"
"AR-G","Santiago del Estero","2005","5201.63404","NOA","0.01156"
"AR-G","Santiago del Estero","2006","6406.16319","NOA","0.01323"
"AR-G","Santiago del Estero","2007","7162.09847","NOA","0.01369"
"AR-G","Santiago del Estero","2008","7454.66972","NOA","0.01374"
"AR-G","Santiago del Estero","2009","6372.61920","NOA","0.01246"
"AR-G","Santiago del Estero","2010","8384.79266","NOA","0.01490"
"AR-G","Santiago del Estero","2011","8883.76643","NOA","0.01498"
"AR-G","Santiago del Estero","2012","8174.47722","NOA","0.01398"
"AR-G","Santiago del Estero","2013","9182.84877","NOA","0.01536"
"AR-G","Santiago del Estero","2014","10629.10073","NOA","0.01811"
"AR-G","Santiago del Estero","2015","10455.52067","NOA","0.01735"
"AR-G","Santiago del Estero","2016","10749.13446","NOA","0.01824"
"AR-G","Santiago del Estero","2017","11389.75445","NOA","0.01884"
"AR-G","Santiago del Estero","2018","10042.62728","NOA","0.01707"
"AR-G","Santiago del Estero","2019","10559.35390","NOA","0.01824"
"AR-G","Santiago del Estero","2020","9523.96354","NOA","0.01826"
"AR-G","Santiago del Estero","2021","10254.31506","NOA","0.01780"
"AR-G","Santiago del Estero","2022","11004.81509","NOA","0.01818"
"AR-G","Santiago del Estero","2023","9499.45134","NOA","0.01595"
"AR-V","Tierra del Fuego","2004","3329.92129","Patagonia","0.00808"
"AR-V","Tierra del Fuego","2005","3625.85569","Patagonia","0.00805"
"AR-V","Tierra del Fuego","2006","4100.32468","Patagonia","0.00847"
"AR-V","Tierra del Fuego","2007","4258.15779","Patagonia","0.00814"
"AR-V","Tierra del Fuego","2008","4250.45277","Patagonia","0.00783"
"AR-V","Tierra del Fuego","2009","3828.91886","Patagonia","0.00748"
"AR-V","Tierra del Fuego","2010","4809.21183","Patagonia","0.00855"
"AR-V","Tierra del Fuego","2011","5964.93214","Patagonia","0.01006"
"AR-V","Tierra del Fuego","2012","6423.73699","Patagonia","0.01098"
"AR-V","Tierra del Fuego","2013","6429.33917","Patagonia","0.01076"
"AR-V","Tierra del Fuego","2014","5718.74591","Patagonia","0.00975"
"AR-V","Tierra del Fuego","2015","5911.45194","Patagonia","0.00981"
"AR-V","Tierra del Fuego","2016","5631.51542","Patagonia","0.00956"
"AR-V","Tierra del Fuego","2017","5665.80012","Patagonia","0.00937"
"AR-V","Tierra del Fuego","2018","5612.70837","Patagonia","0.00954"
"AR-V","Tierra del Fuego","2019","5082.53404","Patagonia","0.00878"
"AR-V","Tierra del Fuego","2020","4749.31769","Patagonia","0.00911"
"AR-V","Tierra del Fuego","2021","5446.25507","Patagonia","0.00946"
"AR-V","Tierra del Fuego","2022","5848.99252","Patagonia","0.00966"
"AR-V","Tierra del Fuego","2023","5577.54335","Patagonia","0.00936"
"AR-T","Tucumán","2004","7416.99310","NOA","0.01800"
"AR-T","Tucumán","2005","8198.92817","NOA","0.01821"
"AR-T","Tucumán","2006","9085.14036","NOA","0.01876"
"AR-T","Tucumán","2007","9762.86861","NOA","0.01866"
"AR-T","Tucumán","2008","10285.59059","NOA","0.01895"
"AR-T","Tucumán","2009","9836.83136","NOA","0.01923"
"AR-T","Tucumán","2010","10464.52343","NOA","0.01860"
"AR-T","Tucumán","2011","11355.54217","NOA","0.01914"
"AR-T","Tucumán","2012","11245.13232","NOA","0.01923"
"AR-T","Tucumán","2013","11193.52360","NOA","0.01873"
"AR-T","Tucumán","2014","10953.22786","NOA","0.01867"
"AR-T","Tucumán","2015","11262.96475","NOA","0.01869"
"AR-T","Tucumán","2016","11443.95375","NOA","0.01942"
"AR-T","Tucumán","2017","11819.37810","NOA","0.01955"
"AR-T","Tucumán","2018","11939.29133","NOA","0.02030"
"AR-T","Tucumán","2019","12039.89508","NOA","0.02080"
"AR-T","Tucumán","2020","10853.01990","NOA","0.02081"
"AR-T","Tucumán","2021","11828.71798","NOA","0.02054"
"AR-T","Tucumán","2022","11946.74084","NOA","0.01974"
"AR-T","Tucumán","2023","11621.81395","NOA","0.01951"
