"anio","iso3","pib_per_capita","cambio_relativo"
"1976","AUT","19448","3.23334784501524"
"1977","AUT","20350","3.42969090117545"
"1978","AUT","20293","3.41728341314758"
"1979","AUT","21436","3.66608619939051"
"1980","AUT","21932","3.77405311275577"
"1981","AUT","21866","3.75968654767088"
"1982","AUT","22254","3.84414453635176"
"1983","AUT","22944","3.99434044405747"
"1984","AUT","23016","4.01001306051371"
"1985","AUT","23514","4.11841532433609"
"1986","AUT","24039","4.23269481932956"
"1987","AUT","24409","4.31323465389639"
"1988","AUT","25112","4.46626033957336"
"1989","AUT","26078","4.67653461036134"
"1990","AUT","26930","4.8619939050936"
"1991","AUT","27689.7712735808","5.02737729072286"
"1992","AUT","28072.4403464979","5.11067486863253"
"1993","AUT","28101.2286371651","5.11694136638335"
"1994","AUT","28780.7603897884","5.26485859594871"
"1995","AUT","29621.6819241716","5.44790638314576"
"1996","AUT","30413.1566935755","5.62019083447441"
"1997","AUT","31173.0487744938","5.78560051686847"
"1998","AUT","32376.329513091","6.04752492666326"
"1999","AUT","33608.2965466276","6.31569363226548"
"2000","AUT","34796.259482554","6.57428373586287"
"2001","AUT","35272.223953776","6.67788941092207"
"2002","AUT","35823.5873741604","6.79790756947331"
"2003","AUT","36063.1204896524","6.85004799513548"
"2004","AUT","36957.1122496145","7.04464785581508"
"2005","AUT","37642.7621500192","7.19389685459713"
"2006","AUT","38866.8493387811","7.46035031318701"
"2007","AUT","40305.2743067797","7.77345979686105"
"2008","AUT","40964.793352369","7.91702075584872"
"2009","AUT","39463.6569569054","7.59026054786797"
"2010","AUT","40288.3492939002","7.76977564081415"
"2011","AUT","41446","8.0217675228559"
"2012","AUT","41540.9419379778","8.04243403090505"
"2013","AUT","41301.9421470415","7.99040969678744"
"2014","AUT","41250.5059739566","7.97921331605498"
"2015","AUT","41255.7166647847","7.98034755437193"
"2016","AUT","41545.4987022567","8.04342592561094"
"2017","AUT","42216.9196973467","8.18957764417646"
"2018","AUT","43032.2164038714","8.36704754111262"
"2019","AUT","43488.6681205035","8.46640577285665"
"2020","AUT","40503.0408055729","7.81650866468718"
"2021","AUT","42184.6961214896","8.18256336993679"
"2022","AUT","43792.8563998972","8.53262002609864"
"1900","BEL","5947","0"
"1901","BEL","5928","-0.00319488817891378"
"1902","BEL","5960","0.00218597612241456"
"1903","BEL","6013","0.0110980326214898"
"1904","BEL","6091","0.0242138893559778"
"1905","BEL","6188","0.0405246342693795"
"1906","BEL","6244","0.0499411467967041"
"1907","BEL","6268","0.0539767950227006"
"1908","BEL","6269","0.0541449470321171"
"1909","BEL","6330","0.0644022196065244"
"1910","BEL","6478","0.0892887170001682"
"1911","BEL","6612","0.111821086261981"
"1912","BEL","6704","0.1272910711283"
"1913","BEL","6727","0.13115856734488"
"1914","BEL","6253","0.0514545148814529"
"1915","BEL","6150","0.0341348579115521"
"1916","BEL","6503","0.0934925172355809"
"1917","BEL","5609","-0.0568353791827813"
"1918","BEL","4560","-0.233226837060703"
"1919","BEL","5402","-0.0916428451319993"
"1920","BEL","6315","0.0618799394652767"
"1921","BEL","6465","0.0871027408777534"
"1922","BEL","7034","0.182781234235749"
"1923","BEL","7226","0.21506642004372"
"1924","BEL","7393","0.243147805616277"
"1925","BEL","7438","0.25071464604002"
"1926","BEL","7626","0.282327223810324"
"1927","BEL","7847","0.319488817891374"
"1928","BEL","8191","0.377333109130654"
"1929","BEL","8056","0.354632587859425"
"1930","BEL","7936","0.334454346729443"
"1931","BEL","7747","0.302673616949723"
"1932","BEL","7343","0.234740205145451"
"1933","BEL","7461","0.2545821422566"
"1934","BEL","7371","0.239448461409114"
"1935","BEL","7801","0.311753825458214"
"1936","BEL","7831","0.31679838574071"
"1937","BEL","7908","0.329746090465781"
