geocodigoFundar,geonombreFundar,anio,valor_en_porcentaje
ITA,Italia,1994,7.6455235
ITA,Italia,1995,6.312267
ITA,Italia,1996,7.0418596
ITA,Italia,1997,6.921144
ITA,Italia,1998,6.806154
ITA,Italia,1999,7.312841
ITA,Italia,2000,7.155644
ITA,Italia,2001,7.6085052
ITA,Italia,2002,6.7783756
ITA,Italia,2003,6.33908
ITA,Italia,2004,7.220356
ITA,Italia,2005,6.4335437
ITA,Italia,2006,6.729988
ITA,Italia,2007,6.431969
ITA,Italia,2008,8.19532
ITA,Italia,2009,10.585501
ITA,Italia,2010,11.430808
ITA,Italia,2011,12.443046
ITA,Italia,2012,14.165738
ITA,Italia,2013,17.610695
ITA,Italia,2014,19.739758
ITA,Italia,2015,17.510365
ITA,Italia,2016,17.231768
ITA,Italia,2017,16.370815
ITA,Italia,2018,17.727497
ITA,Italia,2019,17.864973
ITA,Italia,2020,20.03473
ITA,Italia,2021,18.57917
ITA,Italia,2022,16.526909
ITA,Italia,2023,19.27818
POL,Polonia,1965,0.35209695
POL,Polonia,1966,0.35020763
POL,Polonia,1967,0.3647668
POL,Polonia,1968,0.35622162
POL,Polonia,1969,0.28452122
POL,Polonia,1970,0.5491499
POL,Polonia,1971,0.48687243
POL,Polonia,1972,0.4683993
POL,Polonia,1973,0.45816857
POL,Polonia,1974,0.620982
POL,Polonia,1975,0.5374193
POL,Polonia,1976,0.4238295
POL,Polonia,1977,0.49482882
POL,Polonia,1978,0.46934918
POL,Polonia,1979,0.42775407
POL,Polonia,1980,0.5173495
POL,Polonia,1981,0.5322904
POL,Polonia,1982,0.39483663
POL,Polonia,1983,0.44284835
POL,Polonia,1984,0.3671588
POL,Polonia,1985,0.4598646
POL,Polonia,1986,0.38169914
POL,Polonia,1987,0.3551029
POL,Polonia,1988,0.36688256
POL,Polonia,1989,0.34613898
POL,Polonia,1990,0.36069712
POL,Polonia,1991,0.37821314
POL,Polonia,1992,0.42480853
POL,Polonia,1993,0.40594903
POL,Polonia,1994,0.4881243
POL,Polonia,1995,0.52282447
POL,Polonia,1996,0.5270424
POL,Polonia,1997,0.55044067
POL,Polonia,1998,0.6830108
POL,Polonia,1999,0.6465405
POL,Polonia,2000,0.6828024
POL,Polonia,2001,0.820305
POL,Polonia,2002,0.81965923
POL,Polonia,2003,0.67546785
POL,Polonia,2004,0.89124244
POL,Polonia,2005,1.1357024
POL,Polonia,2006,1.2500061
POL,Polonia,2007,1.5729033
POL,Polonia,2008,2.2196026
POL,Polonia,2009,3.006513
POL,Polonia,2010,3.4803138
POL,Polonia,2011,4.07828
POL,Polonia,2012,5.280956
POL,Polonia,2013,5.21915
POL,Polonia,2014,6.1203933
POL,Polonia,2015,6.6168427
POL,Polonia,2016,6.1215067
POL,Polonia,2017,6.178931
POL,Polonia,2018,5.8390436
POL,Polonia,2019,6.975435
POL,Polonia,2020,7.9619446
POL,Polonia,2021,7.9004536
POL,Polonia,2022,9.753634
POL,Polonia,2023,12.153621
USA,Estados Unidos,1965,4.4445095
USA,Estados Unidos,1966,4.279533
USA,Estados Unidos,1967,4.687128
USA,Estados Unidos,1968,4.55479
USA,Estados Unidos,1969,4.835468
USA,Estados Unidos,1970,4.7585278
USA,Estados Unidos,1971,5.2267337
USA,Estados Unidos,1972,5.3539753
USA,Estados Unidos,1973,5.580639
USA,Estados Unidos,1974,6.618513
USA,Estados Unidos,1975,7.673963
USA,Estados Unidos,1976,7.3539677
USA,Estados Unidos,1977,7.135481
USA,Estados Unidos,1978,8.192759
USA,Estados Unidos,1979,7.8222456
USA,Estados Unidos,1980,8.033562
USA,Estados Unidos,1981,8.381008
USA,Estados Unidos,1982,9.628787
USA,Estados Unidos,1983,10.2414255
USA,Estados Unidos,1984,10.170345
USA,Estados Unidos,1985,10.443619
USA,Estados Unidos,1986,10.969062
USA,Estados Unidos,1987,10.6732855
USA,Estados Unidos,1988,10.814828
USA,Estados Unidos,1989,11.314343
USA,Estados Unidos,1990,12.344946
USA,Estados Unidos,1991,12.826615
USA,Estados Unidos,1992,12.326641
USA,Estados Unidos,1993,12.3613405
USA,Estados Unidos,1994,12.283415
USA,Estados Unidos,1995,13.024074
USA,Estados Unidos,1996,13.026076
USA,Estados Unidos,1997,12.520234
USA,Estados Unidos,1998,12.582649
USA,Estados Unidos,1999,12.960832
USA,Estados Unidos,2000,12.5096855
USA,Estados Unidos,2001,12.223135
USA,Estados Unidos,2002,12.761281
USA,Estados Unidos,2003,12.659595
USA,Estados Unidos,2004,12.633955
USA,Estados Unidos,2005,12.622984
USA,Estados Unidos,2006,13.152637
USA,Estados Unidos,2007,12.882238
USA,Estados Unidos,2008,13.669933
USA,Estados Unidos,2009,14.773199
USA,Estados Unidos,2010,14.557398
USA,Estados Unidos,2011,15.454604
USA,Estados Unidos,2012,15.393409
USA,Estados Unidos,2013,15.5768
USA,Estados Unidos,2014,15.654351
USA,Estados Unidos,2015,15.890683
USA,Estados Unidos,2016,16.752192
USA,Estados Unidos,2017,17.4596
USA,Estados Unidos,2018,17.020195
USA,Estados Unidos,2019,17.421423
USA,Estados Unidos,2020,19.029835
USA,Estados Unidos,2021,18.441002
USA,Estados Unidos,2022,18.958715
USA,Estados Unidos,2023,19.424026
JPN,Japón,1965,12.283249
JPN,Japón,1966,11.366446
JPN,Japón,1967,8.7683115
JPN,Japón,1968,8.568649
JPN,Japón,1969,7.5400896
JPN,Japón,1970,6.921883
JPN,Japón,1971,7.604537
JPN,Japón,1972,7.281372
JPN,Japón,1973,5.3625164
JPN,Japón,1974,7.222806
JPN,Japón,1975,7.723766
JPN,Japón,1976,8.013285
JPN,Japón,1977,7.167533
JPN,Japón,1978,8.630074
JPN,Japón,1979,9.904713
JPN,Japón,1980,11.597581
JPN,Japón,1981,12.089663
JPN,Japón,1982,13.7297735
JPN,Japón,1983,14.410642
JPN,Japón,1984,14.434469
JPN,Japón,1985,16.46636
JPN,Japón,1986,16.79948
JPN,Japón,1987,17.195314
JPN,Japón,1988,16.458687
JPN,Japón,1989,16.845114
JPN,Japón,1990,16.292274
JPN,Japón,1991,16.927792
JPN,Japón,1992,16.397203
JPN,Japón,1993,18.360931
JPN,Japón,1994,16.882553
JPN,Japón,1995,18.465954
JPN,Japón,1996,18.527014
JPN,Japón,1997,19.81982
JPN,Japón,1998,20.483387
JPN,Japón,1999,19.532808
JPN,Japón,2000,19.299574
JPN,Japón,2001,19.322874
JPN,Japón,2002,18.99829
JPN,Japón,2003,15.727828
JPN,Japón,2004,17.90652
JPN,Japón,2005,17.398203
JPN,Japón,2006,18.350174
JPN,Japón,2007,16.75845
JPN,Japón,2008,15.787935
JPN,Japón,2009,18.051989
JPN,Japón,2010,18.662828
JPN,Japón,2011,13.304927
JPN,Japón,2012,6.467907
JPN,Japón,2013,6.791078
JPN,Japón,2014,6.918495
JPN,Japón,2015,8.25569
JPN,Japón,2016,8.819674
JPN,Japón,2017,9.799341
JPN,Japón,2018,11.399837
JPN,Japón,2019,12.473564
JPN,Japón,2020,13.174351
JPN,Japón,2021,14.319801
JPN,Japón,2022,14.194347
JPN,Japón,2023,16.578276
DZA,Argelia,1965,4.7630677
DZA,Argelia,1966,3.518747
DZA,Argelia,1967,4.291954
DZA,Argelia,1968,5.4861946
DZA,Argelia,1969,3.1827633
DZA,Argelia,1970,4.6656837
DZA,Argelia,1971,2.4559188
DZA,Argelia,1972,3.278343
DZA,Argelia,1973,4.175826
DZA,Argelia,1974,2.494738
DZA,Argelia,1975,1.3782818
DZA,Argelia,1976,1.4010222
DZA,Argelia,1977,0.8817282
DZA,Argelia,1978,0.6521151
DZA,Argelia,1979,0.5792936
DZA,Argelia,1980,0.4290016
DZA,Argelia,1981,0.50294036
DZA,Argelia,1982,0.5708701
DZA,Argelia,1983,0.25644946
