"anio","tipo_energia","valor_en_twh","porcentaje"
2008,"Carbón","40786.047","27.3805871003509"
2009,"Carbón","40189.99","27.396138541669"
2010,"Carbón","41988.312","27.4210206817778"
2011,"Carbón","43940.797","28.1201426670411"
2012,"Carbón","44060.996","27.8539515752448"
2013,"Carbón","44709.242","27.8338176744589"
2014,"Carbón","44893.17","27.6928568988718"
2015,"Carbón","43680.504","26.7737932371648"
2016,"Carbón","42736.863","25.9453570245923"
2017,"Carbón","43193.28","25.6548445476454"
2018,"Carbón","43852.793","25.4028477782798"
2019,"Carbón","43597.164","24.9901220547259"
2020,"Carbón","42296.684","25.0604359498893"
2021,"Carbón","44600.08","25.2205794281901"
2022,"Carbón","44869.12","24.95235268155"
2023,"Carbón","45564.93","24.8676049597822"
1800,"Gas natural","0","0"
1810,"Gas natural","0","0"
1820,"Gas natural","0","0"
1830,"Gas natural","0","0"
1840,"Gas natural","0","0"
1850,"Gas natural","0","0"
1860,"Gas natural","0","0"
1870,"Gas natural","0","0"
1880,"Gas natural","0","0"
1890,"Gas natural","33","0.308876293452355"
1900,"Gas natural","64","0.527564319895873"
1910,"Gas natural","142","0.905862589730302"
1920,"Gas natural","233","1.28894653109408"
1930,"Gas natural","603","3.00450093672417"
1940,"Gas natural","875","3.82608442721852"
1950,"Gas natural","2092","7.32390421509592"
1960,"Gas natural","4472","10.6950109584282"
1965,"Gas natural","6303.8203","12.0019343943421"
1966,"Gas natural","6868.814","12.4997908562215"
1967,"Gas natural","7374.058","13.0087281977251"
1968,"Gas natural","8044.3477","13.5020896828478"
1969,"Gas natural","8833.434","14.0017252752833"
1970,"Gas natural","9614.809","14.4345695014531"
1971,"Gas natural","10293.19","14.9311662928929"
1972,"Gas natural","10861.713","15.032894136234"
1973,"Gas natural","11377.832","14.9831334082795"
1974,"Gas natural","11659.859","15.2708369793667"
1975,"Gas natural","11659.736","15.1678986915833"
1976,"Gas natural","12354.139","15.3434686072093"
1977,"Gas natural","12759.838","15.3489687086371"
1978,"Gas natural","13293.947","15.4474724331076"
1979,"Gas natural","14118.029","15.9263190160423"
1980,"Gas natural","14236.961","16.1777680082628"
1981,"Gas natural","14395.873","16.4024623661882"
1982,"Gas natural","14469.731","16.5385008370518"
1983,"Gas natural","14703.826","16.5355608255183"
1984,"Gas natural","15902.676","17.1808936342507"
1985,"Gas natural","16262.217","17.1405830185383"
1986,"Gas natural","16421.107","16.9532309456504"
1987,"Gas natural","17281.893","17.2661313305747"
1988,"Gas natural","18088.842","17.4716506143406"
1989,"Gas natural","18888.648","17.913660354762"
1990,"Gas natural","19481.15","18.2654456413846"
1991,"Gas natural","19972.836","18.570420678064"
1992,"Gas natural","20063.482","18.5340604240248"
1993,"Gas natural","20265.48","18.5640408304803"
1994,"Gas natural","20389.613","18.4447150235428"
1995,"Gas natural","21104.492","18.7026243606568"
1996,"Gas natural","22159.254","19.1199914072014"
1997,"Gas natural","22030.39","18.8150352672729"
1998,"Gas natural","22433.998","19.0375509267267"
1999,"Gas natural","23071.902","19.2518330901067"
2000,"Gas natural","23994.256","19.528474046342"
2001,"Gas natural","24316.832","19.6189606438407"
2002,"Gas natural","25028.285","19.8197553611776"
2003,"Gas natural","25727.73","19.7693912955048"
2004,"Gas natural","26734.273","19.673616074027"
2005,"Gas natural","27438.982","19.6061520818683"
2006,"Gas natural","28161.389","19.6271648983134"
2007,"Gas natural","29315.703","19.8840049434758"
2008,"Gas natural","30026.688","20.1575883566029"
2009,"Gas natural","29405.7","20.0448577149374"
2010,"Gas natural","31593.82","20.6327606510203"
2011,"Gas natural","32349.117","20.7019864749564"
