"anio","geocodigoFundar","fuente_energia","valor_en_twh","porcentaje","tipo_energia","geonombreFundar"
"2022","AUT","Otras renovables","14.864737","3.96763037924022","Limpias","Austria"
"2023","AUT","Otras renovables","14.244397","3.70068555653434","Limpias","Austria"
"2024","AUT","Otras renovables","14.519362","3.60676652136151","Limpias","Austria"
"1985","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1986","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1987","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1988","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1989","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1990","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1991","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1992","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1993","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1994","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1995","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1996","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1997","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1998","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"1999","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2000","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2001","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2002","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2003","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2004","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2005","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2006","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2007","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2008","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2009","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2010","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2011","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2012","AZE","Otras renovables","0","0","Limpias","Azerbaiyán"
"2013","AZE","Otras renovables","0.20937501","0.135995764964334","Limpias","Azerbaiyán"
"2014","AZE","Otras renovables","0.271875","0.173145960475098","Limpias","Azerbaiyán"
"2015","AZE","Otras renovables","0.28406247","0.165581580334016","Limpias","Azerbaiyán"
"2016","AZE","Otras renovables","0.27265626","0.160523279016973","Limpias","Azerbaiyán"
"2017","AZE","Otras renovables","0.26609376","0.159665506791461","Limpias","Azerbaiyán"
"2018","AZE","Otras renovables","0.25343752","0.144111321127012","Limpias","Azerbaiyán"
"2019","AZE","Otras renovables","0.30609375","0.164913680512174","Limpias","Azerbaiyán"
"2020","AZE","Otras renovables","0.3134375","0.16967220246029","Limpias","Azerbaiyán"
"2021","AZE","Otras renovables","0.30187503","0.152984273516073","Limpias","Azerbaiyán"
"2022","AZE","Otras renovables","0.32078126","0.152739767080375","Limpias","Azerbaiyán"
"2023","AZE","Otras renovables","0.34843752","0.160478375364955","Limpias","Azerbaiyán"
"2024","AZE","Otras renovables","0.36328125","0.174974592407884","Limpias","Azerbaiyán"
"1971","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1972","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1973","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1974","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1975","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1976","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1977","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1978","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1979","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1980","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1981","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1982","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1983","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1984","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1985","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1986","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1987","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1988","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1989","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1990","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1991","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1992","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1993","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1994","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1995","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1996","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1997","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1998","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"1999","BGD","Otras renovables","0","0","Limpias","Bangladesh"
"2000","BGD","Otras renovables","0.13109374","0.0963090851312503","Limpias","Bangladesh"
"2001","BGD","Otras renovables","0.10375","0.0667139714168665","Limpias","Bangladesh"
"2002","BGD","Otras renovables","0.21687499","0.138928188252524","Limpias","Bangladesh"
"2003","BGD","Otras renovables","0.18828125","0.114128827883227","Limpias","Bangladesh"
"2004","BGD","Otras renovables","0.1265","0.0721352553977063","Limpias","Bangladesh"
"2005","BGD","Otras renovables","0.11234375","0.059093192872254","Limpias","Bangladesh"
"2006","BGD","Otras renovables","0.140625","0.0683470474714644","Limpias","Bangladesh"
"2007","BGD","Otras renovables","0.17384374","0.0821480479198216","Limpias","Bangladesh"
"2008","BGD","Otras renovables","0.17290625","0.0776125465236945","Limpias","Bangladesh"
"2009","BGD","Otras renovables","0.084875","0.0346051765284417","Limpias","Bangladesh"
"2010","BGD","Otras renovables","0.0663125","0.0264256847559373","Limpias","Bangladesh"
"2011","BGD","Otras renovables","0.10925001","0.0402455444287035","Limpias","Bangladesh"
"2012","BGD","Otras renovables","0.076937504","0.0260918778694123","Limpias","Bangladesh"
"2013","BGD","Otras renovables","0.11781251","0.038448251914828","Limpias","Bangladesh"
"2014","BGD","Otras renovables","0.14125","0.0443592078659686","Limpias","Bangladesh"
"2015","BGD","Otras renovables","0.09315625","0.0242020160160285","Limpias","Bangladesh"
"2016","BGD","Otras renovables","0.07321875","0.018943213698161","Limpias","Bangladesh"
"2017","BGD","Otras renovables","0.13571875","0.0336981420379194","Limpias","Bangladesh"
"2018","BGD","Otras renovables","0.09665625","0.0224730549414143","Limpias","Bangladesh"
"2019","BGD","Otras renovables","0.1093125","0.0226617128698399","Limpias","Bangladesh"
"2020","BGD","Otras renovables","0.109718755","0.0239947343632736","Limpias","Bangladesh"
"2021","BGD","Otras renovables","0.09996875","0.0203077655619815","Limpias","Bangladesh"
"2022","BGD","Otras renovables","0.03653125","0.00713558480903948","Limpias","Bangladesh"
"2023","BGD","Otras renovables","0.03653125","0.00721390502582826","Limpias","Bangladesh"
"2024","BGD","Otras renovables","0.036631335","0.00692831060769064","Limpias","Bangladesh"
"1985","BLR","Otras renovables","0","0","Limpias","Belarús"
"1986","BLR","Otras renovables","0","0","Limpias","Belarús"
"1987","BLR","Otras renovables","0","0","Limpias","Belarús"
"1988","BLR","Otras renovables","0","0","Limpias","Belarús"
"1989","BLR","Otras renovables","0","0","Limpias","Belarús"
"1990","BLR","Otras renovables","0","0","Limpias","Belarús"
"1991","BLR","Otras renovables","0","0","Limpias","Belarús"
"1992","BLR","Otras renovables","0","0","Limpias","Belarús"
"1993","BLR","Otras renovables","0","0","Limpias","Belarús"
"1994","BLR","Otras renovables","0","0","Limpias","Belarús"
"1995","BLR","Otras renovables","0","0","Limpias","Belarús"
"1996","BLR","Otras renovables","0","0","Limpias","Belarús"
"1997","BLR","Otras renovables","0","0","Limpias","Belarús"
"1998","BLR","Otras renovables","0","0","Limpias","Belarús"
"1999","BLR","Otras renovables","0","0","Limpias","Belarús"
"2000","BLR","Otras renovables","0","0","Limpias","Belarús"
"2001","BLR","Otras renovables","0","0","Limpias","Belarús"
"2002","BLR","Otras renovables","0","0","Limpias","Belarús"
"2003","BLR","Otras renovables","0","0","Limpias","Belarús"
"2004","BLR","Otras renovables","0","0","Limpias","Belarús"
"2005","BLR","Otras renovables","0","0","Limpias","Belarús"
"2006","BLR","Otras renovables","0.00625","0.00206881304981637","Limpias","Belarús"
"2007","BLR","Otras renovables","0.043750003","0.0148446134499655","Limpias","Belarús"
"2008","BLR","Otras renovables","0.103125","0.0345355781069815","Limpias","Belarús"
"2009","BLR","Otras renovables","0.1875","0.0663708353458938","Limpias","Belarús"
"2010","BLR","Otras renovables","0.2625","0.0857317382532385","Limpias","Belarús"
"2011","BLR","Otras renovables","0.296875","0.0987377603828489","Limpias","Belarús"
"2012","BLR","Otras renovables","0.296875","0.0912851822041718","Limpias","Belarús"
"2013","BLR","Otras renovables","0.25625","0.087107919843288","Limpias","Belarús"
"2014","BLR","Otras renovables","0.24687502","0.083733077798253","Limpias","Belarús"
"2015","BLR","Otras renovables","0.29375","0.110047729423964","Limpias","Belarús"
"2016","BLR","Otras renovables","0.29375","0.107698706784946","Limpias","Belarús"
"2017","BLR","Otras renovables","0.33124998","0.11926737027721","Limpias","Belarús"
"2018","BLR","Otras renovables","0.340625","0.110921784698219","Limpias","Belarús"
"2019","BLR","Otras renovables","0.34375","0.111364477956667","Limpias","Belarús"
"2020","BLR","Otras renovables","0.83750004","0.292432892862425","Limpias","Belarús"
"2021","BLR","Otras renovables","1.6996875","0.544245285614924","Limpias","Belarús"
"2022","BLR","Otras renovables","1.6274999","0.536851929863281","Limpias","Belarús"
"2023","BLR","Otras renovables","1.5859375","0.523811512334955","Limpias","Belarús"
"2024","BLR","Otras renovables","1.5902824","0.508348366028646","Limpias","Belarús"
"1965","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1966","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1967","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1968","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1969","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1970","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1971","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1972","BEL","Otras renovables","0","0","Limpias","Bélgica"
"1973","BEL","Otras renovables","0.36249998","0.0635649299530036","Limpias","Bélgica"
"1974","BEL","Otras renovables","0.3375","0.0612830227033733","Limpias","Bélgica"
