"anio","iso3","valor_en_twh"
"2000","AUS","0"
"2001","AUS","0"
"2002","AUS","0"
"2003","AUS","0"
"2004","AUS","0"
"2005","AUS","0"
"2006","AUS","0"
"2007","AUS","0"
"2008","AUS","0"
"2009","AUS","0"
"2010","AUS","0"
"2011","AUS","0"
"2012","AUS","0"
"2013","AUS","0"
"2014","AUS","0"
"2015","AUS","0"
"2016","AUS","0"
"2017","AUS","0"
"2018","AUS","0"
"2019","AUS","0"
"2020","AUS","0"
"2021","AUS","0"
"2022","AUS","0"
"2023","AUS","0"
"1965","AUT","0"
"1966","AUT","0"
"1967","AUT","0"
"1968","AUT","0"
"1969","AUT","0"
"1970","AUT","0"
"1971","AUT","0"
"1972","AUT","0"
"1973","AUT","0"
"1974","AUT","0"
"1975","AUT","0"
"1976","AUT","0"
"1977","AUT","0"
"1978","AUT","0"
"1979","AUT","0"
"1980","AUT","0"
"1981","AUT","0"
"1982","AUT","0"
"1983","AUT","0"
"1984","AUT","0"
"1985","AUT","0"
"1986","AUT","0"
"1987","AUT","0"
"1988","AUT","0"
"1989","AUT","0"
"1990","AUT","0"
"1991","AUT","0"
"1992","AUT","0"
"1993","AUT","0"
"1994","AUT","0"
"1995","AUT","0"
"1996","AUT","0"
"1997","AUT","0"
"1998","AUT","0"
"1999","AUT","0"
"2000","AUT","0"
"2001","AUT","0"
"2002","AUT","0"
"2003","AUT","0"
"2004","AUT","0"
"2005","AUT","0"
"2006","AUT","0"
"2007","AUT","0"
"2008","AUT","0"
"2009","AUT","0"
"2010","AUT","0"
"2011","AUT","0"
"2012","AUT","0"
"2013","AUT","0"
"2014","AUT","0"
"2015","AUT","0"
"2016","AUT","0"
"2017","AUT","0"
"2018","AUT","0"
"2019","AUT","0"
"2020","AUT","0"
"2021","AUT","0"
"2022","AUT","0"
"2023","AUT","0"
"1965","BHR","0"
"1966","BHR","0"
"1967","BHR","0"
"1968","BHR","0"
"1969","BHR","0"
"1970","BHR","0"
"1971","BHR","0"
"1972","BHR","0"
"1973","BHR","0"
"1974","BHR","0"
"1975","BHR","0"
"1976","BHR","0"
"1977","BHR","0"
"1978","BHR","0"
"1979","BHR","0"
"1980","BHR","0"
"1981","BHR","0"
"1982","BHR","0"
"1983","BHR","0"
"1984","BHR","0"
"1985","BHR","0"
"1986","BHR","0"
"1987","BHR","0"
"1988","BHR","0"
"1989","BHR","0"
"1990","BHR","0"
"1991","BHR","0"
"1992","BHR","0"
"1993","BHR","0"
"1994","BHR","0"
"1995","BHR","0"
"1996","BHR","0"
"1997","BHR","0"
"1998","BHR","0"
"1999","BHR","0"
"2000","BHR","0"
"2001","BHR","0"
"2002","BHR","0"
"2003","BHR","0"
"2004","BHR","0"
"2005","BHR","0"
"2006","BHR","0"
"2007","BHR","0"
"2008","BHR","0"
"2009","BHR","0"
"2010","BHR","0"
"2011","BHR","0"
"2012","BHR","0"
"2013","BHR","0"
"2014","BHR","0"
"2015","BHR","0"
"2016","BHR","0"
"2017","BHR","0"
"2018","BHR","0"
"2019","BHR","0"
"2020","BHR","0"
"2021","BHR","0"
"2022","BHR","0"
"2023","BHR","0"
"1965","BRA","0"
"1966","BRA","0"
"1967","BRA","0"
"1968","BRA","0"
"1969","BRA","0"
"1970","BRA","0"
"1971","BRA","0"
"1972","BRA","0"
"1973","BRA","0"
"1974","BRA","0"
"1975","BRA","0"
"1976","BRA","0"
"1977","BRA","0"
"1978","BRA","0"
"1979","BRA","0"
"1980","BRA","0"
"1981","BRA","0"
"1982","BRA","0"
"1983","BRA","0"
"1984","BRA","1.643"
"1985","BRA","3.381"
"1986","BRA","0.144"
"1987","BRA","0.973"
"1988","BRA","0.608"
"1989","BRA","1.83"
"1990","BRA","2.237"
"1991","BRA","1.442"
"1992","BRA","1.759"
"1993","BRA","0.442"
"1994","BRA","0.055"
"1995","BRA","2.519"
