"anio","iso3","valor_en_kwh_por_dolar"
"2008","BGD","0.6360916"
"2009","BGD","0.6538245"
"2010","BGD","0.6253056"
"2011","BGD","0.6289489"
"2012","BGD","0.6429708"
"2013","BGD","0.63089466"
"2014","BGD","0.6158549"
"2015","BGD","0.6977417"
"2016","BGD","0.65430534"
"2017","BGD","0.6395559"
"2018","BGD","0.6340926"
"2019","BGD","0.6730174"
"2020","BGD","0.6059086"
"2021","BGD","0.5939179"
"1965","BGD",
"1966","BGD",
"1967","BGD",
"1968","BGD",
"1969","BGD",
"1970","BGD",
"1971","BGD","0.20758253"
"1972","BGD","0.26633203"
"1973","BGD","0.33980882"
"1974","BGD","0.31899208"
"1975","BGD","0.33227795"
"1976","BGD","0.37108314"
"1977","BGD","0.37572524"
"1978","BGD","0.37166926"
"1979","BGD","0.39043072"
"2022","BGD","0.58090824"
"1980","BRB","1.3791302"
"1981","BRB","1.4653856"
"1982","BRB","1.5629058"
"1983","BRB","1.6363506"
"1984","BRB","1.5235193"
"1985","BRB","1.6664621"
"1986","BRB","1.6629567"
"1987","BRB","1.5425637"
"1988","BRB","1.4022708"
"1989","BRB","1.4740825"
"1990","BRB","1.616013"
"1991","BRB","1.7198732"
"1992","BRB","1.9405497"
"1993","BRB","1.8979458"
"1994","BRB","1.783506"
"1995","BRB","1.8331106"
"1996","BRB","1.5997444"
"1997","BRB","1.861268"
"1998","BRB","1.843945"
"1999","BRB","1.9392936"
"2000","BRB","2.0175545"
"2001","BRB","2.09243"
"2002","BRB","2.1140134"
"2003","BRB","2.1090238"
"2004","BRB","2.1199455"
"2005","BRB","2.0770063"
"2006","BRB","1.9921731"
"2007","BRB","1.8899287"
"2008","BRB","2.2433925"
"2009","BRB","2.2195451"
"2010","BRB","2.1566002"
"2011","BRB","2.2715168"
"2012","BRB","2.1293044"
"2013","BRB","2.1642044"
"2014","BRB","1.8802577"
"2015","BRB","1.9816251"
"2016","BRB","1.9757911"
"2017","BRB","1.8595443"
"2018","BRB","1.9905533"
"2019","BRB","1.9948672"
"2020","BRB","1.9632227"
"2021","BRB","2.115273"
"1965","BRB",
"1966","BRB",
"1967","BRB",
"1968","BRB",
"1969","BRB",
"1970","BRB",
"1971","BRB",
"1972","BRB",
"1973","BRB",
"1974","BRB",
"1975","BRB",
"1976","BRB",
"1977","BRB",
"1978","BRB",
"1979","BRB",
"2022","BRB",
"1980","BLR",
"1981","BLR",
"1982","BLR",
"1983","BLR",
"1984","BLR",
"1985","BLR","3.716272"
"1986","BLR","4.129912"
"1987","BLR","4.143209"
"1988","BLR","4.218058"
"1989","BLR","3.8281317"
"1990","BLR","3.9835265"
"1991","BLR","4.0779266"
"1992","BLR","3.9571316"
"1993","BLR","3.6229062"
"1994","BLR","3.470069"
"1995","BLR","3.5126014"
"1996","BLR","3.5465314"
"1997","BLR","3.2566338"
"1998","BLR","2.9713013"
"1999","BLR","2.8290734"
"2000","BLR","2.7900102"
"2001","BLR","2.6204746"
"2002","BLR","2.610601"
"2003","BLR","2.4494092"
"2004","BLR","2.4900827"
"2005","BLR","2.2941606"
"2006","BLR","2.2435412"
"2007","BLR","2.0383258"
"2008","BLR","1.8953267"
"2009","BLR","1.811179"
"2010","BLR","1.8422073"
"2011","BLR","1.7371323"
"2012","BLR","1.848907"
"2013","BLR","1.6597285"
"2014","BLR","1.6328818"
"2015","BLR","1.53722"
"2016","BLR","1.6115452"
"2017","BLR","1.6005659"
"2018","BLR","1.7159745"
"2019","BLR","1.7001787"
"2020","BLR","1.5895197"
"2021","BLR","1.6564277"
"1965","BLR",
"1966","BLR",
"1967","BLR",
"1968","BLR",
"1969","BLR",
"1970","BLR",
"1971","BLR",
"1972","BLR",
"1973","BLR",
"1974","BLR",
"1975","BLR",
"1976","BLR",
"1977","BLR",
"1978","BLR",
"1979","BLR",
"2022","BLR","1.688812"
"1980","BEL","2.4931226"
"1981","BEL","2.4005334"
"1982","BEL","2.264256"
"1983","BEL","2.1944609"
"1984","BEL","2.2379181"
"1985","BEL","2.3130667"
"1986","BEL","2.3516603"
"1987","BEL","2.3667436"
"1988","BEL","2.3050787"
"1989","BEL","2.241656"
"1990","BEL","2.2736957"
"1991","BEL","2.3068197"
