"anio","iso3","valor_en_gw"
"2004","BRA","0.00071800005"
"2005","BRA","0.00071800005"
"2006","BRA","0.00071800005"
"2007","BRA","0.00071800005"
"2008","BRA","0.00076400005"
"2009","VGB",
"2010","VGB","1.9000001e-05"
"2011","VGB","1.9000001e-05"
"2012","VGB","1.9000001e-05"
"2013","VGB","1.9000001e-05"
"2014","VGB","1.9000001e-05"
"2015","VGB","0.00078600005"
"2016","VGB","0.00094700005"
"2017","VGB","0.00094700005"
"2018","VGB","0.00095500005"
"2019","VGB","0.000974"
"2020","VGB","0.0011740001"
"2021","VGB","0.0011740001"
"2022","VGB","0.0011740001"
"2000","VGB",
"2001","VGB",
"2002","VGB",
"2003","VGB",
"2004","VGB",
"2005","VGB",
"2006","VGB",
"2007","VGB",
"2008","VGB",
"2009","BRN",
"2010","BRN","0.0012"
"2011","BRN","0.0012"
"2012","BRN","0.0012"
"2013","BRN","0.0012"
"2014","BRN","0.001214"
"2015","BRN","0.001214"
"2016","BRN","0.001214"
"2017","BRN","0.001215"
"2018","BRN","0.001215"
"2019","BRN","0.0012160001"
"2020","BRN","0.0014500001"
"2021","BRN","0.0048700003"
"2022","BRN","0.004898"
"2000","BRN",
"2001","BRN",
"2002","BRN",
"2003","BRN",
"2004","BRN",
"2005","BRN",
"2006","BRN",
"2007","BRN",
"2008","BRN",
"2009","BGR","0.002"
"2010","BGR","0.025"
"2011","BGR","0.15400001"
"2012","BGR","0.92198706"
"2013","BGR","1.0385351"
"2014","BGR","1.0289171"
"2015","BGR","1.027888"
"2016","BGR","1.029885"
"2017","BGR","1.030701"
"2018","BGR","1.033058"
"2019","BGR","1.0443901"
"2020","BGR","1.1002111"
"2021","BGR","1.274713"
"2022","BGR","1.9483551"
"2000","BGR",
"2001","BGR",
"2002","BGR",
"2003","BGR",
"2004","BGR",
"2005","BGR",
"2006","BGR",
"2007","BGR","3.0000001e-05"
"2008","BGR","0.000100000005"
"2009","BFA","0.003"
"2010","BFA","0.0036000002"
"2011","BFA","0.0058000004"
"2012","BFA","0.0058000004"
"2013","BFA","0.0063000005"
"2014","BFA","0.007"
"2015","BFA","0.008"
"2016","BFA","0.010000001"
"2017","BFA","0.046800002"
"2018","BFA","0.061800003"
"2019","BFA","0.062387004"
"2020","BFA","0.062387004"
"2021","BFA","0.062387004"
"2022","BFA","0.092387006"
"2000","BFA","5e-04"
"2001","BFA","5e-04"
"2002","BFA","5e-04"
"2003","BFA","0.00070000003"
"2004","BFA","0.0011000001"
"2005","BFA","0.0012"
"2006","BFA","0.0012"
"2007","BFA","0.0016000001"
"2008","BFA","0.0023"
"2009","BDI","0.00040000002"
"2010","BDI","6e-04"
"2011","BDI","0.00080000004"
"2012","BDI","0.0016030001"
"2013","BDI","0.002603"
"2014","BDI","0.0028030002"
"2015","BDI","0.003103"
"2016","BDI","0.0041030003"
"2017","BDI","0.0051030004"
"2018","BDI","0.0051030004"
"2019","BDI","0.0051030004"
"2020","BDI","0.0051030004"
"2021","BDI","0.012603001"
"2022","BDI","0.012603001"
"2000","BDI",
"2001","BDI",
"2002","BDI",
"2003","BDI",
"2004","BDI",
"2005","BDI","0.000100000005"
"2006","BDI","0.00020000001"
"2007","BDI","3e-04"
"2008","BDI","0.00040000002"
"2009","KHM","0.0021400002"
"2010","KHM","0.0021960002"
"2011","KHM","0.0038990001"
"2012","KHM","0.004687"
"2013","KHM","0.0058770003"
"2014","KHM","0.009187001"
"2015","KHM","0.012189001"
"2016","KHM","0.018363"
"2017","KHM","0.029467"
"2018","KHM","0.028910002"
"2019","KHM","0.124001004"
"2020","KHM","0.31495804"
"2021","KHM","0.37560403"
"2022","KHM","0.45552203"
"2000","KHM","9.4e-05"
"2001","KHM","0.00018500001"
"2002","KHM","0.000283"
"2003","KHM","0.00032800002"
"2004","KHM","0.00036000003"
"2005","KHM","0.000543"
"2006","KHM","0.00069300004"
"2007","KHM","0.0015560001"
"2008","KHM","0.001902"
"2009","CMR","5e-04"
"2010","CMR","0.001"
"2011","CMR","0.0024"
"2012","CMR","0.0028000001"
"2013","CMR","0.0036000002"
"2014","CMR","0.0056000003"
"2015","CMR","0.0074000005"
"2016","CMR","0.009000001"
"2017","CMR","0.011596"
"2018","CMR","0.014192001"
"2019","CMR","0.014192001"
"2020","CMR","0.014317001"
"2021","CMR","0.014317001"
"2022","CMR","0.014317001"
"2000","CMR",
"2001","CMR",
"2002","CMR",
"2003","CMR","0.000100000005"
"2004","CMR","0.000100000005"
"2005","CMR","0.000100000005"
"2006","CMR","0.000100000005"
"2007","CMR","0.00020000001"
"2008","CMR","0.00020000001"
"2009","CAN","0.10700001"
"2010","CAN","0.24900001"
"2011","CAN","0.628"
"2012","CAN","0.76600003"
"2013","CAN","1.21"
"2014","CAN","1.843"
"2015","CAN","2.519"
"2016","CAN","2.6650002"
"2017","CAN","2.9320002"
"2018","CAN","3.095"
"2019","CAN","3.3270001"
"2020","CAN","3.3420002"
"2021","CAN","3.6296003"
"2022","CAN","4.4009523"
"2000","CAN","0.007"
"2001","CAN","0.009000001"
"2002","CAN","0.010000001"
"2003","CAN","0.012"
"2004","CAN","0.014"
"2005","CAN","0.018000001"
"2006","CAN","0.022000002"
"2007","CAN","0.029000001"
"2008","CAN","0.038000003"
"2009","CPV",
"2010","CPV","0.0055000004"
"2011","CPV","0.0055000004"
"2012","CPV","0.005574"
"2013","CPV","0.0056510004"
"2014","CPV","0.005805"
"2015","CPV","0.0061180005"
"2016","CPV","0.006174"
"2017","CPV","0.006235"
"2018","CPV","0.007536"
"2019","CPV","0.007581"
"2020","CPV","0.007581"
"2021","CPV","0.007581"
"2022","CPV","0.007581"
"2000","CPV",
"2001","CPV",
"2002","CPV",
"2003","CPV",
"2004","CPV",
"2005","CPV",
"2006","CPV",
"2007","CPV",
"2008","CPV",
"2009","CYM",
"2010","CYM",
"2011","CYM",
"2012","CYM",
"2013","CYM",
"2014","CYM",
"2015","CYM",
"2016","CYM","0.002754"
"2017","CYM","0.008766"
"2018","CYM","0.009917"
"2019","CYM","0.011094"
"2020","CYM","0.012737001"
"2021","CYM","0.013701001"
"2022","CYM","0.013701001"
"2000","CYM",
"2001","CYM",
"2002","CYM",
"2003","CYM",
"2004","CYM",
"2005","CYM",
"2006","CYM",
"2007","CYM",
"2008","CYM",
"2009","CAF","0.000100000005"
"2010","CAF","0.000100000005"
"2011","CAF","0.00020000001"
"2012","CAF","3e-04"
"2013","CAF","3e-04"
"2014","CAF","3e-04"
"2015","CAF","3e-04"
"2016","CAF","3e-04"
"2017","CAF","3e-04"
"2018","CAF","3e-04"
"2019","CAF","0.00031600002"
"2020","CAF","0.00031600002"
"2021","CAF","0.00031600002"
"2022","CAF","0.00031600002"
"2000","CAF",
"2001","CAF",
"2002","CAF",
"2003","CAF",
"2004","CAF",
"2005","CAF","0.000100000005"
"2006","CAF","0.000100000005"
"2007","CAF","0.000100000005"
"2008","CAF","0.000100000005"
"2009","TCD",
"2010","TCD","2.0000002e-06"
"2011","TCD","2.0000002e-06"
"2012","TCD","3e-06"
"2013","TCD","5.0000002e-05"
"2014","TCD","5.0000002e-05"
"2015","TCD","0.00017200001"
"2016","TCD","0.00017300001"
"2017","TCD","0.00017300001"
"2018","TCD","0.00019"
"2019","TCD","0.00019"
"2020","TCD","0.000727"
"2021","TCD","0.000727"
"2022","TCD","0.000727"
"2000","TCD",
"2001","TCD",
"2002","TCD",
"2003","TCD",
"2004","TCD",
"2005","TCD",
"2006","TCD",
"2007","TCD",
"2008","TCD",
"2009","CHL",
"2010","CHL",
"2011","CHL",
"2012","CHL","0.002"
"2013","CHL","0.015000001"
"2014","CHL","0.22100002"
"2015","CHL","0.57600003"
"2016","CHL","1.125"
"2017","CHL","1.8090001"
"2018","CHL","2.137"
"2019","CHL","2.6536982"
"2020","CHL","3.2054381"
"2021","CHL","4.468277"
"2022","CHL","6.2504354"
"2000","CHL",
"2001","CHL",
"2002","CHL",
"2003","CHL",
"2004","CHL",
"2005","CHL",
"2006","CHL",
"2007","CHL",
"2008","CHL",
"2009","CHN","0.41480002"
"2010","CHN","1.0218"
"2011","CHN","3.1078002"
"2012","CHN","6.7188"
"2013","CHN","17.758802"
"2014","CHN","28.398802"
"2015","CHN","43.5488"
"2016","CHN","77.8188"
"2017","CHN","130.83229"
"2018","CHN","175.26187"
"2019","CHN","204.97081"
"2020","CHN","253.9638"
"2021","CHN","306.97284"
"2022","CHN","393.03183"
"2000","CHN","0.033515003"
"2001","CHN","0.038020004"
"2002","CHN","0.056530003"
"2003","CHN","0.0666"
"2004","CHN","0.0766"
"2005","CHN","0.1412"
"2006","CHN","0.1602"
"2007","CHN","0.19900002"
"2008","CHN","0.25300002"
"2009","COL","0.001255"
"2010","COL","0.0012740002"
"2011","COL","0.0013080001"
"2012","COL","0.001322"
"2013","COL","0.001383"
"2014","COL","0.0014180001"
"2015","COL","0.0014630001"
"2016","COL","0.00152"
"2017","COL","0.0113200005"
"2018","COL","0.013377001"
"2019","COL","0.025923"
"2020","COL","0.085513"
"2021","COL","0.18402201"
"2022","COL","0.45743102"
"2000","COL","6e-04"
"2001","COL","0.0009890001"
"2002","COL","0.001029"
"2003","COL","0.0010690001"
"2004","COL","0.001092"
"2005","COL","0.0011210002"
"2006","COL","0.0011640001"
"2007","COL","0.001184"
"2008","COL","0.0012310001"
"2009","COM",
"2010","COM",
"2011","COM",
"2012","COM",
"2013","COM",
"2014","COM",
"2015","COM",
"2016","COM",
"2017","COM",
"2018","COM",
"2019","COM",
"2020","COM",
"2021","COM",
"2022","COM","0.004"
"2000","COM",
"2001","COM",
"2002","COM",
"2003","COM",
"2004","COM",
"2005","COM",
"2006","COM",
"2007","COM",
"2008","COM",
"2009","COG",
"2010","COG",
"2011","COG","7e-05"
"2012","COG","0.000120000004"
"2013","COG","0.00023000002"
"2014","COG","0.00046000004"
"2015","COG","0.00046000004"
"2016","COG","0.00046000004"
"2017","COG","0.00057000003"
"2018","COG","0.00072000007"
"2019","COG","0.00072000007"
"2020","COG","0.00072000007"
"2021","COG","0.00072000007"
"2022","COG","0.00072000007"
"2000","COG",
"2001","COG",
"2002","COG",
"2003","COG",
"2004","COG",
"2005","COG",
"2006","COG",
"2007","COG",
"2008","COG",
"2009","COK","5.7e-05"
"2010","COK","5.7e-05"
"2011","COK","5.7e-05"
"2012","COK","5.7e-05"
"2013","COK","0.00071100006"
"2014","COK","0.001671"
"2015","COK","0.0028970002"
"2016","COK","0.003011"
"2017","COK","0.003011"
"2018","COK","0.0048330002"
"2019","COK","0.0055700005"
"2020","COK","0.0055700005"
"2021","COK","0.0055700005"
"2022","COK","0.0055700005"
"2000","COK","5.7e-05"
"2001","COK","5.7e-05"
"2002","COK","5.7e-05"
"2003","COK","5.7e-05"
