"anio","iso3","valor_en_gco2_por_kwh"
"2001","BLZ","230.76924"
"2002","BLZ","214.2857"
"2003","BLZ","437.5"
"2004","BLZ","357.14285"
"2005","BLZ","375"
"2006","BLZ","95.2381"
"2007","BLZ","136.36363"
"2008","BLZ","47.61905"
"2009","BLZ","124.99999"
"2010","BLZ","142.85713"
"2011","BLZ","90.90909"
"2012","BLZ","131.57895"
"2013","BLZ","108.10811"
"2014","BLZ","138.88889"
"2015","BLZ","138.88889"
"2016","BLZ","105.26316"
"2017","BLZ","100"
"2018","BLZ","146.34146"
"2019","BLZ","173.07695"
"2020","BLZ","214.2857"
"2021","BLZ","214.2857"
"2022","BLZ","225.80646"
"2023","BLZ",
"1990","BLZ",
"1991","BLZ",
"1992","BLZ",
"1993","BLZ",
"1994","BLZ",
"1995","BLZ",
"1996","BLZ",
"1997","BLZ",
"1998","BLZ",
"1999","BLZ",
"2000","BEN","625"
"2001","BEN","666.6667"
"2002","BEN","666.6667"
"2003","BEN","625"
"2004","BEN","625"
"2005","BEN","636.36365"
"2006","BEN","666.6666"
"2007","BEN","636.36365"
"2008","BEN","652.17395"
"2009","BEN","692.3078"
"2010","BEN","636.36365"
"2011","BEN","700"
"2012","BEN","600"
"2013","BEN","615.38464"
"2014","BEN","647.0588"
"2015","BEN","625"
"2016","BEN","666.66675"
"2017","BEN","625"
"2018","BEN","631.5789"
"2019","BEN","611.11115"
"2020","BEN","595.95953"
"2021","BEN","584.0708"
"2022","BEN","584.0708"
"2023","BEN",
"1990","BEN",
"1991","BEN",
"1992","BEN",
"1993","BEN",
"1994","BEN",
"1995","BEN",
"1996","BEN",
"1997","BEN",
"1998","BEN",
"1999","BEN",
"2000","BMU","650"
"2001","BMU","639.34424"
"2002","BMU","640.625"
"2003","BMU","651.5152"
"2004","BMU","651.5152"
"2005","BMU","652.1739"
"2006","BMU","647.8873"
"2007","BMU","643.83563"
"2008","BMU","652.7778"
"2009","BMU","648.6486"
"2010","BMU","648.6486"
"2011","BMU","643.83563"
"2012","BMU","642.8571"
"2013","BMU","647.0588"
"2014","BMU","651.5152"
"2015","BMU","641.7911"
"2016","BMU","651.5152"
"2017","BMU","641.7911"
"2018","BMU","640.625"
"2019","BMU","639.34424"
"2020","BMU","644.06775"
"2021","BMU","644.06775"
"2022","BMU","650.79364"
"2023","BMU",
"1990","BMU",
"1991","BMU",
"1992","BMU",
"1993","BMU",
"1994","BMU",
"1995","BMU",
"1996","BMU",
"1997","BMU",
"1998","BMU",
"1999","BMU",
"2000","BTN","22.346369"
"2001","BTN","26.041666"
"2002","BTN","22.93578"
"2003","BTN","24"
"2004","BTN","25.751074"
"2005","BTN","22.900763"
"2006","BTN","24.608503"
"2007","BTN","23.112482"
"2008","BTN","23.222061"
"2009","BTN","23.088024"
"2010","BTN","23.415977"
"2011","BTN","24.390245"
"2012","BTN","23.738873"
"2013","BTN","23.904383"
"2014","BTN","23.776224"
"2015","BTN","23.285902"
"2016","BTN","24.111673"
"2017","BTN","23.529413"
"2018","BTN","23.222061"
"2019","BTN","23.463686"
"2020","BTN","23.463686"
"2021","BTN","23.333334"
"2022","BTN","23.333334"
"2023","BTN",
"1990","BTN",
"1991","BTN",
"1992","BTN",
"1993","BTN",
"1994","BTN",
"1995","BTN",
"1996","BTN",
"1997","BTN",
"1998","BTN",
"1999","BTN",
"2000","BOL","368.5567"
"2001","BOL","345.95963"
"2002","BOL","350.96155"
"2003","BOL","404.15704"
"2004","BOL","390.72842"
"2005","BOL","443.76282"
"2006","BOL","423.99997"
"2007","BOL","424.63232"
