"anio","sector","valor_en_ggco2e"
1999,"Otros","381000"
1999,"PIUP","6405300"
1999,"Residuos","2980000"
2000,"AGSyOUT","20730000"
2000,"Energía","51000000"
2000,"Otros","325000"
2000,"PIUP","6473500"
2000,"Residuos","3080000"
2001,"AGSyOUT","21920000"
2001,"Energía","51400000"
2001,"Otros","344000"
2001,"PIUP","6432300"
2001,"Residuos","3050000"
2002,"AGSyOUT","22730000"
2002,"Energía","52400000"
2002,"Otros","401000"
2002,"PIUP","6740200"
2002,"Residuos","3110000"
2003,"AGSyOUT","23070000"
2003,"Energía","55200000"
2003,"Otros","353000"
2003,"PIUP","7131400"
2003,"Residuos","3190000"
2004,"AGSyOUT","23230000"
2004,"Energía","58000000"
2004,"Otros","361000"
2004,"PIUP","7782600"
2004,"Residuos","3230000"
2005,"AGSyOUT","23160000"
2005,"Energía","59500000"
2005,"Otros","374000"
2005,"PIUP","8265400"
2005,"Residuos","3280000"
2006,"AGSyOUT","22650000"
2006,"Energía","61300000"
2006,"Otros","451000"
2006,"PIUP","8770000"
2006,"Residuos","3340000"
2007,"AGSyOUT","22420000"
2007,"Energía","62900000"
2007,"Otros","403000"
2007,"PIUP","9114700"
2007,"Residuos","3300000"
2008,"AGSyOUT","22560000"
2008,"Energía","63900000"
2008,"Otros","348000"
2008,"PIUP","9171000"
2008,"Residuos","3340000"
2009,"AGSyOUT","22700000"
2009,"Energía","63700000"
2009,"Otros","371000"
2009,"PIUP","9104000"
2009,"Residuos","3370000"
2010,"AGSyOUT","22740000"
2010,"Energía","66500000"
2010,"Otros","369000"
2010,"PIUP","9811700"
2010,"Residuos","3370000"
2011,"AGSyOUT","22590000"
2011,"Energía","68300000"
2011,"Otros","366000"
2011,"PIUP","10549500"
2011,"Residuos","3470000"
2012,"AGSyOUT","22710000"
2012,"Energía","69200000"
2012,"Otros","364000"
2012,"PIUP","10505400"
2012,"Residuos","3540000"
2013,"AGSyOUT","23150000"
2013,"Energía","70300000"
2013,"Otros","362000"
2013,"PIUP","10849400"
2013,"Residuos","3580000"
2014,"AGSyOUT","23280000"
2014,"Energía","70900000"
2014,"Otros","361000"
2014,"PIUP","11187000"
2014,"Residuos","3620000"
