"anio","sector","geocodigoFundar","unit","entity","valor_en_ggco2e","geonombreFundar"
"1776","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","304","Mundo"
"1776","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","94600","Mundo"
"1777","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","618000","Mundo"
"1777","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","184000","Mundo"
"1777","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","10900","Mundo"
"1777","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","305","Mundo"
"1777","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","95600","Mundo"
"1778","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","623000","Mundo"
"1778","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","185000","Mundo"
"1778","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","11300","Mundo"
"1778","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","305","Mundo"
"1778","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","96500","Mundo"
"1779","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","627000","Mundo"
"1779","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","186000","Mundo"
"1779","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","11700","Mundo"
"1779","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","305","Mundo"
"1779","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","97500","Mundo"
"1780","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","631000","Mundo"
"1780","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","188000","Mundo"
"1780","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","12100","Mundo"
"1780","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","306","Mundo"
"1780","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","98400","Mundo"
"1781","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","634000","Mundo"
"1781","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","190000","Mundo"
"1781","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","12500","Mundo"
"1781","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","335","Mundo"
"1781","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","98800","Mundo"
"1782","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","636000","Mundo"
"1782","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","191000","Mundo"
"1782","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","12900","Mundo"
"1782","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","336","Mundo"
"1782","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","99100","Mundo"
"1783","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","639000","Mundo"
"1783","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","192000","Mundo"
"1783","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","13300","Mundo"
"1783","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","336","Mundo"
"1783","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","99500","Mundo"
"1784","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","641000","Mundo"
"1784","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","193000","Mundo"
"1784","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","13700","Mundo"
"1784","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","337","Mundo"
"1784","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","99800","Mundo"
"1785","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","644000","Mundo"
"1785","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","193000","Mundo"
"1785","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","14100","Mundo"
"1785","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","338","Mundo"
"1785","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","1e+05","Mundo"
"1786","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","646000","Mundo"
"1786","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","197000","Mundo"
"1786","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","14500","Mundo"
"1786","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","375","Mundo"
"1786","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","101000","Mundo"
"1787","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","649000","Mundo"
"1787","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","197000","Mundo"
"1787","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","14900","Mundo"
"1787","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","376","Mundo"
"1787","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","101000","Mundo"
"1788","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","651000","Mundo"
"1788","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","198000","Mundo"
"1788","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","15300","Mundo"
"1788","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","376","Mundo"
"1788","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","101000","Mundo"
"1789","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","654000","Mundo"
"1789","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","199000","Mundo"
"1789","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","15700","Mundo"
"1789","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","377","Mundo"
"1789","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1790","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","656000","Mundo"
"1790","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","199000","Mundo"
"1790","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","16100","Mundo"
"1790","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","377","Mundo"
"1790","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1791","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","657000","Mundo"
"1791","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","203000","Mundo"
"1791","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","16500","Mundo"
"1791","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","414","Mundo"
"1791","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1792","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","659000","Mundo"
"1792","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","203000","Mundo"
"1792","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","16900","Mundo"
"1792","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","461","Mundo"
"1792","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1793","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","660000","Mundo"
"1793","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","204000","Mundo"
"1793","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","17300","Mundo"
"1793","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","462","Mundo"
"1793","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1794","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","661000","Mundo"
"1794","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","204000","Mundo"
"1794","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","17700","Mundo"
"1794","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","459","Mundo"
"1794","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1795","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","662000","Mundo"
"1795","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","205000","Mundo"
"1795","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","18100","Mundo"
"1795","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","460","Mundo"
"1795","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1796","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","663000","Mundo"
"1796","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","206000","Mundo"
"1796","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","18500","Mundo"
"1796","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","485","Mundo"
"1796","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1797","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","664000","Mundo"
"1797","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","208000","Mundo"
"1797","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","18900","Mundo"
"1797","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","505","Mundo"
"1797","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","102000","Mundo"
"1798","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","665000","Mundo"
"1798","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","210000","Mundo"
"1798","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","19300","Mundo"
"1798","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","524","Mundo"
"1798","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","101000","Mundo"
"1799","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","666000","Mundo"
"1799","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","212000","Mundo"
"1799","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","19700","Mundo"
"1799","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","551","Mundo"
"1799","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","101000","Mundo"
"1800","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","667000","Mundo"
"1800","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","214000","Mundo"
"1800","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","20100","Mundo"
"1800","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","595","Mundo"
