"year","semester","age_group","poverty_line","poverty_rate"
"2021","I","old_and_child","Pobreza","44.197269"
"2021","I","old_and_old","Pobreza","1.7499461"
"2021","I","child_no_siblings","Pobreza","37.580822"
"2021","I","child_1_sibling","Pobreza","41.362282"
"2021","I","child_2more_siblings","Pobreza","77.835983"
"2021","II","old_and_child","Pobreza","41.891903"
"2021","II","old_and_old","Pobreza","2.7763419"
"2021","II","child_no_siblings","Pobreza","34.283844"
"2021","II","child_1_sibling","Pobreza","40.722626"
"2021","II","child_2more_siblings","Pobreza","72.78434"
"2022","I","old_and_child","Pobreza","41.259708"
"2022","I","old_and_old","Pobreza","2.4792001"
"2022","I","child_no_siblings","Pobreza","34.852737"
"2022","I","child_1_sibling","Pobreza","41.043381"
"2022","I","child_2more_siblings","Pobreza","73.148468"
"2022","II","old_and_child","Pobreza","46.424576"
"2022","II","old_and_old","Pobreza","3.0178621"
"2022","II","child_no_siblings","Pobreza","37.215973"
"2022","II","child_1_sibling","Pobreza","44.027725"
"2022","II","child_2more_siblings","Pobreza","76.233719"
"2023","I","old_and_child","Pobreza","41.450207"
"2023","I","old_and_old","Pobreza","2.5601423"
"2023","I","child_no_siblings","Pobreza","34.81768"
"2023","I","child_1_sibling","Pobreza","45.916607"
"2023","I","child_2more_siblings","Pobreza","79.450981"
"2023","II","old_and_child","Pobreza","51.407131"
"2023","II","old_and_old","Pobreza","5.07862"
"2023","II","child_no_siblings","Pobreza","37.654701"
"2023","II","child_1_sibling","Pobreza","47.882774"
"2023","II","child_2more_siblings","Pobreza","81.513573"
"2024","I","old_and_child","Pobreza","61.777538"
"2024","I","old_and_old","Pobreza","17.321463"
"2024","I","child_no_siblings","Pobreza","49.129776"
"2024","I","child_1_sibling","Pobreza","59.73745"
"2024","I","child_2more_siblings","Pobreza","82.923561"
