"geocodigoFundar","geonombreFundar","anio","poverty_line","poverty_rate"
"IRL","Irlanda","2022","4.20000","0.00203"
"IRN","Irán","2023","4.20000","0.07536"
"IRQ","Iraq","2023","4.20000","0.02364"
"ISR","Israel","2021","4.20000","0.00995"
"ITA","Italia","2022","4.20000","0.00747"
"JAM","Jamaica","2021","4.20000","0.05124"
"KAZ","Kazajstán","2021","4.20000","0.00346"
"KEN","Kenia","2021","4.20000","0.67865"
"KGZ","Kirguistán","2022","4.20000","0.22062"
"KOR","Corea del Sur","2021","4.20000","0.00249"
"LBN","Líbano","2022","4.20000","0.15994"
"LTU","Lituania","2022","4.20000","0.01064"
"LUX","Luxemburgo","2022","4.20000","0.00122"
"LVA","Letonia","2022","4.20000","0.00714"
"MDA","Moldavia","2022","4.20000","0.00318"
"MEX","México","2022","4.20000","0.05679"
"MLI","Malí","2021","4.20000","0.59526"
"MLT","Malta","2022","4.20000","0.00216"
"MNE","Montenegro","2021","4.20000","0.04031"
"MNG","Mongolia","2022","4.20000","0.02272"
"MYS","Malasia","2021","4.20000","0.00100"
"NER","Níger","2021","4.20000","0.79724"
"NLD","Países Bajos","2021","4.20000","0.00121"
"NOR","Noruega","2022","4.20000","0.00440"
"NPL","Nepal","2022","4.20000","0.09101"
"PAN","Panamá","2023","4.20000","0.07196"
"PER","Perú","2023","4.20000","0.11696"
"PHL","Filipinas","2023","4.20000","0.16875"
"POL","Polonia","2022","4.20000","0.00516"
"PRT","Portugal","2022","4.20000","0.00372"
"PRY","Paraguay","2023","4.20000","0.06076"
"PSE","Palestina","2023","4.20000","0.06068"
"ROU","Rumania","2022","4.20000","0.02755"
"RUS","Rusia","2021","4.20000","0.00408"
"SEN","Senegal","2021","4.20000","0.37323"
"SLV","El Salvador","2023","4.20000","0.08602"
"SRB","Serbia","2022","4.20000","0.03205"
"SUR","Suriname","2022","4.20000","0.04583"
"SVK","Eslovaquia","2022","4.20000","0.01705"
"SVN","Eslovenia","2022","4.20000","0.00061"
"SWE","Suecia","2022","4.20000","0.01414"
"SYR","Siria","2022","4.20000","0.39340"
"TCD","Chad","2022","4.20000","0.61415"
"TGO","Togo","2021","4.20000","0.55632"
"THA","Tailandia","2023","4.20000","0.00154"
"TON","Tonga","2021","4.20000","0.01829"
"TUN","Túnez","2021","4.20000","0.02404"
"TUR","Turquía","2022","4.20000","0.01202"
"TWN","Taiwán","2021","4.20000","0.00000"
"URY","Uruguay","2023","4.20000","0.00748"
"USA","Estados Unidos","2023","4.20000","0.01498"
"UZB","Uzbekistán","2023","4.20000","0.07268"
"VNM","Vietnam","2022","4.20000","0.04164"
"XKX","Kosovo","2021","4.20000","0.28388"
"ZMB","Zambia","2022","4.20000","0.81425"
"ARG","Argentina","2023","8.30000","0.16445"
"ARM","Armenia","2023","8.30000","0.56937"
"AUT","Austria","2022","8.30000","0.01093"
"BEL","Bélgica","2022","8.30000","0.00178"
"BEN","Benin","2021","8.30000","0.86546"
"BFA","Burkina Faso","2021","8.30000","0.90378"
"BGD","Bangladesh","2022","8.30000","0.72158"
"BGR","Bulgaria","2022","8.30000","0.05534"
"BOL","Bolivia","2023","8.30000","0.16532"
"BRA","Brasil","2023","8.30000","0.23393"
"BTN","Bhután","2022","8.30000","0.10058"
"CAF","Rep. Centroafricana","2021","8.30000","0.96072"
"CHE","Suiza","2021","8.30000","0.00150"
"CHL","Chile","2022","8.30000","0.05671"
"CHN","China","2021","8.30000","0.20969"
"CIV","Costa de Marfil","2021","8.30000","0.80901"
"CMR","Camerún","2021","8.30000","0.73983"
"COL","Colombia","2023","8.30000","0.37623"
"CRI","Costa Rica","2024","8.30000","0.12567"
"CYP","Chipre","2022","8.30000","0.00036"
"CZE","Chequia","2022","8.30000","0.00570"
"DNK","Dinamarca","2022","8.30000","0.00804"
"DOM","Rep. Dominicana","2023","8.30000","0.16878"
"ECU","Ecuador","2023","8.30000","0.30816"
"EGY","Egipto","2021","8.30000","0.58455"
"ESP","España","2022","8.30000","0.02397"
"EST","Estonia","2022","8.30000","0.02027"
"ETH","Etiopía","2021","8.30000","0.93478"
"FIN","Finlandia","2022","8.30000","0.00268"
"FRA","Francia","2022","8.30000","0.00353"
"GBR","Reino Unido","2021","8.30000","0.00997"
"GEO","Georgia","2023","8.30000","0.49071"
"GNB","Guinea-Bissau","2021","8.30000","0.91423"
"GNQ","Guinea Ecuatorial","2022","8.30000","0.58123"
"GRC","Grecia","2022","8.30000","0.03626"
"GTM","Guatemala","2023","8.30000","0.47318"
"HND","Honduras","2023","8.30000","0.53348"
"HRV","Croacia","2022","8.30000","0.02382"
"HUN","Hungría","2022","8.30000","0.05084"
"IDN","Indonesia","2024","8.30000","0.68253"
"IND","India","2022","8.30000","0.82061"
"IRL","Irlanda","2022","8.30000","0.00345"
"IRN","Irán","2023","8.30000","0.36057"
"IRQ","Iraq","2023","8.30000","0.27983"
"ISR","Israel","2021","8.30000","0.04245"
"ITA","Italia","2022","8.30000","0.01621"
"JAM","Jamaica","2021","8.30000","0.22851"
"KAZ","Kazajstán","2021","8.30000","0.15153"
"KEN","Kenia","2021","8.30000","0.91333"
"KGZ","Kirguistán","2022","8.30000","0.76769"
"KOR","Corea del Sur","2021","8.30000","0.00498"
"LBN","Líbano","2022","8.30000","0.50671"
"LTU","Lituania","2022","8.30000","0.02632"
"LUX","Luxemburgo","2022","8.30000","0.00246"
"LVA","Letonia","2022","8.30000","0.02926"
"MDA","Moldavia","2022","8.30000","0.19691"
"MEX","México","2022","8.30000","0.27387"
"MLI","Malí","2021","8.30000","0.88643"
"MLT","Malta","2022","8.30000","0.00719"
"MNE","Montenegro","2021","8.30000","0.14505"
"MNG","Mongolia","2022","8.30000","0.24403"
"MYS","Malasia","2021","8.30000","0.02870"
"NER","Níger","2021","8.30000","0.96056"
"NLD","Países Bajos","2021","8.30000","0.00310"
"NOR","Noruega","2022","8.30000","0.00653"
"NPL","Nepal","2022","8.30000","0.52625"
"PAN","Panamá","2023","8.30000","0.19818"
"PER","Perú","2023","8.30000","0.38276"
"PHL","Filipinas","2023","8.30000","0.58744"
"POL","Polonia","2022","8.30000","0.01467"
"PRT","Portugal","2022","8.30000","0.02850"
"PRY","Paraguay","2023","8.30000","0.23227"
"PSE","Palestina","2023","8.30000","0.28585"
"ROU","Rumania","2022","8.30000","0.08609"
"RUS","Rusia","2021","8.30000","0.02218"
"SEN","Senegal","2021","8.30000","0.78587"
