anio,provincia,exportaciones,fob,geocodigoFundar,geonombreFundar
2013,santa_cruz,mineras,853992356,AR-Z,Santa Cruz
2014,santa_cruz,mineras,851145275,AR-Z,Santa Cruz
2015,santa_cruz,mineras,1544047560,AR-Z,Santa Cruz
2016,santa_cruz,mineras,1380026411,AR-Z,Santa Cruz
2017,santa_cruz,mineras,1489263063,AR-Z,Santa Cruz
2018,santa_cruz,mineras,1639898575,AR-Z,Santa Cruz
2019,santa_cruz,mineras,1790910046,AR-Z,Santa Cruz
2020,santa_cruz,mineras,1430588280,AR-Z,Santa Cruz
2021,santa_cruz,mineras,1617048734,AR-Z,Santa Cruz
2022,santa_cruz,mineras,1720065072,AR-Z,Santa Cruz
1998,santa_cruz,otras,692666730,AR-Z,Santa Cruz
1999,santa_cruz,otras,682073911,AR-Z,Santa Cruz
2000,santa_cruz,otras,1005772578,AR-Z,Santa Cruz
2001,santa_cruz,otras,968487840,AR-Z,Santa Cruz
2002,santa_cruz,otras,778444180,AR-Z,Santa Cruz
2003,santa_cruz,otras,868754390,AR-Z,Santa Cruz
2004,santa_cruz,otras,661628264,AR-Z,Santa Cruz
2005,santa_cruz,otras,729661872,AR-Z,Santa Cruz
2006,santa_cruz,otras,926582107,AR-Z,Santa Cruz
2007,santa_cruz,otras,580413058,AR-Z,Santa Cruz
2008,santa_cruz,otras,413057141,AR-Z,Santa Cruz
2009,santa_cruz,otras,813020372,AR-Z,Santa Cruz
2010,santa_cruz,otras,886249217,AR-Z,Santa Cruz
2011,santa_cruz,otras,844451447,AR-Z,Santa Cruz
2012,santa_cruz,otras,917946375,AR-Z,Santa Cruz
2013,santa_cruz,otras,794799644,AR-Z,Santa Cruz
2014,santa_cruz,otras,742577725,AR-Z,Santa Cruz
2015,santa_cruz,otras,507669440,AR-Z,Santa Cruz
2016,santa_cruz,otras,670033589,AR-Z,Santa Cruz
2017,santa_cruz,otras,596558937,AR-Z,Santa Cruz
2018,santa_cruz,otras,774644425,AR-Z,Santa Cruz
2019,santa_cruz,otras,667620954,AR-Z,Santa Cruz
2020,santa_cruz,otras,421363720,AR-Z,Santa Cruz
2021,santa_cruz,otras,508690266,AR-Z,Santa Cruz
2022,santa_cruz,otras,522048928,AR-Z,Santa Cruz
