"anio","prov_desc","apertura_edad","tasa_empleo"
"2017","San Juan","Edad, mayor a 65","0.0745051504746515"
"2017","San Juan","Edad, menor de 18","0.0104093244089071"
"2017","San Juan","Edad, total","0.3567133797486801"
"2017","San Luis","Edad, entre 18 y 65","0.6254483610406316"
"2017","San Luis","Edad, mayor a 65","0.0517234731647131"
"2017","San Luis","Edad, menor de 18","0.0035016192934291"
"2017","San Luis","Edad, total","0.3785240998423714"
"2017","Santa Cruz","Edad, entre 18 y 65","0.640568989760957"
"2017","Santa Cruz","Edad, mayor a 65","0.039621773147567"
"2017","Santa Cruz","Edad, menor de 18","0.0"
"2017","Santa Cruz","Edad, total","0.3990727783272652"
"2017","Santa Fe","Edad, entre 18 y 65","0.6665203985200517"
"2017","Santa Fe","Edad, mayor a 65","0.0779665957495135"
"2017","Santa Fe","Edad, menor de 18","0.0068290902062685"
"2017","Santa Fe","Edad, total","0.4111339693031172"
"2017","Santiago del Estero","Edad, entre 18 y 65","0.607469872881462"
"2017","Santiago del Estero","Edad, mayor a 65","0.0653022754813518"
"2017","Santiago del Estero","Edad, menor de 18","0.0126142518419353"
"2017","Santiago del Estero","Edad, total","0.3748020032523462"
"2017","Tierra del Fuego","Edad, entre 18 y 65","0.6112665884264693"
"2017","Tierra del Fuego","Edad, mayor a 65","0.0576083107071184"
"2017","Tierra del Fuego","Edad, menor de 18","0.0"
"2017","Tierra del Fuego","Edad, total","0.3987161013098622"
"2017","Total","Edad, entre 18 y 65","0.6566020078885534"
"2017","Total","Edad, mayor a 65","0.1213016841805616"
"2017","Total","Edad, menor de 18","0.0091410530524576"
"2017","Total","Edad, total","0.4118468082342911"
"2017","Tucumán","Edad, entre 18 y 65","0.6363875497640161"
"2017","Tucumán","Edad, mayor a 65","0.1157807418114918"
"2017","Tucumán","Edad, menor de 18","0.0161816570646529"
"2017","Tucumán","Edad, total","0.4008806357357143"
"2018","Buenos Aires","Edad, entre 18 y 65","0.6494721464108861"
"2018","Buenos Aires","Edad, mayor a 65","0.1360690799355755"
"2018","Buenos Aires","Edad, menor de 18","0.0074965943056923"
"2018","Buenos Aires","Edad, total","0.4101192195914746"
"2018","CABA","Edad, entre 18 y 65","0.7540716995065624"
"2018","CABA","Edad, mayor a 65","0.1771211051639249"
"2018","CABA","Edad, menor de 18","0.0037261801383053"
"2018","CABA","Edad, total","0.4921451513544095"
"2018","Catamarca","Edad, entre 18 y 65","0.6528550221627498"
"2018","Catamarca","Edad, mayor a 65","0.1395570373898547"
"2018","Catamarca","Edad, menor de 18","0.0049923195084485"
"2018","Catamarca","Edad, total","0.4051060980988997"
"2018","Chaco","Edad, entre 18 y 65","0.5208431056799699"
"2018","Chaco","Edad, mayor a 65","0.0909947103599535"
"2018","Chaco","Edad, menor de 18","0.0097381876334186"
"2018","Chaco","Edad, total","0.3429343620591414"
"2018","Chubut","Edad, entre 18 y 65","0.6278811859288455"
"2018","Chubut","Edad, mayor a 65","0.0633792983068598"
"2018","Chubut","Edad, menor de 18","0.0050292230223887"
"2018","Chubut","Edad, total","0.3842452545504059"
"2018","Corrientes","Edad, entre 18 y 65","0.5993575066382275"
"2018","Corrientes","Edad, mayor a 65","0.1606029708247398"
"2018","Corrientes","Edad, menor de 18","0.0033925983853531"
"2018","Corrientes","Edad, total","0.38955477686754"
"2018","Córdoba","Edad, entre 18 y 65","0.667821721223939"
"2018","Córdoba","Edad, mayor a 65","0.0934772048461645"
"2018","Córdoba","Edad, menor de 18","0.0240188541608215"
"2018","Córdoba","Edad, total","0.4213645873177603"
"2018","Entre Ríos","Edad, entre 18 y 65","0.6751880268155748"
"2018","Entre Ríos","Edad, mayor a 65","0.1202599522993933"
"2018","Entre Ríos","Edad, menor de 18","0.0072983730567825"
"2018","Entre Ríos","Edad, total","0.4295317132320631"
"2018","Formosa","Edad, entre 18 y 65","0.4959525382556874"
"2018","Formosa","Edad, mayor a 65","0.0595018260905248"
"2018","Formosa","Edad, menor de 18","0.0034888760473851"
"2018","Formosa","Edad, total","0.3122319624049031"
"2018","Jujuy","Edad, entre 18 y 65","0.6286971111974925"
"2018","Jujuy","Edad, mayor a 65","0.1572197866685077"
"2018","Jujuy","Edad, menor de 18","0.0071591095441128"
"2018","Jujuy","Edad, total","0.4033872092670649"
"2018","La Pampa","Edad, entre 18 y 65","0.6339173579783849"
"2018","La Pampa","Edad, mayor a 65","0.0521818970134407"
"2018","La Pampa","Edad, menor de 18","0.0033173608551419"
"2018","La Pampa","Edad, total","0.3818355252880783"
