geocodigoFundar,geonombreFundar,anio,valor
LCN,América Latina y el Caribe,1997,26865
LCN,América Latina y el Caribe,1998,28355
LCN,América Latina y el Caribe,1999,31051
LCN,América Latina y el Caribe,2000,33510
LCN,América Latina y el Caribe,2001,35422
LCN,América Latina y el Caribe,2002,40018
LCN,América Latina y el Caribe,2003,43947
LCN,América Latina y el Caribe,2004,48390
LCN,América Latina y el Caribe,2005,54538
LCN,América Latina y el Caribe,2006,66702
LCN,América Latina y el Caribe,2007,70864
LCN,América Latina y el Caribe,2008,80644
LCN,América Latina y el Caribe,2009,88894
LCN,América Latina y el Caribe,2010,94881
LCN,América Latina y el Caribe,2011,102706
LCN,América Latina y el Caribe,2012,112090
LCN,América Latina y el Caribe,2013,120790
LCN,América Latina y el Caribe,2014,129545
LCN,América Latina y el Caribe,2015,134872
LCN,América Latina y el Caribe,2016,145102
LCN,América Latina y el Caribe,2017,154864
LCN,América Latina y el Caribe,2018,166411
LCN,América Latina y el Caribe,2019,179149
LCN,América Latina y el Caribe,2020,196499
LCN,América Latina y el Caribe,2021,207309
LCN,América Latina y el Caribe,2022,198380
RICYT_IBE,Iberoamérica,1990,21397
RICYT_IBE,Iberoamérica,1991,22221
RICYT_IBE,Iberoamérica,1992,24659
RICYT_IBE,Iberoamérica,1993,27747
RICYT_IBE,Iberoamérica,1994,30760
RICYT_IBE,Iberoamérica,1995,34026
RICYT_IBE,Iberoamérica,1996,48211
RICYT_IBE,Iberoamérica,1997,55350
RICYT_IBE,Iberoamérica,1998,57709
RICYT_IBE,Iberoamérica,1999,62231
RICYT_IBE,Iberoamérica,2000,66260
RICYT_IBE,Iberoamérica,2001,70351
RICYT_IBE,Iberoamérica,2002,77760
RICYT_IBE,Iberoamérica,2003,85719
RICYT_IBE,Iberoamérica,2004,94349
RICYT_IBE,Iberoamérica,2005,107366
RICYT_IBE,Iberoamérica,2006,125566
RICYT_IBE,Iberoamérica,2007,134066
RICYT_IBE,Iberoamérica,2008,148562
RICYT_IBE,Iberoamérica,2009,163772
RICYT_IBE,Iberoamérica,2010,175154
RICYT_IBE,Iberoamérica,2011,190417
RICYT_IBE,Iberoamérica,2012,206524
RICYT_IBE,Iberoamérica,2013,221503
RICYT_IBE,Iberoamérica,2014,232208
RICYT_IBE,Iberoamérica,2015,238855
RICYT_IBE,Iberoamérica,2016,250795
RICYT_IBE,Iberoamérica,2017,263229
RICYT_IBE,Iberoamérica,2018,277771
RICYT_IBE,Iberoamérica,2019,298579
RICYT_IBE,Iberoamérica,2020,326474
RICYT_IBE,Iberoamérica,2021,347428
RICYT_IBE,Iberoamérica,2022,336855
