geocodigoFundar,geonombreFundar,anio,idp,institucion,ranking
BRA,Brasil,2022,25589,Museu Paraense Emilio Goeldi,21
BRA,Brasil,2023,25589,Museu Paraense Emilio Goeldi,19
BRA,Brasil,2024,25589,Museu Paraense Emilio Goeldi,46
ARG,Argentina,2009,72338,Centro Cientifico Tecnologico La Plata,12
ARG,Argentina,2010,72338,Centro Cientifico Tecnologico La Plata,9
ARG,Argentina,2011,72338,Centro Cientifico Tecnologico La Plata,5
ARG,Argentina,2012,72338,Centro Cientifico Tecnologico La Plata,6
ARG,Argentina,2013,72338,Centro Cientifico Tecnologico La Plata,7
ARG,Argentina,2014,72338,Centro Cientifico Tecnologico La Plata,8
ARG,Argentina,2015,72338,Centro Cientifico Tecnologico La Plata,8
ARG,Argentina,2016,72338,Centro Cientifico Tecnologico La Plata,9
ARG,Argentina,2017,72338,Centro Cientifico Tecnologico La Plata,7
ARG,Argentina,2018,72338,Centro Cientifico Tecnologico La Plata,6
ARG,Argentina,2019,72338,Centro Cientifico Tecnologico La Plata,10
ARG,Argentina,2020,72338,Centro Cientifico Tecnologico La Plata,7
ARG,Argentina,2021,72338,Centro Cientifico Tecnologico La Plata,6
ARG,Argentina,2022,72338,Centro Cientifico Tecnologico La Plata,6
ARG,Argentina,2023,72338,Centro Cientifico Tecnologico La Plata,10
ARG,Argentina,2024,72338,Centro Cientifico Tecnologico La Plata,5
ARG,Argentina,2009,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",16
ARG,Argentina,2010,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",17
ARG,Argentina,2011,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",12
ARG,Argentina,2012,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",8
ARG,Argentina,2013,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",10
ARG,Argentina,2014,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",11
ARG,Argentina,2015,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",12
ARG,Argentina,2016,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",14
ARG,Argentina,2017,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",17
ARG,Argentina,2018,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",18
ARG,Argentina,2019,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",30
ARG,Argentina,2020,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",16
ARG,Argentina,2021,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",17
ARG,Argentina,2022,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",23
ARG,Argentina,2023,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",32
ARG,Argentina,2024,25475,"Instituto de Investigaciones FisicoQuimicas, Teoricas y Aplicadas",10
BRA,Brasil,2023,94526,Embrapa Agroindustria Tropical,15
BRA,Brasil,2024,94526,Embrapa Agroindustria Tropical,28
CHL,Chile,2021,25752,Agencia Nacional de Investigacion y Desarrollo de Chile,27
