"geocodigoFundar","geonombreFundar","anio","categoria","indicador","porcentaje_pbi","porcentaje_total"
"América Latina y el Caribe","América Latina y el Caribe","2008","Otros","Ingreso no percibido (Revenue Forgone)","0.09000",""
"América Latina y el Caribe","América Latina y el Caribe","2009","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.78000",""
"América Latina y el Caribe","América Latina y el Caribe","2009","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.64000",""
"América Latina y el Caribe","América Latina y el Caribe","2009","Otros","Ingreso no percibido (Revenue Forgone)","0.11000",""
"América Latina y el Caribe","América Latina y el Caribe","2010","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.45000",""
"América Latina y el Caribe","América Latina y el Caribe","2010","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.65000",""
"América Latina y el Caribe","América Latina y el Caribe","2010","Otros","Ingreso no percibido (Revenue Forgone)","0.13000",""
"América Latina y el Caribe","América Latina y el Caribe","2011","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.44000",""
"América Latina y el Caribe","América Latina y el Caribe","2011","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.73000",""
"América Latina y el Caribe","América Latina y el Caribe","2011","Otros","Ingreso no percibido (Revenue Forgone)","0.13000",""
"América Latina y el Caribe","América Latina y el Caribe","2012","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.46000",""
"América Latina y el Caribe","América Latina y el Caribe","2012","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.70000",""
"América Latina y el Caribe","América Latina y el Caribe","2012","Otros","Ingreso no percibido (Revenue Forgone)","0.14000",""
"América Latina y el Caribe","América Latina y el Caribe","2013","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.40000",""
"América Latina y el Caribe","América Latina y el Caribe","2013","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.35000",""
"América Latina y el Caribe","América Latina y el Caribe","2013","Otros","Ingreso no percibido (Revenue Forgone)","0.12000",""
"América Latina y el Caribe","América Latina y el Caribe","2014","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.44000",""
"América Latina y el Caribe","América Latina y el Caribe","2014","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.30000",""
"América Latina y el Caribe","América Latina y el Caribe","2014","Otros","Ingreso no percibido (Revenue Forgone)","0.12000",""
"América Latina y el Caribe","América Latina y el Caribe","2015","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.49000",""
"América Latina y el Caribe","América Latina y el Caribe","2015","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.35000",""
"América Latina y el Caribe","América Latina y el Caribe","2015","Otros","Ingreso no percibido (Revenue Forgone)","0.14000",""
"América Latina y el Caribe","América Latina y el Caribe","2016","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.36000",""
"América Latina y el Caribe","América Latina y el Caribe","2016","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.23000",""
"América Latina y el Caribe","América Latina y el Caribe","2016","Otros","Ingreso no percibido (Revenue Forgone)","0.13000",""
"América Latina y el Caribe","América Latina y el Caribe","2017","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.64000",""
"América Latina y el Caribe","América Latina y el Caribe","2017","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.18000",""
"América Latina y el Caribe","América Latina y el Caribe","2017","Otros","Ingreso no percibido (Revenue Forgone)","0.12000",""
"América Latina y el Caribe","América Latina y el Caribe","2018","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.75000",""
"América Latina y el Caribe","América Latina y el Caribe","2018","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.37000",""
"América Latina y el Caribe","América Latina y el Caribe","2018","Otros","Ingreso no percibido (Revenue Forgone)","0.12000",""
"América Latina y el Caribe","América Latina y el Caribe","2019","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.51000",""
"América Latina y el Caribe","América Latina y el Caribe","2019","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.11000",""
"América Latina y el Caribe","América Latina y el Caribe","2019","Otros","Ingreso no percibido (Revenue Forgone)","0.11000",""
"América Latina y el Caribe","América Latina y el Caribe","2020","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.42000",""
"América Latina y el Caribe","América Latina y el Caribe","2020","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.16000",""
"América Latina y el Caribe","América Latina y el Caribe","2020","Otros","Ingreso no percibido (Revenue Forgone)","0.13000",""
"América Latina y el Caribe","América Latina y el Caribe","2021","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.52000",""
"América Latina y el Caribe","América Latina y el Caribe","2021","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.63000",""
"América Latina y el Caribe","América Latina y el Caribe","2021","Otros","Ingreso no percibido (Revenue Forgone)","0.15000",""
"América Latina y el Caribe","América Latina y el Caribe","2022","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.47000",""
"América Latina y el Caribe","América Latina y el Caribe","2022","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.42000",""
"América Latina y el Caribe","América Latina y el Caribe","2022","Otros","Ingreso no percibido (Revenue Forgone)","0.12000",""
"América Latina y el Caribe","América Latina y el Caribe","2023","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.29000",""
"América Latina y el Caribe","América Latina y el Caribe","2023","Al ingreso","Ingreso no percibido (Revenue Forgone)","2.85000",""
"América Latina y el Caribe","América Latina y el Caribe","2023","Otros","Ingreso no percibido (Revenue Forgone)","0.29000",""
"América Latina y el Caribe","América Latina y el Caribe","2024","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.01000",""
"América Latina y el Caribe","América Latina y el Caribe","2024","Al ingreso","Ingreso no percibido (Revenue Forgone)","3.81000",""
"América Latina y el Caribe","América Latina y el Caribe","2024","Otros","Ingreso no percibido (Revenue Forgone)","0.28000",""
"América Latina y el Caribe","América Latina y el Caribe","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.33000",""
"América Latina y el Caribe","América Latina y el Caribe","2025","Al ingreso","Ingreso no percibido (Revenue Forgone)","3.84000",""
"América Latina y el Caribe","América Latina y el Caribe","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.27000",""
"DZA","Argelia","2009","Otros","Ingreso no percibido (Revenue Forgone)","4.12082","39.26702"
