"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"AR-Y","Jujuy","2021","Porcentaje del PBG","3.24177"
"AR-L","La Pampa","2021","Porcentaje del PBG","4.33994"
"AR-F","La Rioja","2021","Porcentaje del PBG","2.69239"
"AR-M","Mendoza","2021","Porcentaje del PBG","4.68012"
"AR-N","Misiones","2021","Porcentaje del PBG","11.50609"
"AR-Q","Neuquén","2021","Porcentaje del PBG","5.20613"
"AR-R","Río Negro","2021","Porcentaje del PBG","3.96157"
"AR-A","Salta","2021","Porcentaje del PBG","4.99129"
"AR-J","San Juan","2021","Porcentaje del PBG","2.35921"
"AR-D","San Luis","2021","Porcentaje del PBG","3.66983"
"AR-Z","Santa Cruz","2021","Porcentaje del PBG","3.38823"
"AR-S","Santa Fe","2021","Porcentaje del PBG","4.27120"
"AR-G","Santiago del Estero","2021","Porcentaje del PBG","1.77393"
"AR-V","Tierra del Fuego","2021","Porcentaje del PBG","3.14790"
"ARG","Total","2021","Porcentaje del PBG","4.60988"
"AR-T","Tucumán","2021","Porcentaje del PBG","6.05538"
"AR-B","Buenos Aires","2022","Porcentaje del PBG","4.76824"
"AR-C","CABA","2022","Porcentaje del PBG","5.94930"
"AR-K","Catamarca","2022","Porcentaje del PBG","4.03820"
"AR-H","Chaco","2022","Porcentaje del PBG","3.21860"
"AR-U","Chubut","2022","Porcentaje del PBG","3.65719"
"AR-W","Corrientes","2022","Porcentaje del PBG","3.29835"
"AR-X","Córdoba","2022","Porcentaje del PBG","4.01253"
"AR-E","Entre Ríos","2022","Porcentaje del PBG","3.47245"
"AR-P","Formosa","2022","Porcentaje del PBG","3.83786"
"AR-Y","Jujuy","2022","Porcentaje del PBG","3.20033"
"AR-L","La Pampa","2022","Porcentaje del PBG","4.37053"
"AR-F","La Rioja","2022","Porcentaje del PBG","2.67827"
"AR-M","Mendoza","2022","Porcentaje del PBG","4.88167"
"AR-N","Misiones","2022","Porcentaje del PBG","12.17498"
"AR-Q","Neuquén","2022","Porcentaje del PBG","5.05359"
"AR-R","Río Negro","2022","Porcentaje del PBG","4.06306"
"AR-A","Salta","2022","Porcentaje del PBG","5.18782"
"AR-J","San Juan","2022","Porcentaje del PBG","2.29444"
"AR-D","San Luis","2022","Porcentaje del PBG","3.90059"
"AR-Z","Santa Cruz","2022","Porcentaje del PBG","3.69599"
"AR-S","Santa Fe","2022","Porcentaje del PBG","4.37033"
"AR-G","Santiago del Estero","2022","Porcentaje del PBG","1.70406"
"AR-V","Tierra del Fuego","2022","Porcentaje del PBG","2.99141"
"ARG","Total","2022","Porcentaje del PBG","4.75480"
"AR-T","Tucumán","2022","Porcentaje del PBG","6.03155"
"AR-B","Buenos Aires","2023","Porcentaje del PBG","4.71096"
"AR-C","CABA","2023","Porcentaje del PBG","7.26360"
"AR-K","Catamarca","2023","Porcentaje del PBG","3.83864"
"AR-H","Chaco","2023","Porcentaje del PBG","3.11947"
"AR-U","Chubut","2023","Porcentaje del PBG","3.74237"
"AR-W","Corrientes","2023","Porcentaje del PBG","3.24798"
"AR-X","Córdoba","2023","Porcentaje del PBG","4.15776"
"AR-E","Entre Ríos","2023","Porcentaje del PBG","3.50213"
"AR-P","Formosa","2023","Porcentaje del PBG","3.80287"
"AR-Y","Jujuy","2023","Porcentaje del PBG","3.20067"
"AR-L","La Pampa","2023","Porcentaje del PBG","4.50478"
"AR-F","La Rioja","2023","Porcentaje del PBG","2.63282"
"AR-M","Mendoza","2023","Porcentaje del PBG","5.25254"
"AR-N","Misiones","2023","Porcentaje del PBG","11.67639"
"AR-Q","Neuquén","2023","Porcentaje del PBG","4.66411"
"AR-R","Río Negro","2023","Porcentaje del PBG","4.17519"
"AR-A","Salta","2023","Porcentaje del PBG","5.27629"
"AR-J","San Juan","2023","Porcentaje del PBG","2.45015"
"AR-D","San Luis","2023","Porcentaje del PBG","3.85653"
"AR-Z","Santa Cruz","2023","Porcentaje del PBG","3.52505"
"AR-S","Santa Fe","2023","Porcentaje del PBG","4.35309"
"AR-G","Santiago del Estero","2023","Porcentaje del PBG","1.77045"
"AR-V","Tierra del Fuego","2023","Porcentaje del PBG","2.94561"
"ARG","Total","2023","Porcentaje del PBG","4.99942"
"AR-T","Tucumán","2023","Porcentaje del PBG","6.06467"
"AR-B","Buenos Aires","2024","Porcentaje del PBG","4.96898"
"AR-C","CABA","2024","Porcentaje del PBG","5.68240"
"AR-K","Catamarca","2024","Porcentaje del PBG","4.39689"
"AR-H","Chaco","2024","Porcentaje del PBG","3.00887"
"AR-U","Chubut","2024","Porcentaje del PBG","3.85477"
"AR-W","Corrientes","2024","Porcentaje del PBG","3.38359"
"AR-X","Córdoba","2024","Porcentaje del PBG","4.05698"
"AR-E","Entre Ríos","2024","Porcentaje del PBG","3.52655"
"AR-P","Formosa","2024","Porcentaje del PBG","3.70428"
"AR-Y","Jujuy","2024","Porcentaje del PBG","3.30159"
"AR-L","La Pampa","2024","Porcentaje del PBG","4.53814"
"AR-F","La Rioja","2024","Porcentaje del PBG","2.97446"
"AR-M","Mendoza","2024","Porcentaje del PBG","4.88381"
"AR-N","Misiones","2024","Porcentaje del PBG","12.13616"
"AR-Q","Neuquén","2024","Porcentaje del PBG","5.09534"
"AR-R","Río Negro","2024","Porcentaje del PBG","4.58289"
"AR-A","Salta","2024","Porcentaje del PBG","5.66509"
"AR-J","San Juan","2024","Porcentaje del PBG","2.26884"
"AR-D","San Luis","2024","Porcentaje del PBG","4.02159"
"AR-Z","Santa Cruz","2024","Porcentaje del PBG","3.70784"
"AR-S","Santa Fe","2024","Porcentaje del PBG","4.28310"
"AR-G","Santiago del Estero","2024","Porcentaje del PBG","1.70447"
"AR-V","Tierra del Fuego","2024","Porcentaje del PBG","2.88942"
"ARG","Total","2024","Porcentaje del PBG","4.82302"
"AR-T","Tucumán","2024","Porcentaje del PBG","6.37618"
