"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"KGZ","Kyrgyzstan",1,"Diferenciado","72.8015736616311"
2020,"KGZ","Kyrgyzstan",2,"No diferenciado","27.1984263383689"
2020,"KHM","Cambodia",1,"Diferenciado","61.1276489699544"
2020,"KHM","Cambodia",2,"No diferenciado","38.8723510300455"
2020,"KIR","Kiribati",1,"Diferenciado","42.5583998759162"
2020,"KIR","Kiribati",2,"No diferenciado","57.4416001240837"
2020,"KNA","Saint Kitts and Nevis",1,"Diferenciado","72.4245261567342"
2020,"KNA","Saint Kitts and Nevis",2,"No diferenciado","27.5754738432658"
2020,"KOR","Rep. of Korea",1,"Diferenciado","57.9315251442455"
2020,"KOR","Rep. of Korea",2,"No diferenciado","42.0684748557545"
2020,"KWT","Kuwait",1,"Diferenciado","75.8015965637037"
2020,"KWT","Kuwait",2,"No diferenciado","24.1984034362964"
2020,"LAO","Lao People's Dem. Rep.",1,"Diferenciado","57.9806010704397"
2020,"LAO","Lao People's Dem. Rep.",2,"No diferenciado","42.0193989295602"
2020,"LBN","Lebanon",1,"Diferenciado","44.123577515117"
2020,"LBN","Lebanon",2,"No diferenciado","55.876422484883"
2020,"LBR","Liberia",1,"Diferenciado","80.5392366854271"
2020,"LBR","Liberia",2,"No diferenciado","19.460763314573"
2020,"LBY","Libya",1,"Diferenciado","64.2069094868289"
2020,"LBY","Libya",2,"No diferenciado","35.7930905131711"
2020,"LCA","Saint Lucia",1,"Diferenciado","58.9683856517118"
2020,"LCA","Saint Lucia",2,"No diferenciado","41.0316143482883"
2020,"LKA","Sri Lanka",1,"Diferenciado","49.2446323295705"
2020,"LKA","Sri Lanka",2,"No diferenciado","50.7553676704295"
2020,"LSO","Lesotho",1,"Diferenciado","63.4753215219318"
2020,"LSO","Lesotho",2,"No diferenciado","36.5246784780682"
2020,"LTU","Lithuania",1,"Diferenciado","61.8909633555123"
2020,"LTU","Lithuania",2,"No diferenciado","38.1090366444877"
2020,"LUX","Luxembourg",1,"Diferenciado","67.8777293156582"
2020,"LUX","Luxembourg",2,"No diferenciado","32.1222706843417"
2020,"LVA","Latvia",1,"Diferenciado","65.3037458258051"
2020,"LVA","Latvia",2,"No diferenciado","34.6962541741949"
2020,"MAC","China, Macao SAR",1,"Diferenciado","85.3091164816046"
2020,"MAC","China, Macao SAR",2,"No diferenciado","14.6908835183954"
2020,"MAR","Morocco",1,"Diferenciado","59.8876925652181"
2020,"MAR","Morocco",2,"No diferenciado","40.1123074347818"
2020,"MDA","Rep. of Moldova",1,"Diferenciado","70.5612079184502"
2020,"MDA","Rep. of Moldova",2,"No diferenciado","29.4387920815497"
2020,"MDG","Madagascar",1,"Diferenciado","55.8145284602418"
2020,"MDG","Madagascar",2,"No diferenciado","44.1854715397582"
2020,"MDV","Maldives",1,"Diferenciado","73.1705198530611"
2020,"MDV","Maldives",2,"No diferenciado","26.8294801469388"
2020,"MEX","Mexico",1,"Diferenciado","72.6593332593086"
2020,"MEX","Mexico",2,"No diferenciado","27.3406667406915"
2020,"MHL","Marshall Isds",1,"Diferenciado","91.9394179676068"
2020,"MHL","Marshall Isds",2,"No diferenciado","8.06058203239325"
2020,"MKD","North Macedonia",1,"Diferenciado","64.666809277829"
2020,"MKD","North Macedonia",2,"No diferenciado","35.333190722171"
2020,"MLI","Mali",1,"Diferenciado","55.8868350983853"
2020,"MLI","Mali",2,"No diferenciado","44.1131649016148"
2020,"MLT","Malta",1,"Diferenciado","66.9105161510578"
2020,"MLT","Malta",2,"No diferenciado","33.0894838489422"
2020,"MMR","Myanmar",1,"Diferenciado","61.4848373715976"
2020,"MMR","Myanmar",2,"No diferenciado","38.5151626284024"
2020,"MNE","Montenegro",1,"Diferenciado","69.9072794708472"
2020,"MNE","Montenegro",2,"No diferenciado","30.0927205291527"
2020,"MNG","Mongolia",1,"Diferenciado","65.1063197314543"
2020,"MNG","Mongolia",2,"No diferenciado","34.8936802685457"
2020,"MNP","N. Mariana Isds",1,"Diferenciado","26.8933944044807"
2020,"MNP","N. Mariana Isds",2,"No diferenciado","73.1066055955194"
2020,"MOZ","Mozambique",1,"Diferenciado","42.0442165320924"
2020,"MOZ","Mozambique",2,"No diferenciado","57.9557834679075"
2020,"MRT","Mauritania",1,"Diferenciado","63.8537454956467"
2020,"MRT","Mauritania",2,"No diferenciado","36.1462545043532"
2020,"MSR","Montserrat",1,"Diferenciado","61.5664581021559"
2020,"MSR","Montserrat",2,"No diferenciado","38.4335418978442"
2020,"MUS","Mauritius",1,"Diferenciado","54.0236135814562"
2020,"MUS","Mauritius",2,"No diferenciado","45.9763864185438"
2020,"MWI","Malawi",1,"Diferenciado","58.8603813478529"
2020,"MWI","Malawi",2,"No diferenciado","41.1396186521471"
2020,"MYS","Malaysia",1,"Diferenciado","61.0358926616304"
2020,"MYS","Malaysia",2,"No diferenciado","38.9641073383695"
2020,"NAM","Namibia",1,"Diferenciado","54.6701650521583"
2020,"NAM","Namibia",2,"No diferenciado","45.3298349478417"
2020,"NCL","New Caledonia",1,"Diferenciado","74.2084121413331"
2020,"NCL","New Caledonia",2,"No diferenciado","25.791587858667"
2020,"NER","Niger",1,"Diferenciado","68.82297939649"
2020,"NER","Niger",2,"No diferenciado","31.17702060351"
2020,"NFK","Norfolk Isds",1,"Diferenciado","10.5701219753732"
2020,"NFK","Norfolk Isds",2,"No diferenciado","89.4298780246269"
2020,"NGA","Nigeria",1,"Diferenciado","57.3616348522194"
2020,"NGA","Nigeria",2,"No diferenciado","42.6383651477806"
2020,"NIC","Nicaragua",1,"Diferenciado","70.2920128835597"
2020,"NIC","Nicaragua",2,"No diferenciado","29.7079871164403"
2020,"NIU","Niue",1,"Diferenciado","95.3184576653767"
2020,"NIU","Niue",2,"No diferenciado","4.68154233462325"
2020,"NLD","Netherlands",1,"Diferenciado","64.3031516686575"
2020,"NLD","Netherlands",2,"No diferenciado","35.6968483313426"
2020,"NOR","Norway",1,"Diferenciado","75.0184367064801"
2020,"NOR","Norway",2,"No diferenciado","24.98156329352"
2020,"NPL","Nepal",1,"Diferenciado","49.17913256863"
2020,"NPL","Nepal",2,"No diferenciado","50.82086743137"
2020,"NRU","Nauru",1,"Diferenciado","14.8602724834547"
2020,"NRU","Nauru",2,"No diferenciado","85.1397275165453"
2020,"NZL","New Zealand",1,"Diferenciado","71.90389137231"
2020,"NZL","New Zealand",2,"No diferenciado","28.09610862769"
2020,"OMN","Oman",1,"Diferenciado","62.1102754991599"
2020,"OMN","Oman",2,"No diferenciado","37.8897245008401"
2020,"PAK","Pakistan",1,"Diferenciado","41.6808459295339"
2020,"PAK","Pakistan",2,"No diferenciado","58.319154070466"
2020,"PAN","Panama",1,"Diferenciado","69.6796119624522"
2020,"PAN","Panama",2,"No diferenciado","30.3203880375478"
2020,"PCN","Pitcairn",1,"Diferenciado","73.0008140883092"
2020,"PCN","Pitcairn",2,"No diferenciado","26.9991859116908"
