geocodigoFundar,geonombreFundar,anio,country_name_abbreviation,sector_bp,sector_bp_name,export_value_pc
MNP,Islas Marianas,2020,N. Mariana Isds,3,Minerales,0.004848043889454
IOT,Territorio Británico del Océano Índico,2020,Br. Indian Ocean Terr.,3,Minerales,0.0031944905122477
EST,Estonia,2020,Estonia,12,Transporte,6.76712953801619
FLK,Islas Malvinas,2020,Falkland Isds (Malvinas),12,Transporte,30.1952057694436
FRA,Francia,2020,France,5,Plásticos y gomas,5.15528129275176
LBN,Líbano,2020,Lebanon,5,Plásticos y gomas,3.10137953653347
PAN,Panamá,2020,Panama,7,Madera,1.97060289354394
WLF,Wallis y Futuna,2020,Wallis and Futuna Isds,7,Madera,0.0022582015801468
FJI,Fiji,2020,Fiji,13,Otros productos industriales,1.15884594186244
GRC,Grecia,2020,Greece,6,Cueros y pieles,0.3928244419929
KGZ,Kirguistán,2020,Kyrgyzstan,2,Alimentos procesados,1.77941084239825
MDG,Madagascar,2020,Madagascar,2,Alimentos procesados,5.42819356908034
WSM,Samoa,2020,Samoa,6,Cueros y pieles,0.0586842340073959
GUY,Guyana,2020,Guyana,5,Plásticos y gomas,0.114748827921113
HTI,Haití,2020,Haiti,5,Plásticos y gomas,0.188151682667618
VUT,Vanuatu,2020,Vanuatu,5,Plásticos y gomas,0.0323479901350563
BMU,Bermuda,2020,Bermuda,7,Madera,0.0700239575956475
CYP,Chipre,2020,Cyprus,2,Alimentos procesados,4.0407803538587
HND,Honduras,2020,Honduras,11,Maquinaria,8.04680688930157
LBN,Líbano,2020,Lebanon,13,Otros productos industriales,2.58503497973907
SLV,El Salvador,2020,El Salvador,6,Cueros y pieles,0.14283062769808
BGD,Bangladesh,2020,Bangladesh,10,Metales,0.289543135758908
ABW,Aruba,2020,Aruba,2,Alimentos procesados,22.5628829220918
EGY,Egipto,2020,Egypt,5,Plásticos y gomas,6.02062548157387
GMB,Gambia,2020,Gambia,11,Maquinaria,4.23589186018591
MOZ,Mozambique,2020,Mozambique,2,Alimentos procesados,9.04841966932864
PER,Perú,2020,Peru,2,Alimentos procesados,4.32715518163767
TKL,Tokelau,2020,Tokelau,3,Minerales,0.252907329310547
WLF,Wallis y Futuna,2020,Wallis and Futuna Isds,2,Alimentos procesados,0.0130143722645305
STP,Santo Tomé y Príncipe,2020,Sao Tome and Principe,5,Plásticos y gomas,0.953394357306613
SRB,Serbia,2020,Serbia,5,Plásticos y gomas,9.4545071063995
CCK,Islas Cocos,2020,Cocos Isds,9,Piedra y vidrio,0.174432556632768
PRK,Corea del Norte,2020,Dem. People's Rep. of Korea,7,Madera,0.694687893017006
NGA,Nigeria,2020,Nigeria,11,Maquinaria,0.351849697448225
TCA,Islas Turcas y Caicos,2020,Turks and Caicos Isds,1,Productos agropecuarios,3.09784808371139
CAN,Canadá,2020,Canada,2,Alimentos procesados,3.65956479867769
GNB,Guinea-Bissau,2020,Guinea-Bissau,6,Cueros y pieles,0.0026029167561615
JPN,Japón,2020,Japan,6,Cueros y pieles,0.0405741945863771
BFA,Burkina Faso,2020,Burkina Faso,2,Alimentos procesados,0.114266488544793
UZB,Uzbekistán,2020,Uzbekistan,2,Alimentos procesados,0.630517151418691
BFA,Burkina Faso,2020,Burkina Faso,12,Transporte,0.190615559805184
ECU,Ecuador,2020,Ecuador,10,Metales,1.54585599535166
BHR,Bahrein,2020,Bahrain,6,Cueros y pieles,0.0385917642789432
GIB,Gibraltar,2020,Gibraltar,5,Plásticos y gomas,0.408794970132189
HTI,Haití,2020,Haiti,7,Madera,0.194357847954478
ISL,Islandia,2020,Iceland,12,Transporte,0.56752119202145
CHE,Suiza,2020,Switzerland,12,Transporte,1.93903929561103
AND,Andorra,2020,Andorra,12,Transporte,13.1376637402336
GMB,Gambia,2020,Gambia,7,Madera,6.79694418998404
TJK,Tayikistán,2020,Tajikistan,12,Transporte,0.369043060680873
BLR,Belarús,2020,Belarus,5,Plásticos y gomas,4.92671245808563
QAT,Qatar,2020,Qatar,9,Piedra y vidrio,1.35571571866207
RUS,Rusia,2020,Russian Federation,5,Plásticos y gomas,1.97139127097932
CHN,China,2020,China,5,Plásticos y gomas,4.53842061672488
GHA,Ghana,2020,Ghana,12,Transporte,0.12879373511754
NCL,Nueva Caledonia,2020,New Caledonia,6,Cueros y pieles,0.0013819484402601
SEN,Senegal,2020,Senegal,7,Madera,0.771403585416816
SDN,Sudán,2020,Sudan,11,Maquinaria,0.0455064356730466
KHM,Camboya,2020,Cambodia,11,Maquinaria,3.53421939835225
GMB,Gambia,2020,Gambia,5,Plásticos y gomas,0.0047842025746525
HUN,Hungría,2020,Hungary,5,Plásticos y gomas,5.95932873284122
TUV,Tuvalu,2020,Tuvalu,6,Cueros y pieles,0.0100063637280562
ECU,Ecuador,2020,Ecuador,6,Cueros y pieles,0.0626357636054378
ISR,Israel,2020,Israel,13,Otros productos industriales,14.1333831456408
SRB,Serbia,2020,Serbia,13,Otros productos industriales,5.61586292024792
SLB,Islas Salomón,2020,Solomon Isds,6,Cueros y pieles,0.0001578182477166
BEN,Benin,2020,Benin,5,Plásticos y gomas,0.303269834235093
HND,Honduras,2020,Honduras,12,Transporte,0.914095864057138
VNM,Vietnam,2020,Viet Nam,5,Plásticos y gomas,3.40588805892122
TJK,Tayikistán,2020,Tajikistan,2,Alimentos procesados,0.673254595769659
PAK,Pakistán,2020,Pakistan,11,Maquinaria,1.39042957427647
SVN,Eslovenia,2020,Slovenia,2,Alimentos procesados,2.03114498783261
RWA,Ruanda,2020,Rwanda,5,Plásticos y gomas,0.462626932489718
HTI,Haití,2020,Haiti,6,Cueros y pieles,0.219989624154479
IND,India,2020,India,2,Alimentos procesados,2.5622565087844
ZMB,Zambia,2020,Zambia,2,Alimentos procesados,4.46663960554402
TWN,Taiwán,2020,"Other Asia, nes",2,Alimentos procesados,0.628389813889701
DNK,Dinamarca,2020,Denmark,2,Alimentos procesados,5.50341348339195
TUV,Tuvalu,2020,Tuvalu,3,Minerales,0.0156372109020748
MAC,Macao,2020,"China, Macao SAR",3,Minerales,0.652825938543999
NIC,Nicaragua,2020,Nicaragua,5,Plásticos y gomas,0.285905699491745
PAK,Pakistán,2020,Pakistan,7,Madera,0.442285261500029
SGP,Singapur,2020,Singapore,2,Alimentos procesados,3.49059682562034
RUS,Rusia,2020,Russian Federation,2,Alimentos procesados,1.74013164064534
GMB,Gambia,2020,Gambia,4,Químicos,0.136970528544621
