"iso3","location_name_short_en","partner_code","partner_name_short_en","export_value_pca","export_value_pcb"
"ISL","Iceland","URY","Uruguay",,"0.00870852632815026"
"ISL","Iceland","CAN","Canada",,"1.64339889715401"
"ISL","Iceland","MRT","Mauritania",,"0.00686305572848835"
"ISL","Iceland","BLR","Belarus",,"0.729557604359218"
"ISL","Iceland","BDI","Burundi",,"0.000500493842552342"
"ISL","Iceland","JOR","Jordan",,"0.0025877861458361"
"ISL","Iceland","NPL","Nepal",,"0.000539988924844916"
"ISL","Iceland","SVK","Slovakia",,"0.180699793370236"
"ISL","Iceland","PAN","Panama",,"0.00467503267528805"
"ISL","Iceland","SDN","Sudan",,"0.00014439901657183"
"ISL","Iceland","ALB","Albania",,"0.00655597341707429"
"LBN","Lebanon","NAM","Namibia",,"0.00199660291685059"
"LBN","Lebanon","FJI","Fiji",,"0.00458197608630381"
"LBN","Lebanon","ABW","Aruba",,"0.00136704395263351"
"LBN","Lebanon","CYP","Cyprus",,"0.519252740044824"
"LBN","Lebanon","MAR","Morocco",,"0.501271936095498"
"LBN","Lebanon","PAK","Pakistan",,"0.0998123585968347"
"LBN","Lebanon","PSE","Palestine",,"0"
"LBN","Lebanon","DNK","Denmark",,"0.0665570511538348"
"LBN","Lebanon","SGP","Singapore",,"0.0410142605873122"
"LKA","Sri Lanka","ARE","United Arab Emirates",,"2.07053421368118"
"LKA","Sri Lanka","ARM","Armenia",,"0.0117223387012693"
"LKA","Sri Lanka","QAT","Qatar",,"0.232584824150174"
"LKA","Sri Lanka","SLE","Sierra Leone",,"0.0196785557367536"
"LKA","Sri Lanka","MLI","Mali",,"0.0411541611299125"
"NIC","Nicaragua","GEO","Georgia",,"0.00159443813958954"
"NIC","Nicaragua","LBR","Liberia",,"0.00134010222762401"
"NIC","Nicaragua","PYF","French Polynesia",,"0.00140036100118486"
"NIC","Nicaragua","VEN","Venezuela",,"0.653533059184345"
"NIC","Nicaragua","DEU","Germany",,"1.27931133659475"
"NIC","Nicaragua","CAN","Canada",,"1.38293951674884"
"NIC","Nicaragua","SWE","Sweden",,"0.229740483041522"
"NIC","Nicaragua","CUB","Cuba",,"0.0725980272965423"
"NIC","Nicaragua","IRN","Iran",,"0.000759608842153121"
"NIC","Nicaragua","MYS","Malaysia",,"0.113302598661109"
"NIC","Nicaragua","TUR","Turkey",,"0.0174026061058989"
"NIC","Nicaragua","HTI","Haiti",,"0.2094944341382"
"NIC","Nicaragua","LUX","Luxembourg",,"0.00326754952127989"
"NIC","Nicaragua","KOR","South Korea",,"0.509575193016924"
"PNG","Papua New Guinea","BGR","Bulgaria",,"0.604441423315668"
"PNG","Papua New Guinea","ZAF","South Africa",,"0.00148729485243528"
"PNG","Papua New Guinea","PAK","Pakistan",,"0.00169710305529524"
"PNG","Papua New Guinea","SVN","Slovenia",,"0.00227777786650984"
"PNG","Papua New Guinea","MNE","Montenegro",,"0.000234625859528674"
