anio,iso3,country_name_abbreviation,sector_bp,sector_bp_name,import_value_pc,geocodigoFundar,geonombreFundar
2020,DJI,Djibouti,4,Químicos,4.74451243148176,DJI,Djibouti
2020,GMB,Gambia,10,Metales,2.45590546527595,GMB,Gambia
2020,GIN,Guinea,6,Cueros y pieles,0.846924994888836,GIN,Guinea
2020,VCT,Saint Vincent and the Grenadines,10,Metales,4.81834516831937,VCT,San Vicente y las Granadinas
2020,SYC,Seychelles,11,Maquinaria,6.04733322359486,SYC,Seychelles
2020,SLE,Sierra Leone,9,Piedra y vidrio,2.99589768324717,SLE,Sierra Leona
2020,SDN,Sudan,3,Minerales,2.3259730967158,SDN,Sudán
2020,CUB,Cuba,6,Cueros y pieles,0.171637990862957,CUB,Cuba
2020,DNK,Denmark,4,Químicos,11.1101756227439,DNK,Dinamarca
2020,ERI,Eritrea,2,Alimentos procesados,12.4501797572358,ERI,Eritrea
2020,GHA,Ghana,2,Alimentos procesados,6.5494580687617,GHA,Ghana
2020,KIR,Kiribati,13,Otros productos industriales,3.30224193892087,KIR,Kiribati
2020,IDN,Indonesia,11,Maquinaria,27.5597131369171,IDN,Indonesia
2020,IRQ,Iraq,5,Plásticos y gomas,5.37667958004073,IRQ,Iraq
2020,VCT,Saint Vincent and the Grenadines,13,Otros productos industriales,4.65631924663523,VCT,San Vicente y las Granadinas
2020,SVN,Slovenia,7,Madera,4.00820409394915,SVN,Eslovenia
2020,CHE,Switzerland,13,Otros productos industriales,6.50720152354563,CHE,Suiza
2020,TUR,Türkiye,11,Maquinaria,20.6393449552394,TUR,Turquía
2020,AUS,Australia,11,Maquinaria,25.8285707498705,AUS,Australia
2020,BRB,Barbados,8,"Textiles, indumentaria y calzado",2.7781085965585,BRB,Barbados
2020,ETH,Ethiopia,7,Madera,2.38988682945051,ETH,Etiopía
2020,GTM,Guatemala,12,Transporte,7.25825226835855,GTM,Guatemala
2020,IDN,Indonesia,12,Transporte,5.39186251903307,IDN,Indonesia
2020,NRU,Nauru,9,Piedra y vidrio,0.0861951380912275,NRU,Nauru
2020,NLD,Netherlands,4,Químicos,12.5171311415861,NLD,Países Bajos
2020,PHL,Philippines,8,"Textiles, indumentaria y calzado",5.26581286306346,PHL,Filipinas
2020,GNB,Guinea-Bissau,5,Plásticos y gomas,3.11668963545027,GNB,Guinea-Bissau
2020,TLS,Timor-Leste,5,Plásticos y gomas,4.75155866830305,TLS,Timor-Leste
2020,SPM,Saint Pierre and Miquelon,4,Químicos,1.01908353794179,SPM,San Pedro y Miquelón
2020,TGO,Togo,2,Alimentos procesados,4.5769986777555,TGO,Togo
2020,AGO,Angola,7,Madera,3.18568539324863,AGO,Angola
2020,ARG,Argentina,12,Transporte,12.3225831296155,ARG,Argentina
2020,CUB,Cuba,11,Maquinaria,38.2263755199771,CUB,Cuba
2020,CYP,Cyprus,6,Cueros y pieles,0.259811888179476,CYP,Chipre
2020,EST,Estonia,7,Madera,6.09909555315137,EST,Estonia
2020,GRD,Grenada,2,Alimentos procesados,11.2770189856401,GRD,Granada
2020,JPN,Japan,10,Metales,5.01107888891125,JPN,Japón
2020,LVA,Latvia,12,Transporte,6.56749767684311,LVA,Letonia
2020,NER,Niger,4,Químicos,9.54877152962253,NER,Níger
2020,TKL,Tokelau,12,Transporte,42.4101658765987,TKL,Tokelau
2020,TUV,Tuvalu,7,Madera,1.26227376883206,TUV,Tuvalu
2020,USA,USA,3,Minerales,5.71526469631361,USA,Estados Unidos
2020,BRN,Brunei Darussalam,6,Cueros y pieles,0.182654425290381,BRN,Brunei
2020,IRQ,Iraq,4,Químicos,7.27178412728129,IRQ,Iraq
2020,SMR,San Marino,12,Transporte,9.49467041094978,SMR,San Marino
2020,SLE,Sierra Leone,2,Alimentos procesados,14.6525975202146,SLE,Sierra Leona
2020,SVK,Slovakia,11,Maquinaria,31.2254209301625,SVK,Eslovaquia
2020,SVN,Slovenia,13,Otros productos industriales,4.93554275311905,SVN,Eslovenia
2020,SSD,South Sudan,3,Minerales,1.47466771684981,SSD,Sudán del Sur
2020,BEL,Belgium,3,Minerales,8.03949548940764,BEL,Bélgica
2020,BLZ,Belize,4,Químicos,10.1400701430163,BLZ,Belice
2020,COG,Congo,7,Madera,2.11296909481908,COG,Congo
2020,IDN,Indonesia,2,Alimentos procesados,3.53473699329241,IDN,Indonesia
2020,ISR,Israel,9,Piedra y vidrio,7.99382127976382,ISR,Israel
2020,KWT,Kuwait,12,Transporte,16.209918480985,KWT,Kuwait
2020,MAC,"China, Macao SAR",9,Piedra y vidrio,9.35215969197802,MAC,Macao
2020,NCL,New Caledonia,5,Plásticos y gomas,3.29621784627781,NCL,Nueva Caledonia
2020,STP,Sao Tome and Principe,2,Alimentos procesados,11.4665166798962,STP,Santo Tomé y Príncipe
2020,YEM,Yemen,8,"Textiles, indumentaria y calzado",8.63152458678414,YEM,Yemen
2020,COG,Congo,2,Alimentos procesados,6.07191821562952,COG,Congo
2020,CZE,Czechia,13,Otros productos industriales,5.93672582337732,CZE,Chequia
2020,SLV,El Salvador,7,Madera,3.62747045332433,SLV,El Salvador
2020,FRA,France,13,Otros productos industriales,7.24023506090883,FRA,Francia
2020,ATF,Fr. South Antarctic Terr.,3,Minerales,,ATF,Tierras Australes Francesas
2020,GRL,Greenland,13,Otros productos industriales,4.56612362090065,GRL,Groenlandia
2020,NOR,Norway,8,"Textiles, indumentaria y calzado",5.2289471113551,NOR,Noruega
2020,POL,Poland,13,Otros productos industriales,6.26987003847136,POL,Polonia
2020,VNM,Viet Nam,6,Cueros y pieles,0.673776075958153,VNM,Vietnam
2020,SWE,Sweden,12,Transporte,13.0998336949206,SWE,Suecia
2020,KHM,Cambodia,7,Madera,3.50526270663905,KHM,Camboya
2020,CHL,Chile,6,Cueros y pieles,0.355656167270962,CHL,Chile
2020,COD,Dem. Rep. of the Congo,6,Cueros y pieles,0.25717527306678,COD,Rep. Dem. Congo
2020,GTM,Guatemala,6,Cueros y pieles,0.307427239603223,GTM,Guatemala
2020,IDN,Indonesia,6,Cueros y pieles,0.526103492075507,IDN,Indonesia
2020,LBR,Liberia,1,Productos agropecuarios,2.17553740134957,LBR,Liberia
2020,NOR,Norway,12,Transporte,18.6557100757349,NOR,Noruega
2020,MHL,Marshall Isds,9,Piedra y vidrio,0.0012769364175693,MHL,Islas Marshall
2020,SGP,Singapore,11,Maquinaria,40.7966657005256,SGP,Singapur
2020,SWE,Sweden,6,Cueros y pieles,0.388623094021324,SWE,Suecia
2020,MKD,North Macedonia,2,Alimentos procesados,5.39134988891491,MKD,Macedonia del Norte
2020,UZB,Uzbekistan,6,Cueros y pieles,0.089721295600716,UZB,Uzbekistán
