"anio","provincia_id","provincia","gran_region_id","gran_region_desc","letra","letra_desc_abrev","tipo_sector","share_vab_sectorial"
2018,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.114170937723815
2019,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.116110111913622
2020,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.124690068826442
2021,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.119453024852508
2022,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.117521704741634
2004,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0248959509878436
2005,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0247077358076059
2006,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0225987412209543
2007,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0224106928757197
2008,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0230147539343164
2009,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0271078342509122
2010,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0247911275708087
2011,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.023878060643444
2012,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0252891101787577
2013,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0246573142604311
2014,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0259632676171514
2015,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0259100738970553
2016,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.027478327718481
2017,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0268766852553715
2018,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0282434586880039
2019,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0285527455053685
2020,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0279941653457169
2021,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0277740642130863
2022,6,"Buenos Aires",2,"Centro","N","Salud","Servicios",0.0267033207825878
2004,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00721388526989487
2005,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00716335001321312
2006,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.0073136389475748
2007,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00700133875608752
2008,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00693915652704134
2009,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00759041778548063
2010,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00681869119048872
2011,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00651434828709545
2012,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00686086694138397
2013,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00690174978932309
2014,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.0071901699241861
2015,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00701467798484806
2016,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00712943750358778
2017,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00677692617177712
2018,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00707630417377112
2019,6,"Buenos Aires",2,"Centro","P","Servicio doméstico","Servicios",0.00762571011158544
