"anio","letra","letra_desc_abrev","share_sectorial","id_tipo_sector","tipo_sector","share_vab"
2012,"J","Finanzas",0.0161771725127827,"2","Servicios",0.0421548046549099
2012,"K","Serv. inmobiliarios y profesionales",0.0718408982873531,"2","Servicios",0.112424019384084
2012,"LQ","Adm. pública y defensa",0.074758910652627,"2","Servicios",0.0834715042814016
2012,"M","Enseñanza",0.101174485059368,"2","Servicios",0.0611209180004173
2012,"NO","Serv. comunitarios, sociales y personales",0.10421001080033,"2","Servicios",0.0918486940643356
2012,"P","Servicio doméstico",0.0861122295956016,"2","Servicios",0.00887530999125517
2013,"AB","Agro y pesca",0.0747592346353305,"1","Bienes",0.0720775216138973
2013,"C","Petróleo y minería",0.00461377509452064,"1","Bienes",0.0348905313067372
2013,"D","Industria manufacturera",0.123548152029806,"1","Bienes",0.17875006887397
2013,"E","Electricidad, gas y agua",0.00676340764113371,"1","Bienes",0.0141184303746756
2013,"F","Construcción",0.0793077985331701,"1","Bienes",0.0581005025672863
2013,"G","Comercio",0.165923397676253,"2","Servicios",0.146628822139453
2013,"H","Hotelería y restaurantes",0.0316251029680265,"2","Servicios",0.0241163659084851
2013,"I","Transporte y comunicaciones",0.0569550452795865,"2","Servicios",0.0665158757539749
2013,"J","Finanzas",0.0161182848954861,"2","Servicios",0.0427316169371406
2013,"K","Serv. inmobiliarios y profesionales",0.0701084221111027,"2","Servicios",0.113842520404763
2013,"LQ","Adm. pública y defensa",0.0749142891848826,"2","Servicios",0.0855886549981687
2013,"M","Enseñanza",0.101512538786439,"2","Servicios",0.0607271230840658
2013,"NO","Serv. comunitarios, sociales y personales",0.106916244560639,"2","Servicios",0.092679707653101
2013,"P","Servicio doméstico",0.0869343066036245,"2","Servicios",0.00923225838428239
2014,"AB","Agro y pesca",0.0732255418501479,"1","Bienes",0.0799791756106722
2014,"C","Petróleo y minería",0.00504427105144842,"1","Bienes",0.044284051206558
2014,"D","Industria manufacturera",0.119234228288472,"1","Bienes",0.176011743634982
2014,"E","Electricidad, gas y agua",0.00705842462291896,"1","Bienes",0.0137232230965282
2014,"F","Construcción",0.0863475324843919,"1","Bienes",0.0552364204467149
2014,"G","Comercio",0.164687969296825,"2","Servicios",0.143959998833975
2014,"H","Hotelería y restaurantes",0.0325480818030892,"2","Servicios",0.0240944891562333
2014,"I","Transporte y comunicaciones",0.0565524577789671,"2","Servicios",0.0657893019311666
2014,"J","Finanzas",0.0153590337815745,"2","Servicios",0.0415628755269118
2014,"K","Serv. inmobiliarios y profesionales",0.0686982025913617,"2","Servicios",0.108275662006864
2014,"LQ","Adm. pública y defensa",0.0765055771674906,"2","Servicios",0.0875679852232499
2014,"M","Enseñanza",0.102230082317379,"2","Servicios",0.059556134425749
2014,"NO","Serv. comunitarios, sociales y personales",0.105340983079617,"2","Servicios",0.0911418822171795
2014,"P","Servicio doméstico",0.0871676138863163,"2","Servicios",0.00881705668321569
2015,"AB","Agro y pesca",0.0712104688610584,"1","Bienes",0.0612981606709539
2015,"C","Petróleo y minería",0.00514023361746747,"1","Bienes",0.0379326327613356
2015,"D","Industria manufacturera",0.118624993812081,"1","Bienes",0.168578253578957
2015,"E","Electricidad, gas y agua",0.00652917071166747,"1","Bienes",0.0143449694115777
2015,"F","Construcción",0.0846281169926241,"1","Bienes",0.0543673751701757
2015,"G","Comercio",0.162821885381818,"2","Servicios",0.161275405234387
2015,"H","Hotelería y restaurantes",0.0342346210816632,"2","Servicios",0.0250032618818158
2015,"I","Transporte y comunicaciones",0.0557376635898315,"2","Servicios",0.0638012235016166
2015,"J","Finanzas",0.0156440191023299,"2","Servicios",0.03946735159723
2015,"K","Serv. inmobiliarios y profesionales",0.0696983896703167,"2","Servicios",0.111720161821187
2015,"LQ","Adm. pública y defensa",0.0778393457024454,"2","Servicios",0.0931862963610521
2015,"M","Enseñanza",0.103837659925894,"2","Servicios",0.0654362477431912
2015,"NO","Serv. comunitarios, sociales y personales",0.107633831634992,"2","Servicios",0.0946970058597338
2015,"P","Servicio doméstico",0.0864195999158106,"2","Servicios",0.00889165440678709
2016,"AB","Agro y pesca",0.0676839312134692,"1","Bienes",0.0741887540425081
2016,"C","Petróleo y minería",0.00499690069363205,"1","Bienes",0.0381016050942767
2016,"D","Industria manufacturera",0.116597537753347,"1","Bienes",0.159733311128959
2016,"E","Electricidad, gas y agua",0.00631250223868148,"1","Bienes",0.0179473808301778
2016,"F","Construcción",0.0801715517433771,"1","Bienes",0.0453956971399956
2016,"G","Comercio",0.174333907430277,"2","Servicios",0.158962231397075
2016,"H","Hotelería y restaurantes",0.032531102577589,"2","Servicios",0.0243246045067387
2016,"I","Transporte y comunicaciones",0.0580854247129325,"2","Servicios",0.0633676014256956
2016,"J","Finanzas",0.0151843576105368,"2","Servicios",0.046255333734449
2016,"K","Serv. inmobiliarios y profesionales",0.0642996649979525,"2","Servicios",0.110224395037967
2016,"LQ","Adm. pública y defensa",0.077842702501091,"2","Servicios",0.0932187934351768
2016,"M","Enseñanza",0.103361771748167,"2","Servicios",0.064474426678582
2016,"NO","Serv. comunitarios, sociales y personales",0.113887985123392,"2","Servicios",0.0953375871517009
2016,"P","Servicio doméstico",0.0847106596555559,"2","Servicios",0.00846827839669703
2017,"AB","Agro y pesca",0.067581192644323,"1","Bienes",0.0620127309777584
2017,"C","Petróleo y minería",0.00471813959836491,"1","Bienes",0.0349401811049257
2017,"D","Industria manufacturera",0.114721932940768,"1","Bienes",0.152140919984466
2017,"E","Electricidad, gas y agua",0.00618243165402459,"1","Bienes",0.0204909791590604
2017,"F","Construcción",0.0822770820133905,"1","Bienes",0.0506210480071614
2017,"G","Comercio",0.174988492192364,"2","Servicios",0.163143811126538
2017,"H","Hotelería y restaurantes",0.0330633881414844,"2","Servicios",0.0256862831723644
2017,"I","Transporte y comunicaciones",0.0583697193184627,"2","Servicios",0.0666676113900765
2017,"J","Finanzas",0.0149828242691198,"2","Servicios",0.0465400871424046
2017,"K","Serv. inmobiliarios y profesionales",0.0666841046120861,"2","Servicios",0.116794048351119
2017,"LQ","Adm. pública y defensa",0.0774386920373005,"2","Servicios",0.0912690856524281
2017,"M","Enseñanza",0.103140029134786,"2","Servicios",0.0644670192710136
2017,"NO","Serv. comunitarios, sociales y personales",0.114805039887796,"2","Servicios",0.0968917224568725
2017,"P","Servicio doméstico",0.0810469315557301,"2","Servicios",0.00833447220381157
2018,"AB","Agro y pesca",0.0672056683299016,"1","Bienes",0.0536219766699652
2018,"C","Petróleo y minería",0.00479122837520938,"1","Bienes",0.0453312651792943
2018,"D","Industria manufacturera",0.112220828919112,"1","Bienes",0.166142089442515
2018,"E","Electricidad, gas y agua",0.00622129770653284,"1","Bienes",0.0215903373186086
2018,"F","Construcción",0.083428028742536,"1","Bienes",0.0472195539373386
2018,"G","Comercio",0.173179561691387,"2","Servicios",0.174705999496379
2018,"H","Hotelería y restaurantes",0.0332789747031065,"2","Servicios",0.0238013211211744
2018,"I","Transporte y comunicaciones",0.0579613327256124,"2","Servicios",0.0623325192943718
2018,"J","Finanzas",0.0149587073760392,"2","Servicios",0.0414281359333083
2018,"K","Serv. inmobiliarios y profesionales",0.068302008355016,"2","Servicios",0.120789158827386
2018,"LQ","Adm. pública y defensa",0.0769550458107392,"2","Servicios",0.0832898812442897
2018,"M","Enseñanza",0.103881225899259,"2","Servicios",0.0620080273781712
2018,"NO","Serv. comunitarios, sociales y personales",0.116817875225026,"2","Servicios",0.0899920781691539
2018,"P","Servicio doméstico",0.080798216140523,"2","Servicios",0.00774765598804375
2019,"AB","Agro y pesca",0.067561843994661,"1","Bienes",0.0633801108193838
2019,"C","Petróleo y minería",0.00491938385792648,"1","Bienes",0.0474259119716289
2019,"D","Industria manufacturera",0.111522053131132,"1","Bienes",0.161363325196788
2019,"E","Electricidad, gas y agua",0.00614348582264886,"1","Bienes",0.0214690640092792
2019,"F","Construcción",0.0828157471717229,"1","Bienes",0.0457088893500735
2019,"G","Comercio",0.171575339799708,"2","Servicios",0.173422278016402
2019,"H","Hotelería y restaurantes",0.0324863235232846,"2","Servicios",0.0233614498282882
2019,"I","Transporte y comunicaciones",0.0575782201189791,"2","Servicios",0.0694483390647244
2019,"J","Finanzas",0.0147746490732125,"2","Servicios",0.0368194713782561
2019,"K","Serv. inmobiliarios y profesionales",0.0699970538702839,"2","Servicios",0.119700006518946
2019,"LQ","Adm. pública y defensa",0.0767707956424128,"2","Servicios",0.0814485757785177
2019,"M","Enseñanza",0.102847156060741,"2","Servicios",0.0617707667424167
2019,"NO","Serv. comunitarios, sociales y personales",0.11747183793063,"2","Servicios",0.0870442043434657
2019,"P","Servicio doméstico",0.0835361100026578,"2","Servicios",0.00763760698182995
2020,"AB","Agro y pesca",0.0727178829240915,"1","Bienes",0.076019451234321
2020,"C","Petróleo y minería",0.00514582409918999,"1","Bienes",0.0370357723790154
2020,"D","Industria manufacturera",0.116880512281311,"1","Bienes",0.174478239858319
2020,"E","Electricidad, gas y agua",0.00659711908805966,"1","Bienes",0.0177254110698857
2020,"F","Construcción",0.0760777889217867,"1","Bienes",0.038733120391882
2020,"G","Comercio",0.170107414124289,"2","Servicios",0.193947023231596
2020,"H","Hotelería y restaurantes",0.0284215786153574,"2","Servicios",0.0137448989931423
