anio,letra_desc,vab,letra
1939,Pesca,69.912,B
1939,Petróleo y minería,1131.792,C
1939,Industria manufacturera,16116.22,D
1939,"Electricidad, gas y agua",175.108,E
1939,Construcción,3536.606,F
1939,"Comercio, hoteles y restaurantes",16720.34,GH
1939,Transporte y comunicaciones,3346.304,I
1939,Finanzas,1627.106,J
1939,Act. inmobiliarias y empresariales,13178.99,K
1939,Adm. pública y defensa,5383.321,L
1939,Otros servicios,6543.772,Z
1940,Agro,14130.84,A
1940,Pesca,69.912,B
1940,Petróleo y minería,1250.385,C
1940,Industria manufacturera,16143.36,D
1940,"Electricidad, gas y agua",180.374,E
1940,Construcción,3129.687,F
1940,"Comercio, hoteles y restaurantes",16580.79,GH
1940,Transporte y comunicaciones,3395.499,I
1940,Finanzas,1667.36,J
1940,Act. inmobiliarias y empresariales,13448.23,K
1940,Adm. pública y defensa,5561.659,L
1940,Otros servicios,6701.428,Z
1941,Agro,15781.11,A
1941,Pesca,81.564,B
1941,Petróleo y minería,1319.994,C
1941,Industria manufacturera,16779.01,D
1941,"Electricidad, gas y agua",186.518,E
1941,Construcción,3271.809,F
1941,"Comercio, hoteles y restaurantes",16627.3,GH
1941,Transporte y comunicaciones,3616.353,I
1941,Finanzas,1699.14,J
1941,Act. inmobiliarias y empresariales,13791.5,K
1941,Adm. pública y defensa,5706.818,L
1941,Otros servicios,6844.752,Z
1942,Agro,15588.22,A
1942,Pesca,80.668,B
1942,Petróleo y minería,1376.713,C
1942,Industria manufacturera,17019.32,D
1942,"Electricidad, gas y agua",194.418,E
1942,Construcción,3265.825,F
1942,"Comercio, hoteles y restaurantes",16650.56,GH
1942,Transporte y comunicaciones,3718.93,I
1942,Finanzas,1754.224,J
1942,Act. inmobiliarias y empresariales,14168.43,K
1942,Adm. pública y defensa,6042.757,L
1942,Otros servicios,7090.451,Z
1943,Agro,13650.76,A
1943,Pesca,86.045,B
1943,Petróleo y minería,1410.228,C
1943,Industria manufacturera,17788.7,D
1943,"Electricidad, gas y agua",204.073,E
1943,Construcción,3375.035,F
1943,"Comercio, hoteles y restaurantes",16511.01,GH
1943,Transporte y comunicaciones,3971.185,I
1943,Finanzas,1809.308,J
1943,Act. inmobiliarias y empresariales,14558.82,K
1943,Adm. pública y defensa,6208.653,L
1943,Otros servicios,7463.094,Z
1944,Agro,16439.78,A
1944,Pesca,74.393,B
1944,Petróleo y minería,1487.572,C
1944,Industria manufacturera,20178.22,D
1944,"Electricidad, gas y agua",215.484,E
1944,Construcción,4120.056,F
1944,"Comercio, hoteles y restaurantes",17371.57,GH
1944,Transporte y comunicaciones,4063.295,I
1944,Finanzas,1911.002,J
1944,Act. inmobiliarias y empresariales,14989.59,K
1944,Adm. pública y defensa,6936.521,L
1944,Otros servicios,7819.357,Z
1945,Agro,13187.83,A
1945,Pesca,63.638,B
1945,Petróleo y minería,1446.322,C
1945,Industria manufacturera,20311.95,D
1945,"Electricidad, gas y agua",212.411,E
1945,Construcción,4016.83,F
1945,"Comercio, hoteles y restaurantes",17301.79,GH
1945,Transporte y comunicaciones,4120.863,I
1945,Finanzas,2095.323,J
1945,Act. inmobiliarias y empresariales,15420.37,K
1945,Adm. pública y defensa,7927.749,L
1945,Otros servicios,8106.005,Z
1946,Agro,13787.93,A
1946,Pesca,69.912,B
1946,Petróleo y minería,1340.619,C
1946,Industria manufacturera,22912.71,D
1946,"Electricidad, gas y agua",229.088,E
1946,Construcción,4281.627,F
1946,"Comercio, hoteles y restaurantes",19839.27,GH
1946,Transporte y comunicaciones,4665.148,I
1946,Finanzas,2404.643,J
1946,Act. inmobiliarias y empresariales,15871.33,K
1946,Adm. pública y defensa,8257.467,L
1946,Otros servicios,8427.461,Z
1947,Agro,14845.24,A
1947,Pesca,73.497,B
1947,Petróleo y minería,1392.182,C
1947,Industria manufacturera,26418.51,D
1947,"Electricidad, gas y agua",247.082,E
1947,Construcción,4314.54,F
1947,"Comercio, hoteles y restaurantes",23379.17,GH
1947,Transporte y comunicaciones,5339.223,I
1947,Finanzas,2468.202,J
1947,Act. inmobiliarias y empresariales,16315.57,K
1947,Adm. pública y defensa,9449.843,L
1947,Otros servicios,8617.877,Z
1948,Agro,14872.39,A
1948,Pesca,84.253,B
1948,Petróleo y minería,1376.713,C
1948,Industria manufacturera,26736.34,D
1948,"Electricidad, gas y agua",265.953,E
1948,Construcción,5584.666,F
1948,"Comercio, hoteles y restaurantes",24823.5,GH
1948,Transporte y comunicaciones,5828.033,I
1948,Finanzas,2910.995,J
1948,Act. inmobiliarias y empresariales,16833.84,K
1948,Adm. pública y defensa,10285.54,L
1948,Otros servicios,9074.467,Z
1949,Agro,13717.92,A
1949,Pesca,86.942,B
1949,Petróleo y minería,1469.525,C
1949,Industria manufacturera,25780.92,D
1949,"Electricidad, gas y agua",274.731,E
1949,Construcción,6238.429,F
1949,"Comercio, hoteles y restaurantes",23169.84,GH
1949,Transporte y comunicaciones,5951.544,I
1949,Finanzas,3101.671,J
1949,Act. inmobiliarias y empresariales,17358.85,K
1949,Adm. pública y defensa,10606.97,L
1949,Otros servicios,9649.811,Z
1950,Agro,12937.79,A
1950,Pesca,79.771,B
1950,Petróleo y minería,1456.634,C
1950,Industria manufacturera,26550.3,D
1950,"Electricidad, gas y agua",293.163,E
1950,Construcción,6477.793,F
1950,"Comercio, hoteles y restaurantes",23286.13,GH
1950,Transporte y comunicaciones,6138.903,I
1950,Finanzas,3233.026,J
1950,Act. inmobiliarias y empresariales,17930.97,K
1950,Adm. pública y defensa,11056.96,L
1950,Otros servicios,9813.61,Z
1951,Agro,13807,A
