anio,iso3,iso3_desc_fundar,es_agregacion,particip_bys_alta_intensidad,geocodigoFundar,geonombreFundar
2000,BRA,Brasil,0,0.161715970868068,BRA,Brasil
2001,BRA,Brasil,0,0.160871893047932,BRA,Brasil
2002,BRA,Brasil,0,0.160597537731559,BRA,Brasil
2003,BRA,Brasil,0,0.16861310861864,BRA,Brasil
2004,BRA,Brasil,0,0.18004418552661,BRA,Brasil
2005,BRA,Brasil,0,0.173902775131708,BRA,Brasil
2006,BRA,Brasil,0,0.173390126666381,BRA,Brasil
2007,BRA,Brasil,0,0.170543904280272,BRA,Brasil
2008,BRA,Brasil,0,0.167463343104664,BRA,Brasil
2009,BRA,Brasil,0,0.151973632371123,BRA,Brasil
2010,BRA,Brasil,0,0.146487320641893,BRA,Brasil
2011,BRA,Brasil,0,0.143720651011613,BRA,Brasil
2012,BRA,Brasil,0,0.137165019730611,BRA,Brasil
2013,BRA,Brasil,0,0.13735892001826,BRA,Brasil
2014,BRA,Brasil,0,0.134023068847652,BRA,Brasil
2015,BRA,Brasil,0,0.127086758320581,BRA,Brasil
2016,BRA,Brasil,0,0.124323161080297,BRA,Brasil
2017,BRA,Brasil,0,0.124690440377212,BRA,Brasil
2018,BRA,Brasil,0,0.129486254918192,BRA,Brasil
2019,BRA,Brasil,0,0.129164828419899,BRA,Brasil
2020,BRA,Brasil,0,0.133124435147951,BRA,Brasil
1995,BRN,Brunei Darussalam,0,0.0257082597047255,BRN,Brunei
1996,BRN,Brunei Darussalam,0,0.0250505405642964,BRN,Brunei
1997,BRN,Brunei Darussalam,0,0.0250633526573402,BRN,Brunei
1998,BRN,Brunei Darussalam,0,0.0260850211440018,BRN,Brunei
1999,BRN,Brunei Darussalam,0,0.0256020575169511,BRN,Brunei
2000,BRN,Brunei Darussalam,0,0.0258838289546398,BRN,Brunei
2001,BRN,Brunei Darussalam,0,0.0255415350574805,BRN,Brunei
2002,BRN,Brunei Darussalam,0,0.0253407711339572,BRN,Brunei
2003,BRN,Brunei Darussalam,0,0.025655761257748,BRN,Brunei
2004,BRN,Brunei Darussalam,0,0.025323816473593,BRN,Brunei
2005,BRN,Brunei Darussalam,0,0.0259027869253495,BRN,Brunei
2006,BRN,Brunei Darussalam,0,0.0222772277227723,BRN,Brunei
2007,BRN,Brunei Darussalam,0,0.0230514144852682,BRN,Brunei
2008,BRN,Brunei Darussalam,0,0.0208069556105806,BRN,Brunei
2009,BRN,Brunei Darussalam,0,0.022367420602759,BRN,Brunei
2010,BRN,Brunei Darussalam,0,0.020823051241109,BRN,Brunei
2011,BRN,Brunei Darussalam,0,0.0213202991832148,BRN,Brunei
2012,BRN,Brunei Darussalam,0,0.0217576635616668,BRN,Brunei
2013,BRN,Brunei Darussalam,0,0.0215205746152915,BRN,Brunei
2014,BRN,Brunei Darussalam,0,0.0215359184196128,BRN,Brunei
2015,BRN,Brunei Darussalam,0,0.025788494364053,BRN,Brunei
2016,BRN,Brunei Darussalam,0,0.0263766169197624,BRN,Brunei
2017,BRN,Brunei Darussalam,0,0.0253946127670042,BRN,Brunei
2018,BRN,Brunei Darussalam,0,0.024936009798385,BRN,Brunei
2019,BRN,Brunei Darussalam,0,0.0248327642030578,BRN,Brunei
2020,BRN,Brunei Darussalam,0,0.0257221446684784,BRN,Brunei
1995,CAN,Canadá,0,0.150515103231772,CAN,Canadá
1996,CAN,Canadá,0,0.149042721246434,CAN,Canadá
1997,CAN,Canadá,0,0.156068422664851,CAN,Canadá
1998,CAN,Canadá,0,0.162260783522681,CAN,Canadá
1999,CAN,Canadá,0,0.171580812185807,CAN,Canadá
2000,CAN,Canadá,0,0.171601664825923,CAN,Canadá
2001,CAN,Canadá,0,0.160725495308613,CAN,Canadá
2002,CAN,Canadá,0,0.160952851931762,CAN,Canadá
2003,CAN,Canadá,0,0.154180916270229,CAN,Canadá
2004,CAN,Canadá,0,0.148852643171693,CAN,Canadá
2005,CAN,Canadá,0,0.142026574427861,CAN,Canadá
2006,CAN,Canadá,0,0.138526401886013,CAN,Canadá
2007,CAN,Canadá,0,0.135520184465385,CAN,Canadá
2008,CAN,Canadá,0,0.126417523553858,CAN,Canadá
2009,CAN,Canadá,0,0.123641301037438,CAN,Canadá
2010,CAN,Canadá,0,0.124191486974795,CAN,Canadá
2011,CAN,Canadá,0,0.125386494550502,CAN,Canadá
2012,CAN,Canadá,0,0.126428686821178,CAN,Canadá
2013,CAN,Canadá,0,0.123034134662798,CAN,Canadá
2014,CAN,Canadá,0,0.123446627032196,CAN,Canadá
2015,CAN,Canadá,0,0.128946988709322,CAN,Canadá
2016,CAN,Canadá,0,0.129910127643929,CAN,Canadá
2017,CAN,Canadá,0,0.128592848603053,CAN,Canadá
2018,CAN,Canadá,0,0.129243752672402,CAN,Canadá
2019,CAN,Canadá,0,0.129577729638113,CAN,Canadá
2020,CAN,Canadá,0,0.127778371201036,CAN,Canadá
1995,CHE,Suiza,0,0.216537721015353,CHE,Suiza
1996,CHE,Suiza,0,0.215927938810767,CHE,Suiza
1997,CHE,Suiza,0,0.213121279039378,CHE,Suiza
1998,CHE,Suiza,0,0.212666180340724,CHE,Suiza
1999,CHE,Suiza,0,0.214138384287837,CHE,Suiza
2000,CHE,Suiza,0,0.212307185212431,CHE,Suiza
2001,CHE,Suiza,0,0.222564474475537,CHE,Suiza
2002,CHE,Suiza,0,0.225282788407905,CHE,Suiza
2003,CHE,Suiza,0,0.218863428037429,CHE,Suiza
2004,CHE,Suiza,0,0.223046329678415,CHE,Suiza
2005,CHE,Suiza,0,0.225777604986026,CHE,Suiza
2006,CHE,Suiza,0,0.230703640111223,CHE,Suiza
2007,CHE,Suiza,0,0.232332480712333,CHE,Suiza
2008,CHE,Suiza,0,0.236857852738587,CHE,Suiza
2009,CHE,Suiza,0,0.231143613828429,CHE,Suiza
2010,CHE,Suiza,0,0.231748960874752,CHE,Suiza
2011,CHE,Suiza,0,0.23397804627922,CHE,Suiza
2012,CHE,Suiza,0,0.235223308732745,CHE,Suiza
2013,CHE,Suiza,0,0.237733709630551,CHE,Suiza
2014,CHE,Suiza,0,0.239249697430803,CHE,Suiza
2015,CHE,Suiza,0,0.240873765003345,CHE,Suiza
2016,CHE,Suiza,0,0.243063622238649,CHE,Suiza
2017,CHE,Suiza,0,0.244676561476869,CHE,Suiza
2018,CHE,Suiza,0,0.244858161966182,CHE,Suiza
2019,CHE,Suiza,0,0.2512768481652,CHE,Suiza
2020,CHE,Suiza,0,0.25200289431433,CHE,Suiza
1995,CHL,Chile,0,0.0968897236724818,CHL,Chile
1996,CHL,Chile,0,0.096886963141114,CHL,Chile
1997,CHL,Chile,0,0.0987281407073234,CHL,Chile
1998,CHL,Chile,0,0.106951179571699,CHL,Chile
1999,CHL,Chile,0,0.110182658946354,CHL,Chile
2000,CHL,Chile,0,0.112934284657898,CHL,Chile
2001,CHL,Chile,0,0.11840249647433,CHL,Chile
2002,CHL,Chile,0,0.121031433899615,CHL,Chile
2003,CHL,Chile,0,0.120195365235922,CHL,Chile
2004,CHL,Chile,0,0.116713208526963,CHL,Chile
