"anio","letra","letra_desc_abrev","calificacion_cod","calificacion","particip_calif"
2018,"T","Servicio doméstico",1,"Calificado",0.00456123129941069
2019,"T","Servicio doméstico",1,"Calificado",0.0131705773825011
2020,"T","Servicio doméstico",1,"Calificado",0.00171452047983802
2021,"T","Servicio doméstico",1,"Calificado",0.00403210118451815
2022,"T","Servicio doméstico",1,"Calificado",0.00710584936263062
2023,"T","Servicio doméstico",1,"Calificado",0.00774139108771648
2016,"T","Servicio doméstico",3,"No calificado",0.974426614020006
2017,"T","Servicio doméstico",3,"No calificado",0.960121844759375
2018,"T","Servicio doméstico",3,"No calificado",0.970706146963593
2019,"T","Servicio doméstico",3,"No calificado",0.965266279537337
2020,"T","Servicio doméstico",3,"No calificado",0.984495307603191
2021,"T","Servicio doméstico",3,"No calificado",0.96249084819139
2022,"T","Servicio doméstico",3,"No calificado",0.965248953619088
2023,"T","Servicio doméstico",3,"No calificado",0.904698035118737
2016,"T","Servicio doméstico",2,"Semicalificado",0.0248155312752857
2017,"T","Servicio doméstico",2,"Semicalificado",0.0360341326300018
2018,"T","Servicio doméstico",2,"Semicalificado",0.0247326217369965
2019,"T","Servicio doméstico",2,"Semicalificado",0.0215631430801618
2020,"T","Servicio doméstico",2,"Semicalificado",0.0137901719169705
2021,"T","Servicio doméstico",2,"Semicalificado",0.0334770506240915
2022,"T","Servicio doméstico",2,"Semicalificado",0.0276451970182811
2023,"T","Servicio doméstico",2,"Semicalificado",0.0875605737935468
2016,"H","Transporte",1,"Calificado",0.0930543230718544
2017,"H","Transporte",1,"Calificado",0.0773297457498365
2018,"H","Transporte",1,"Calificado",0.0615058531597872
2019,"H","Transporte",1,"Calificado",0.0914480233550951
2020,"H","Transporte",1,"Calificado",0.106758357801473
2021,"H","Transporte",1,"Calificado",0.105599519900397
2022,"H","Transporte",1,"Calificado",0.0535578885485525
2023,"H","Transporte",1,"Calificado",0.0559940337203772
2016,"H","Transporte",3,"No calificado",0.101266873002475
2017,"H","Transporte",3,"No calificado",0.0858553942561966
2018,"H","Transporte",3,"No calificado",0.0847163026870541
2019,"H","Transporte",3,"No calificado",0.0761687800840396
2020,"H","Transporte",3,"No calificado",0.113502346501395
2021,"H","Transporte",3,"No calificado",0.0819158750845325
2022,"H","Transporte",3,"No calificado",0.071066470258793
2023,"H","Transporte",3,"No calificado",0.0744456842662078
2016,"H","Transporte",2,"Semicalificado",0.805678803925671
2017,"H","Transporte",2,"Semicalificado",0.836814859993967
2018,"H","Transporte",2,"Semicalificado",0.853777844153159
2019,"H","Transporte",2,"Semicalificado",0.832383196560865
2020,"H","Transporte",2,"Semicalificado",0.779739295697132
2021,"H","Transporte",2,"Semicalificado",0.81248460501507
2022,"H","Transporte",2,"Semicalificado",0.875375641192655
2023,"H","Transporte",2,"Semicalificado",0.869560282013415
2016,"Z","Total",1,"Calificado",0.25525553689392
2017,"Z","Total",1,"Calificado",0.2490946007332
2018,"Z","Total",1,"Calificado",0.256312122048551
2019,"Z","Total",1,"Calificado",0.271131319806473
2020,"Z","Total",1,"Calificado",0.27515726445368
2021,"Z","Total",1,"Calificado",0.28445605998914
2022,"Z","Total",1,"Calificado",0.25251897538121
2023,"Z","Total",1,"Calificado",0.249471100733298
2016,"Z","Total",3,"No calificado",0.219712661925645
2017,"Z","Total",3,"No calificado",0.219477255647653
2018,"Z","Total",3,"No calificado",0.230181459300767
2019,"Z","Total",3,"No calificado",0.225979658790817
2020,"Z","Total",3,"No calificado",0.196838088854935
2021,"Z","Total",3,"No calificado",0.20038604009617
2022,"Z","Total",3,"No calificado",0.193445021592162
2023,"Z","Total",3,"No calificado",0.187170429232778
2016,"Z","Total",2,"Semicalificado",0.525031801180436
2017,"Z","Total",2,"Semicalificado",0.531428143619148
2018,"Z","Total",2,"Semicalificado",0.513506418650682
2019,"Z","Total",2,"Semicalificado",0.502889021402711
2020,"Z","Total",2,"Semicalificado",0.528004646691385
2021,"Z","Total",2,"Semicalificado",0.51515789991469
2022,"Z","Total",2,"Semicalificado",0.554036003026628
2023,"Z","Total",2,"Semicalificado",0.563358470033924
