"anio","provincia_id","provincia","prop_industrial"
"2013","46","La Rioja","0.262993238883807"
"2013","50","Mendoza","0.241818885906739"
"2013","54","Misiones","0.203670365671408"
"2013","58","Neuquén","0.0746844705627989"
"2013","62","Río Negro","0.0680543153088121"
"2013","66","Salta","0.140999359227012"
"2013","70","San Juan","0.182540417635966"
"2013","74","San Luis","0.419068874483161"
"2013","78","Santa Cruz","0.0279422761814314"
"2013","82","Santa Fe","0.254908557579222"
"2013","86","Santiago del Estero","0.147401235107355"
"2013","94","Tierra del Fuego","0.328018387151832"
"2013","90","Tucumán","0.152031485695435"
"2014","6","Buenos Aires","0.31614281505628"
"2014","2","CABA","0.13860930077814"
"2014","10","Catamarca","0.122653232803831"
"2014","22","Chaco","0.0909614548499038"
"2014","26","Chubut","0.166344665579252"
"2014","18","Corrientes","0.0925015828920428"
"2014","14","Córdoba","0.179743979973655"
"2014","30","Entre Ríos","0.149527356588672"
"2014","34","Formosa","0.0666004852847467"
"2014","38","Jujuy","0.149336757859603"
"2014","42","La Pampa","0.0487054078026595"
"2014","46","La Rioja","0.247926971325575"
"2014","50","Mendoza","0.236926402089491"
"2014","54","Misiones","0.195967525388581"
"2014","58","Neuquén","0.0699779735252541"
"2014","62","Río Negro","0.0671653625934425"
"2014","66","Salta","0.130840453477285"
"2014","70","San Juan","0.18673199689859"
"2014","74","San Luis","0.400709650429528"
"2014","78","Santa Cruz","0.0266346902787456"
"2014","82","Santa Fe","0.250485792630996"
"2014","86","Santiago del Estero","0.136558940635166"
"2014","94","Tierra del Fuego","0.287570588438591"
"2014","90","Tucumán","0.150093403973099"
"2015","6","Buenos Aires","0.307846069299081"
"2015","2","CABA","0.138251358030298"
"2015","10","Catamarca","0.137242280893094"
"2015","22","Chaco","0.0951186390265124"
"2015","26","Chubut","0.157819324137811"
"2015","18","Corrientes","0.093132220127163"
"2015","14","Córdoba","0.173703780368515"
"2015","30","Entre Ríos","0.149566595617702"
"2015","34","Formosa","0.0640686301098963"
"2015","38","Jujuy","0.147920622771055"
"2015","42","La Pampa","0.0486800643839818"
"2015","46","La Rioja","0.24878425498286"
"2015","50","Mendoza","0.236587753200289"
"2015","54","Misiones","0.186819483382067"
"2015","58","Neuquén","0.0670861196050632"
"2015","62","Río Negro","0.0687546630241816"
"2015","66","Salta","0.12611775942565"
"2015","70","San Juan","0.189399242005189"
"2015","74","San Luis","0.378271585103056"
"2015","78","Santa Cruz","0.0260013294566495"
"2015","82","Santa Fe","0.244542953931026"
