"anio","region","industry_gdp","prop_industry_gdp"
"2010","Estados Unidos","2016342764990.78","19.8101039248272"
"2010","Europa","2482181389747.56","24.3868612742516"
"2010","Otros","245638612324.221","2.41334287135224"
"2010","África","214503748038.501","2.10744999049161"
"2011","América Latina","794368456608.801","7.47967072548171"
"2011","Asia","4748091676778.9","44.7074175985264"
"2011","Estados Unidos","2026860821971.7","19.0846595538894"
"2011","Europa","2576636054722.02","24.2612720940604"
"2011","Otros","251537626924.437","2.36844578710455"
"2011","África","222872031042.102","2.09853424093752"
"2012","América Latina","800664091224.491","7.367480728866"
"2012","Asia","5038293973739.67","46.3609323369557"
"2012","Estados Unidos","2014780677320.15","18.5394324233355"
"2012","Europa","2529720206845.58","23.2777578982646"
"2012","Otros","250981016626.998","2.30945514302096"
"2012","África","233102423427.326","2.14494146955726"
"2013","América Latina","812475184769.856","7.23498843170958"
"2013","Asia","5310871190761.19","47.2926340985306"
"2013","Estados Unidos","2078654033608.81","18.5101504250203"
"2013","Europa","2532574856146.9","22.5522577552342"
"2013","Otros","249908227138.359","2.2254010537531"
"2013","África","245322780780.964","2.18456823575217"
"2014","América Latina","805147787715.818","6.87952023752855"
"2014","Asia","5662313628590.09","48.3811814345671"
"2014","Estados Unidos","2114358627003.81","18.0659665042759"
"2014","Europa","2611186849745.83","22.3110751229379"
"2014","Otros","253680131151.364","2.16754938998936"
"2014","África","256858570784.532","2.19470731070125"
"2015","América Latina","797327717646.488","6.56580973985543"
"2015","Asia","5989302549898.16","49.3205242295336"
"2015","Estados Unidos","2141414684580","17.6340557112285"
"2015","Europa","2700844946914.89","22.240834810857"
"2015","Otros","253289077243.718","2.08577709461136"
"2015","África","261452186322.497","2.15299841391423"
"2016","América Latina","776460937109.988","6.22651679793361"
"2016","Asia","6281305002299.97","50.3704040223018"
"2016","Estados Unidos","2137230047814.36","17.1386584408167"
"2016","Europa","2753795561140.06","22.082958072989"
"2016","Otros","253420572413.447","2.03220455229515"
"2016","África","268017420202","2.14925811366373"
"2017","América Latina","780039084465.02","6.04384775897158"
"2017","Asia","6629447175129.39","51.3658485204057"
"2017","Estados Unidos","2104055439346.64","16.3025045861242"
"2017","Europa","2861540109910.45","22.171597712121"
"2017","Otros","258564369953.619","2.00339152103622"
"2017","África","272686269875.747","2.11280990134124"
"2018","América Latina","776386501836.007","5.77881782189629"
"2018","Asia","6969150965238.31","51.8729443468759"
"2018","Estados Unidos","2207091143457.43","16.4278714328489"
"2018","Europa","2937185307045.22","21.8621250606828"
"2018","Otros","263186846709.316","1.95895837531412"
"2018","África","282039511498.715","2.09928296238201"
"2019","América Latina","762512967648.717","5.58936695969834"
"2019","Asia","7142326024150.9","52.3546258077199"
"2019","Estados Unidos","2218860469139.69","16.2646747276089"
"2019","Europa","2964912502576.66","21.7333798681481"
"2019","Otros","261593980154.936","1.91753427360409"
"2019","África","292000287316.483","2.14041836322063"
"2020","América Latina","707804325943.249","5.3073184084379"
"2020","Asia","7173513943450.38","53.789050461826"
"2020","Estados Unidos","2122560637044.66","15.9155641313727"
"2020","Europa","2801572972007.62","21.0069919918945"
"2020","Otros","248363680569.301","1.86230160732096"
"2020","África","282567741785.78","2.11877339914795"
"2021","América Latina","762108409851.822","5.23697738920409"
"2021","Asia","7873692323746.57","54.1056208486505"
"2021","Estados Unidos","2283291069629.21","15.6900823426745"
"2021","Europa","3073897267477.55","21.122887870567"
"2021","Otros","260606835122.596","1.79081097304048"
"2021","África","298852065837.955","2.05362057586348"
"2022","América Latina","783637825016.699","5.27059875527083"
"2022","Asia","8062847692465.61","54.2291778870448"
"2022","Estados Unidos","2304733362838.99","15.5011976267882"
"2022","Europa","3139613037591.06","21.1164393035863"
"2022","Otros","265283627534.016","1.78424715147551"
"2022","África","311983154592.732","2.09833927583431"
"2023","América Latina","780243637222.498","5.15969949753863"
"2023","Asia","8343839702300.01","55.1772593401148"
"2023","Estados Unidos","2311701609474.19","15.2871296398177"
"2023","Europa","3106650488728.98","20.54407392899"
"2023","Otros","263557746355.137","1.7428899212583"
"2023","África","315888188946.889","2.08894767228055"
