"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2016","GRD","Granada","Manufacturas de media tecnología","1.708","0.548781467379954"
"2016","GIN","Guinea","Manufacturas en basadas en RRNN","33.911","92.5796500040951"
"2016","GIN","Guinea","Manufacturas de baja tecnología","2.718","7.42034999590488"
"2016","GUY","Guyana","Manufacturas en basadas en RRNN","0.001","0.000736154769178672"
"2016","HTI","Haití","Manufacturas en basadas en RRNN","74.348","91.3467090956002"
"2016","HTI","Haití","Manufacturas de baja tecnología","6.998","8.59800223611947"
"2016","HND","Honduras","Productos primarios","9.84","0.0772895376043448"
"2016","HND","Honduras","Manufacturas en basadas en RRNN","488.762","3.83904359538361"
"2016","HND","Honduras","Manufacturas de baja tecnología","936.231","7.35374604480217"
"2016","CIV","Costa de Marfil","Manufacturas de media tecnología","0.687","0.0302375429685609"
"2016","CIV","Costa de Marfil","Manufacturas de alta tecnología","8.939","0.393440169717563"
"2016","JAM","Jamaica","Manufacturas de media tecnología","12.706","48.4998854874418"
"2016","JAM","Jamaica","Manufacturas de alta tecnología","4.629","17.6692877318879"
"2016","JOR","Jordania","Manufacturas de media tecnología","190.636","11.1424331390303"
"2016","KEN","Kenia","Manufacturas de media tecnología","10.058","5.98245353159851"
"2016","KEN","Kenia","Manufacturas de alta tecnología","5.042","2.99895910780669"
"2016","LBY","Libia","Productos primarios","779.809","22.3172974803037"
"2016","MLI","Malí","Manufacturas en basadas en RRNN","0.158","4.93287542928505"
"2016","MLI","Malí","Manufacturas de baja tecnología","1.513","47.2369653449891"
"2016","MRT","Mauritania","Manufacturas de baja tecnología","0.08","100"
"2016","MUS","Mauricio","Manufacturas de media tecnología","136.735","48.5006597522737"
"2016","MUS","Mauricio","Manufacturas de alta tecnología","7.265","2.5769356280416"
"2016","MDA","Moldavia","Manufacturas en basadas en RRNN","6.011","16.4585729149554"
"2016","MDA","Moldavia","Manufacturas de baja tecnología","13.723","37.5746125622912"
"2016","MNE","Montenegro","Manufacturas en basadas en RRNN","0.083","6.52003142183818"
"2016","MNE","Montenegro","Manufacturas de baja tecnología","0.332","26.0801256873527"
"2016","CUW","Curazao","Manufacturas de media tecnología","3.752","0.104158309526182"
"2016","CUW","Curazao","Manufacturas de alta tecnología","6.663","0.184969833788101"
"2016","NIC","Nicaragua","Productos primarios","0.2","0.0396176892982717"
"2016","NIC","Nicaragua","Manufacturas en basadas en RRNN","264.433","52.3811221710494"
"2016","NIC","Nicaragua","Manufacturas de baja tecnología","109.686","21.7275293418511"
"2016","NER","Níger","Manufacturas en basadas en RRNN","0.006","5.55555555555555"
"2016","NER","Níger","Manufacturas de baja tecnología","0.001","0.925925925925926"
"2016","NGA","Nigeria","Manufacturas de media tecnología","4819.216","1.19057752720043"
"2016","QAT","Qatar","Manufacturas de media tecnología","25132.85","9.1082869361985"
"2016","QAT","Qatar","Manufacturas de alta tecnología","0.055","0.0000199323109591995"
"2016","SYC","Seychelles","Manufacturas de media tecnología","42.91","100"
"2016","SLE","Sierra Leona","Manufacturas de media tecnología","1.776","0.822576387055538"
"2016","SLE","Sierra Leona","Manufacturas de alta tecnología","11.041","5.11377583867128"
