"anio","region","lall_desc_full","exportaciones","prop_global"
"2007","Asia","Manufacturas de alta tecnología","1026542506715.61","43.1279624327276"
"2007","Asia","Manufacturas de baja tecnología","800142116276.136","43.1496657097791"
"2007","Asia","Manufacturas de media tecnología","1158255238366.41","28.5541718269608"
"2008","Asia","Manufacturas basadas en recursos naturales","866901995544.685","29.3525499288869"
"2008","Asia","Manufacturas de alta tecnología","1082399605647.82","42.4889079231903"
"2008","Asia","Manufacturas de baja tecnología","893285410005.298","43.7205162121272"
"2008","Asia","Manufacturas de media tecnología","1333940217903.47","29.5585177563824"
"2009","Asia","Manufacturas basadas en recursos naturales","649051895298.876","29.2997660887632"
"2009","Asia","Manufacturas de alta tecnología","952320948508.714","42.3620062660751"
"2009","Asia","Manufacturas de baja tecnología","753600947955.92","46.128592393057"
"2009","Asia","Manufacturas de media tecnología","1055579026343.56","30.8795997050286"
"2010","Asia","Manufacturas basadas en recursos naturales","892034223257.026","31.8276734817541"
"2010","Asia","Manufacturas de alta tecnología","1176332360962.05","45.9183129280889"
"2010","Asia","Manufacturas de baja tecnología","904883749929.696","48.1831866893502"
"2010","Asia","Manufacturas de media tecnología","1368318698741.13","33.38071834406"
"2011","Asia","Manufacturas basadas en recursos naturales","1142217223455.53","32.2859897726896"
"2011","Asia","Manufacturas de alta tecnología","1267271745490.96","45.5963111246102"
"2011","Asia","Manufacturas de baja tecnología","1032810992338.46","48.0035045057327"
"2011","Asia","Manufacturas de media tecnología","1591031005944.54","33.3621471867976"
"2012","Asia","Manufacturas basadas en recursos naturales","1141669706018.3","32.6315289787378"
"2012","Asia","Manufacturas de alta tecnología","1446903350666.4","48.8311053343721"
"2012","Asia","Manufacturas de baja tecnología","1038504922600.6","49.4402085750742"
"2012","Asia","Manufacturas de media tecnología","1588528019707.59","33.7178013765871"
"2013","Asia","Manufacturas basadas en recursos naturales","1163109481433.63","32.8569295689552"
"2013","Asia","Manufacturas de alta tecnología","1421351340085.56","48.5242995681605"
"2013","Asia","Manufacturas de baja tecnología","1060164346236.39","49.121841257528"
"2013","Asia","Manufacturas de media tecnología","1567012764170.68","32.1475665885618"
"2014","Asia","Manufacturas basadas en recursos naturales","1187365346667.79","33.4884833153152"
"2014","Asia","Manufacturas de alta tecnología","1447942836896.74","47.9859489122554"
"2014","Asia","Manufacturas de baja tecnología","1123906560537.28","49.6464635332683"
"2014","Asia","Manufacturas de media tecnología","1609580134730.56","32.4924957310369"
"2015","Asia","Manufacturas basadas en recursos naturales","974568941898.328","34.1990622661414"
"2015","Asia","Manufacturas de alta tecnología","1442698644168.31","49.2635234845127"
"2015","Asia","Manufacturas de baja tecnología","1090801772786.6","51.6134349061427"
"2015","Asia","Manufacturas de media tecnología","1539970141489.3","33.2869458320458"
"2016","Asia","Manufacturas basadas en recursos naturales","886590381221.501","33.1772192730395"
"2016","Asia","Manufacturas de alta tecnología","1436020324538.68","48.9530560085997"
"2016","Asia","Manufacturas de baja tecnología","1050617895899.31","50.8423705507263"
"2016","Asia","Manufacturas de media tecnología","1508571091616.7","33.2917088802953"
"2017","Asia","Manufacturas basadas en recursos naturales","1033796853544.93","33.5815128467289"
"2017","Asia","Manufacturas de alta tecnología","1683772870001.71","50.9490068365593"
"2017","Asia","Manufacturas de baja tecnología","1131732108134.5","50.8874688161273"
"2017","Asia","Manufacturas de media tecnología","1653982927714.54","33.5693747372554"
"2018","Asia","Manufacturas basadas en recursos naturales","1193228138922.3","34.3558059458516"
"2018","Asia","Manufacturas de alta tecnología","1809902325723.47","51.3175184671534"
"2018","Asia","Manufacturas de baja tecnología","1217662641148.78","50.8914321540713"
"2018","Asia","Manufacturas de media tecnología","1781652976883.15","33.8924954348339"
"2019","Asia","Manufacturas basadas en recursos naturales","1132735565942.19","34.4566516792181"
"2019","Asia","Manufacturas de alta tecnología","1767635816994.25","50.5655819479538"
"2019","Asia","Manufacturas de baja tecnología","1211691131030.71","51.5350179672127"
"2019","Asia","Manufacturas de media tecnología","1756328536473.41","34.0010092119417"
"2020","Asia","Manufacturas basadas en recursos naturales","937587474033.272","32.6943731264497"
"2020","Asia","Manufacturas de alta tecnología","1823946537251.69","52.0420117531449"
"2020","Asia","Manufacturas de baja tecnología","1151755477123.48","52.4381962117948"
"2020","Asia","Manufacturas de media tecnología","1631107313026.88","34.8508706122934"
"2021","Asia","Manufacturas basadas en recursos naturales","1344312821456.69","34.3416874020259"
"2021","Asia","Manufacturas de alta tecnología","2189754422476.35","53.223606934207"
"2021","Asia","Manufacturas de baja tecnología","1405460156366.05","52.3496053237643"
"2021","Asia","Manufacturas de media tecnología","2039685342001.62","36.0774008988155"
"2022","Asia","Manufacturas basadas en recursos naturales","1721280964093.57","37.5062605715848"
"2022","Asia","Manufacturas de alta tecnología","2296757312963.52","53.0857561748205"
"2022","Asia","Manufacturas de baja tecnología","1524517391018.4","53.616492179687"
"2022","Asia","Manufacturas de media tecnología","2264189459040.52","37.3437430856549"
"2023","Asia","Manufacturas basadas en recursos naturales","1526259541119.27","36.3999326903758"
"2023","Asia","Manufacturas de alta tecnología","2168146008059.7","51.7614233627025"
"2023","Asia","Manufacturas de baja tecnología","1339445011119.08","50.9734839244334"
"2023","Asia","Manufacturas de media tecnología","2178253252329.16","35.0625285987428"
