"geocodigoFundar","geonombreFundar","cadena","share"
"AR-M","Mendoza","Bovina","1.19000"
"AR-M","Mendoza","Caprina","15.72000"
"AR-M","Mendoza","Cebada","3.19000"
"AR-M","Mendoza","Cítricos dulces","11.30000"
"AR-M","Mendoza","Fruta de carozo","43.16000"
"AR-M","Mendoza","Frutas finas","21.81000"
"AR-M","Mendoza","Girasol","0.06000"
"AR-M","Mendoza","Hortícola","24.19000"
"AR-M","Mendoza","Legumbres","0.01000"
"AR-M","Mendoza","Limón","0.03000"
"AR-M","Mendoza","Láctea","0.52000"
"AR-M","Mendoza","Maicera","0.35000"
"AR-M","Mendoza","Maní","0.25000"
"AR-M","Mendoza","Olivícola","20.38000"
"AR-M","Mendoza","Ovina","0.71000"
"AR-M","Mendoza","Peras y Manzanas","9.32000"
"AR-M","Mendoza","Pesca","0.00000"
"AR-M","Mendoza","Porcina","1.21000"
"AR-M","Mendoza","Sojera","0.06000"
"AR-M","Mendoza","Sorgo","0.23000"
"AR-M","Mendoza","Tabacalera","0.01000"
"AR-M","Mendoza","Tealera","1.40000"
"AR-M","Mendoza","Triguera","1.77000"
"AR-M","Mendoza","Vitivinícola","71.30000"
"AR-M","Mendoza","Yerba mate","0.02000"
"AR-N","Misiones","Algodón textil","0.07000"
"AR-N","Misiones","Apícola","2.32000"
"AR-N","Misiones","Arrocera","0.70000"
"AR-N","Misiones","Avícola","1.00000"
"AR-N","Misiones","Azucarera","0.15000"
"AR-N","Misiones","Bovina","0.76000"
"AR-N","Misiones","Caprina","0.03000"
"AR-N","Misiones","Cebada","0.35000"
"AR-N","Misiones","Cítricos dulces","2.94000"
"AR-N","Misiones","Fruta de carozo","0.08000"
"AR-N","Misiones","Frutas finas","0.90000"
"AR-N","Misiones","Girasol","0.35000"
"AR-N","Misiones","Hortícola","0.93000"
"AR-N","Misiones","Legumbres","0.28000"
"AR-N","Misiones","Limón","1.19000"
"AR-N","Misiones","Láctea","0.37000"
"AR-N","Misiones","Maicera","0.79000"
"AR-N","Misiones","Maní","1.56000"
"AR-N","Misiones","Olivícola","0.22000"
"AR-N","Misiones","Ovina","0.08000"
"AR-N","Misiones","Peras y Manzanas","0.13000"
"AR-N","Misiones","Pesca","0.00000"
"AR-N","Misiones","Porcina","1.64000"
"AR-N","Misiones","Sojera","0.37000"
"AR-N","Misiones","Sorgo","0.69000"
"AR-N","Misiones","Tabacalera","15.26000"
"AR-N","Misiones","Tealera","53.02000"
"AR-N","Misiones","Triguera","0.96000"
"AR-N","Misiones","Vitivinícola","0.40000"
"AR-N","Misiones","Yerba mate","85.95000"
"AR-P","Formosa","Algodón textil","0.18000"
"AR-P","Formosa","Apícola","0.55000"
"AR-P","Formosa","Arrocera","0.54000"
"AR-P","Formosa","Avícola","0.06000"
"AR-P","Formosa","Azucarera","0.00000"
"AR-P","Formosa","Bovina","1.75000"
"AR-P","Formosa","Caprina","1.71000"
"AR-P","Formosa","Cebada","0.00000"
"AR-P","Formosa","Cítricos dulces","0.02000"
"AR-P","Formosa","Fruta de carozo","0.00000"
"AR-P","Formosa","Frutas finas","0.02000"
"AR-P","Formosa","Girasol","0.06000"
"AR-P","Formosa","Hortícola","0.04000"
"AR-P","Formosa","Legumbres","0.10000"
"AR-P","Formosa","Limón","0.05000"
"AR-P","Formosa","Láctea","0.07000"
"AR-P","Formosa","Maicera","0.33000"
