"geocodigoFundar","geonombreFundar","tipo_carne","valor"
"ITA","Italia","pescado_mariscos","29.39000"
"ITA","Italia","porcina","34.13000"
"ITA","Italia","vacuna","14.49000"
"JAM","Jamaica","aviar","56.79000"
"JAM","Jamaica","caprina_ovina","1.15000"
"JAM","Jamaica","otras_carnes","0.01000"
"JAM","Jamaica","pescado_mariscos","27.85000"
"JAM","Jamaica","porcina","3.35000"
"JAM","Jamaica","vacuna","5.66000"
"JOR","Jordania","aviar","23.14000"
"JOR","Jordania","caprina_ovina","4.75000"
"JOR","Jordania","otras_carnes","0.08000"
"JOR","Jordania","pescado_mariscos","4.76000"
"JOR","Jordania","porcina","0.01000"
"JOR","Jordania","vacuna","7.11000"
"KAZ","Kazajstán","aviar","23.39000"
"KAZ","Kazajstán","caprina_ovina","7.18000"
"KAZ","Kazajstán","otras_carnes","8.84000"
"KAZ","Kazajstán","pescado_mariscos","3.94000"
"KAZ","Kazajstán","porcina","6.70000"
"KAZ","Kazajstán","vacuna","18.78000"
"KEN","Kenia","aviar","1.71000"
"KEN","Kenia","caprina_ovina","1.87000"
"KEN","Kenia","otras_carnes","1.60000"
"KEN","Kenia","pescado_mariscos","2.86000"
"KEN","Kenia","porcina","0.72000"
"KEN","Kenia","vacuna","4.28000"
"KGZ","Kirguistán","aviar","8.73000"
"KGZ","Kirguistán","caprina_ovina","9.59000"
"KGZ","Kirguistán","otras_carnes","4.27000"
"KGZ","Kirguistán","pescado_mariscos","1.45000"
"KGZ","Kirguistán","porcina","1.18000"
"KGZ","Kirguistán","vacuna","16.19000"
"KHM","Camboya","aviar","3.91000"
"KHM","Camboya","caprina_ovina","0.01000"
"KHM","Camboya","otras_carnes","0.05000"
"KHM","Camboya","pescado_mariscos","39.41000"
"KHM","Camboya","porcina","6.47000"
"KHM","Camboya","vacuna","5.69000"
"KIR","Kiribati","aviar","25.66000"
"KIR","Kiribati","caprina_ovina","0.51000"
"KIR","Kiribati","otras_carnes","0.02000"
"KIR","Kiribati","pescado_mariscos","72.29000"
"KIR","Kiribati","porcina","14.85000"
"KIR","Kiribati","vacuna","4.04000"
"KNA","Saint Kitts y Nevis","aviar","62.97000"
"KNA","Saint Kitts y Nevis","caprina_ovina","2.00000"
"KNA","Saint Kitts y Nevis","otras_carnes","0.00000"
"KNA","Saint Kitts y Nevis","pescado_mariscos","36.43000"
"KNA","Saint Kitts y Nevis","porcina","16.81000"
"KNA","Saint Kitts y Nevis","vacuna","7.11000"
"KOR","Corea del Sur","aviar","24.58000"
"KOR","Corea del Sur","caprina_ovina","0.65000"
"KOR","Corea del Sur","otras_carnes","0.22000"
"KOR","Corea del Sur","pescado_mariscos","52.82000"
"KOR","Corea del Sur","porcina","39.71000"
"KOR","Corea del Sur","vacuna","18.84000"
"KWT","Kuwait","aviar","36.81000"
"KWT","Kuwait","caprina_ovina","14.26000"
"KWT","Kuwait","otras_carnes","1.98000"
"KWT","Kuwait","pescado_mariscos","12.97000"
"KWT","Kuwait","porcina","0.00000"
"KWT","Kuwait","vacuna","9.49000"
"LAO","Laos","aviar","7.41000"
"LAO","Laos","caprina_ovina","0.42000"
"LAO","Laos","otras_carnes","0.29000"
"LAO","Laos","pescado_mariscos","28.52000"
"LAO","Laos","porcina","13.64000"
"LAO","Laos","vacuna","9.31000"
"LBN","Líbano","aviar","22.47000"
"LBN","Líbano","caprina_ovina","0.76000"
"LBN","Líbano","otras_carnes","0.01000"
"LBN","Líbano","pescado_mariscos","4.74000"
"LBN","Líbano","porcina","0.97000"
"LBN","Líbano","vacuna","13.99000"
"LBR","Liberia","aviar","3.53000"
"LBR","Liberia","caprina_ovina","3.48000"
"LBR","Liberia","otras_carnes","2.54000"
"LBR","Liberia","pescado_mariscos","4.74000"
"LBR","Liberia","porcina","2.40000"
"LBR","Liberia","vacuna","0.36000"
"LBY","Libia","aviar","31.28000"
"LBY","Libia","caprina_ovina","5.94000"
"LBY","Libia","otras_carnes","0.80000"
"LBY","Libia","pescado_mariscos","12.87000"
"LBY","Libia","porcina","0.01000"
"LBY","Libia","vacuna","5.64000"
"LCA","Santa Lucía","aviar","64.39000"
"LCA","Santa Lucía","caprina_ovina","2.18000"
"LCA","Santa Lucía","otras_carnes","0.00000"
"LCA","Santa Lucía","pescado_mariscos","24.95000"
"LCA","Santa Lucía","porcina","16.81000"
"LCA","Santa Lucía","vacuna","6.95000"
"LKA","Sri Lanka","aviar","10.21000"
"LKA","Sri Lanka","caprina_ovina","0.13000"
"LKA","Sri Lanka","otras_carnes","0.00000"
"LKA","Sri Lanka","pescado_mariscos","22.73000"
"LKA","Sri Lanka","porcina","0.03000"
"LKA","Sri Lanka","vacuna","1.19000"
"LSO","Lesotho","aviar","7.50000"
"LSO","Lesotho","caprina_ovina","0.57000"
"LSO","Lesotho","otras_carnes","2.67000"
"LSO","Lesotho","pescado_mariscos","1.93000"
"LSO","Lesotho","porcina","5.65000"
"LSO","Lesotho","vacuna","2.40000"
"LTU","Lituania","aviar","27.51000"
"LTU","Lituania","caprina_ovina","0.38000"
"LTU","Lituania","otras_carnes","0.50000"
"LTU","Lituania","pescado_mariscos","28.52000"
"LTU","Lituania","porcina","48.04000"
"LTU","Lituania","vacuna","4.44000"
"LUX","Luxemburgo","aviar","19.91000"
"LUX","Luxemburgo","caprina_ovina","0.97000"
"LUX","Luxemburgo","otras_carnes","0.80000"
"LUX","Luxemburgo","pescado_mariscos","30.30000"
"LUX","Luxemburgo","porcina","31.52000"
"LUX","Luxemburgo","vacuna","29.82000"
"LVA","Letonia","aviar","32.47000"
"LVA","Letonia","caprina_ovina","0.36000"
"LVA","Letonia","otras_carnes","0.46000"
"LVA","Letonia","pescado_mariscos","24.49000"
"LVA","Letonia","porcina","41.58000"
"LVA","Letonia","vacuna","7.79000"
"MAC","Macao","aviar","42.64000"
"MAC","Macao","caprina_ovina","0.81000"
"MAC","Macao","otras_carnes","1.68000"
"MAC","Macao","pescado_mariscos","61.12000"
"MAC","Macao","porcina","57.71000"
"MAC","Macao","vacuna","18.39000"
"MAR","Marruecos","aviar","18.78000"
"MAR","Marruecos","caprina_ovina","5.08000"
"MAR","Marruecos","otras_carnes","1.90000"
