iso3,iso3_desc_fundar,valor,geocodigoFundar,geonombreFundar
GUM,Guam,115.0,GUM,Guam
GUY,Guyana,141.7300019264221,GUY,Guyana
HKG,Hong Kong,3908.870063811541,HKG,Hong Kong
HND,Honduras,63267.80078125,HND,Honduras
HRV,Croacia,26830.70031666756,HRV,Croacia
HTI,Haití,1610.0,HTI,Haití
HUN,Hungría,17846.73968410492,HUN,Hungría
IDN,Indonesia,14606533.42404811,IDN,Indonesia
IND,India,9408300.0,IND,India
IRL,Irlanda,42099.0,IRL,Irlanda
IRN,Irán,478737.0,IRN,Irán
IRQ,Iraq,22694.0,IRQ,Iraq
ISL,Islandia,53136.0,ISL,Islandia
ISR,Israel,14875.0,ISR,Israel
ITA,Italia,145861.8993538022,ITA,Italia
JAM,Jamaica,884.2000122070312,JAM,Jamaica
JOR,Jordania,2145.0,JOR,Jordania
