"cultivo","campania","q_total","share"
"Mijo","1978/79","310000","0.61830"
"Naranja","1978/79","706000","1.40812"
"Papa total","1978/79","1693285","3.37727"
"Pomelo","1978/79","134000","0.26726"
"Poroto total","1978/79","235000","0.46871"
"Soja total","1978/79","3700000","7.37969"
"Sorgo","1978/79","6200000","12.36597"
"Trigo total","1978/79","8100000","16.15554"
"Tung","1978/79","58300","0.11628"
"Té","1978/79","125000","0.24931"
"Yerba mate","1978/79","135200","0.26966"
"Ajo","1979/80","94932","0.20239"
"Algodón","1979/80","485400","1.03485"
"Alpiste","1979/80","42000","0.08954"
"Arroz","1979/80","266000","0.56710"
"Avena","1979/80","522000","1.11288"
"Banana","1979/80","146200","0.31169"
"Caña de azúcar","1979/80","17200000","36.66963"
"Cebada cervecera","1979/80","286000","0.60974"
"Cebada forrajera","1979/80","53000","0.11299"
"Cebolla total","1979/80","277440","0.59149"
"Centeno","1979/80","202000","0.43065"
"Colza","1979/80","23052","0.04915"
"Cártamo","1979/80","630","0.00134"
"Girasol","1979/80","1650000","3.51773"
"Limón","1979/80","396000","0.84425"
"Lino","1979/80","743000","1.58404"
"Mandarina","1979/80","214000","0.45624"
"Maní","1979/80","206000","0.43918"
"Maíz","1979/80","6399220","13.64285"
"Mijo","1979/80","188000","0.40081"
"Naranja","1979/80","704000","1.50090"
"Papa total","1979/80","1567615","3.34208"
"Pomelo","1979/80","164000","0.34964"
"Poroto total","1979/80","146000","0.31127"
"Soja total","1979/80","3500000","7.46184"
"Sorgo","1979/80","2960000","6.31059"
"Trigo total","1979/80","8100000","17.26884"
"Tung","1979/80","81000","0.17269"
"Té","1979/80","153000","0.32619"
"Yerba mate","1979/80","134813","0.28742"
"Ajo","1980/81","68939","0.12376"
"Algodón","1980/81","265300","0.47625"
"Alpiste","1980/81","35200","0.06319"
"Arroz","1980/81","286300","0.51395"
"Avena","1980/81","433000","0.77730"
"Banana","1980/81","77000","0.13823"
"Caña de azúcar","1980/81","15500000","27.82485"
"Cebada cervecera","1980/81","170000","0.30518"
"Cebada forrajera","1980/81","47000","0.08437"
"Cebolla total","1980/81","192600","0.34575"
"Centeno","1980/81","155000","0.27825"
"Colza","1980/81","1600","0.00287"
"Cártamo","1980/81","700","0.00126"
"Girasol","1980/81","1260000","2.26189"
"Limón","1980/81","409000","0.73422"
"Lino","1980/81","585000","1.05016"
"Mandarina","1980/81","237000","0.42545"
"Maní","1980/81","170000","0.30518"
"Maíz","1980/81","12899150","23.15593"
"Mijo","1980/81","238000","0.42725"
"Naranja","1980/81","668000","1.19916"
"Papa total","1980/81","2246470","4.03275"
"Pomelo","1980/81","150000","0.26927"
"Poroto total","1980/81","224000","0.40211"
"Soja total","1980/81","3770000","6.76772"
"Sorgo","1980/81","7550000","13.55340"
"Trigo total","1980/81","7779990","13.96626"
"Tung","1980/81","48600","0.08724"
"Té","1980/81","98000","0.17592"
"Yerba mate","1980/81","139745","0.25086"
"Ajo","1981/82","37680","0.07000"
"Algodón","1981/82","491000","0.91222"
"Alpiste","1981/82","32300","0.06001"
"Arroz","1981/82","437200","0.81226"
"Avena","1981/82","338970","0.62976"
"Banana","1981/82","88700","0.16479"
"Caña de azúcar","1981/82","15046000","27.95355"
"Cebada cervecera","1981/82","115800","0.21514"
"Cebada forrajera","1981/82","15700","0.02917"
"Cebolla total","1981/82","236910","0.44015"
"Centeno","1981/82","149000","0.27682"
"Cártamo","1981/82","630","0.00117"
"Girasol","1981/82","1980000","3.67859"
"Limón","1981/82","384000","0.71342"
"Lino","1981/82","600000","1.11472"
"Mandarina","1981/82","255000","0.47376"
"Maní","1981/82","205000","0.38086"
"Maíz","1981/82","9599125","17.83395"
"Mijo","1981/82","154000","0.28611"
"Naranja","1981/82","606000","1.12587"
"Papa total","1981/82","1816780","3.37535"
"Pomelo","1981/82","147600","0.27422"
"Poroto total","1981/82","254000","0.47190"
"Soja total","1981/82","4150000","7.71017"
"Sorgo","1981/82","7999925","14.86284"
"Trigo total","1981/82","8299810","15.41999"
"Tung","1981/82","80500","0.14956"
"Té","1981/82","142000","0.26382"
"Yerba mate","1981/82","161371","0.29981"
"Ajo","1982/83","48083","0.07905"
"Algodón","1982/83","373300","0.61369"
"Alpiste","1982/83","63000","0.10357"
"Arroz","1982/83","337100","0.55418"
"Avena","1982/83","636970","1.04715"
"Banana","1982/83","126100","0.20730"
"Caña de azúcar","1982/83","15070000","24.77442"
"Cebada cervecera","1982/83","180000","0.29591"
"Cebada forrajera","1982/83","31400","0.05162"
"Cebolla total","1982/83","272880","0.44860"
"Centeno","1982/83","148000","0.24331"
"Cártamo","1982/83","1860","0.00306"
"Girasol","1982/83","2400000","3.94549"
"Limón","1982/83","357000","0.58689"
"Lino","1982/83","730000","1.20009"
"Mandarina","1982/83","244000","0.40113"
"Maní","1982/83","165000","0.27125"
"Maíz","1982/83","8999000","14.79396"
"Mijo","1982/83","178600","0.29361"
"Naranja","1982/83","639000","1.05049"
"Papa total","1982/83","2013080","3.30941"
"Pomelo","1982/83","147000","0.24166"
"Poroto total","1982/83","216500","0.35592"
"Soja total","1982/83","4000000","6.57582"
"Sorgo","1982/83","8099900","13.31588"
"Trigo total","1982/83","15000000","24.65934"
"Tung","1982/83","39400","0.06477"
"Té","1982/83","175500","0.28851"
"Yerba mate","1982/83","136210","0.22392"
"Ajo","1983/84","50574","0.08197"
"Algodón","1983/84","610000","0.98869"
"Alpiste","1983/84","50000","0.08104"
"Arroz","1983/84","480400","0.77864"
"Avena","1983/84","592970","0.96109"
"Banana","1983/84","161000","0.26095"
"Caña de azúcar","1983/84","15440000","25.02532"
"Cebada cervecera","1983/84","140000","0.22691"
"Cebada forrajera","1983/84","26000","0.04214"
"Cebolla total","1983/84","296895","0.48121"
"Centeno","1983/84","130000","0.21071"
"Cártamo","1983/84","4600","0.00746"
"Girasol","1983/84","2200000","3.56578"
"Limón","1983/84","367600","0.59581"
"Lino","1983/84","660000","1.06974"
"Mandarina","1983/84","230600","0.37376"
"Maní","1983/84","235000","0.38089"
"Maíz","1983/84","9497390","15.39347"
