"year","semestre","region","indice"
"2015","1","NEA","120.35218"
"2015","1","NOA","145.06198"
"2015","1","Cuyo","150.14206"
"2015","1","Patagonia","188.48123"
"2015","2","Total",""
"2015","2","Partidos del GBA",""
"2015","2","CABA",""
"2015","2","Pampeana",""
"2015","2","NEA",""
"2015","2","NOA",""
"2015","2","Cuyo",""
"2015","2","Patagonia",""
"2016","1","Total",""
"2016","1","Partidos del GBA",""
"2016","1","CABA",""
"2016","1","Pampeana",""
"2016","1","NEA",""
"2016","1","NOA",""
"2016","1","Cuyo",""
"2016","1","Patagonia",""
"2016","2","Total","157.64354"
"2016","2","Partidos del GBA","137.40619"
"2016","2","CABA","279.11609"
"2016","2","Pampeana","155.06276"
"2016","2","NEA","133.47218"
"2016","2","NOA","141.63484"
"2016","2","Cuyo","133.55116"
"2016","2","Patagonia","171.83031"
"2017","1","Total","159.11018"
"2017","1","Partidos del GBA","139.58972"
"2017","1","CABA","265.43973"
"2017","1","Pampeana","156.66820"
"2017","1","NEA","136.05006"
"2017","1","NOA","149.04488"
"2017","1","Cuyo","143.94225"
"2017","1","Patagonia","172.38277"
"2017","2","Total","168.47359"
"2017","2","Partidos del GBA","148.24002"
"2017","2","CABA","281.07065"
"2017","2","Pampeana","168.66609"
"2017","2","NEA","140.31053"
"2017","2","NOA","155.55515"
"2017","2","Cuyo","153.17696"
"2017","2","Patagonia","180.70001"
"2018","1","Total","165.80228"
"2018","1","Partidos del GBA","145.00006"
"2018","1","CABA","279.91513"
"2018","1","Pampeana","163.28572"
"2018","1","NEA","144.26137"
"2018","1","NOA","151.56844"
"2018","1","Cuyo","152.93036"
"2018","1","Patagonia","174.01990"
"2018","2","Total","146.28572"
"2018","2","Partidos del GBA","127.64848"
"2018","2","CABA","248.92232"
"2018","2","Pampeana","142.37482"
"2018","2","NEA","125.74592"
"2018","2","NOA","135.63008"
"2018","2","Cuyo","136.69479"
"2018","2","Patagonia","164.05157"
"2019","1","Total","138.23279"
"2019","1","Partidos del GBA","119.72363"
