"categoria","anio","exportaciones_en_usd_mill","tipo"
"Complejo siderúrgico","2021","1117.35206135","Bienes"
"Complejo siderúrgico","2022","1245.12757081","Bienes"
"Complejo siderúrgico","2023","1103.60135383","Bienes"
"Complejo siderúrgico","2024","1150.24377761","Bienes"
"Complejo aluminio","2021","663.98777277","Bienes"
"Complejo aluminio","2022","782.0717731","Bienes"
"Complejo aluminio","2023","885.36909668","Bienes"
"Complejo aluminio","2024","1112.0650584","Bienes"
"Complejo litio","2021","206.55098386","Bienes"
"Complejo litio","2022","697.59247715","Bienes"
"Complejo litio","2023","847.81475126","Bienes"
"Complejo litio","2024","655.26812465","Bienes"
"Complejo plomo","2021","17.53782424","Bienes"
"Complejo plomo","2022","2.3550091","Bienes"
"Complejo plomo","2023","13.79072896","Bienes"
"Complejo plomo","2024","34.61208972","Bienes"
"Complejo otros minerales metalíferos","2021","28.30452405","Bienes"
"Complejo otros minerales metalíferos","2022","20.42362779","Bienes"
"Complejo otros minerales metalíferos","2023","30.95619617","Bienes"
"Complejo otros minerales metalíferos","2024","22.58991077","Bienes"
"Complejo carne y cuero bovinos","2021","3607.84634967","Bienes"
"Complejo carne y cuero bovinos","2022","4314.1256743","Bienes"
"Complejo carne y cuero bovinos","2023","3567.72139991","Bienes"
"Complejo carne y cuero bovinos","2024","3804.14803657","Bienes"
"Complejo lácteo","2021","1163.91483595","Bienes"
"Complejo lácteo","2022","1437.35739662","Bienes"
"Complejo lácteo","2023","1183.64297611","Bienes"
"Complejo lácteo","2024","1280.76919439","Bienes"
"Complejo uva","2021","1052.97244737","Bienes"
"Complejo uva","2022","1015.34155471","Bienes"
"Complejo uva","2023","814.12586242","Bienes"
"Complejo uva","2024","938.58858434","Bienes"
"Complejo limón","2021","463.36385201","Bienes"
"Complejo limón","2022","459.23683946","Bienes"
"Complejo limón","2023","401.6297724","Bienes"
"Complejo limón","2024","440.69367955","Bienes"
"Complejo peras y manzanas","2021","330.93983866","Bienes"
"Complejo peras y manzanas","2022","284.07971467","Bienes"
"Complejo peras y manzanas","2023","315.7092614","Bienes"
"Complejo peras y manzanas","2024","360.3768593","Bienes"
"Complejo cítricos, excluido el limón","2021","85.12664124","Bienes"
"Complejo cítricos, excluido el limón","2022","64.66085216","Bienes"
"Complejo cítricos, excluido el limón","2023","67.03194902","Bienes"
"Complejo cítricos, excluido el limón","2024","115.64897871","Bienes"
"Complejo arándanos y frutos similares","2021","68.24072638","Bienes"
"Complejo arándanos y frutos similares","2022","49.61789606","Bienes"
"Complejo arándanos y frutos similares","2023","55.3600926","Bienes"
"Complejo arándanos y frutos similares","2024","68.68529989","Bienes"
"Complejo resto del sector frutícola","2021","163.18594667","Bienes"
"Complejo resto del sector frutícola","2022","148.33137921","Bienes"
"Complejo resto del sector frutícola","2023","157.80264301","Bienes"
"Complejo resto del sector frutícola","2024","200.99706456","Bienes"
"Complejo pesquero","2021","1990.11787841","Bienes"
"Complejo pesquero","2022","1837.49617669","Bienes"
"Complejo pesquero","2023","1780.66819317","Bienes"
"Complejo pesquero","2024","2012.75760965","Bienes"
"Complejo farmacéutico","2021","1061.87788609","Bienes"
"Complejo farmacéutico","2022","1084.75308327","Bienes"
"Complejo farmacéutico","2023","1094.48443881","Bienes"
"Complejo farmacéutico","2024","1163.66961222","Bienes"
"Complejo papa","2021","243.41987941","Bienes"
"Complejo papa","2022","272.57685489","Bienes"
"Complejo papa","2023","287.44219194","Bienes"
"Complejo papa","2024","353.30580244","Bienes"
"Complejo porotos","2021","409.51066816","Bienes"
"Complejo porotos","2022","339.862631","Bienes"
"Complejo porotos","2023","326.41581128","Bienes"
"Complejo porotos","2024","203.18497474","Bienes"
"Complejo ajo","2021","148.29840528","Bienes"
"Complejo ajo","2022","134.22072654","Bienes"
"Complejo ajo","2023","113.71091323","Bienes"
"Complejo ajo","2024","182.57637003","Bienes"
"Complejo garbanzos","2021","34.03822232","Bienes"
"Complejo garbanzos","2022","47.12931509","Bienes"
"Complejo garbanzos","2023","54.2347512","Bienes"
"Complejo garbanzos","2024","78.43193099","Bienes"
"Complejo resto del sector hortícola","2021","94.13893087","Bienes"
"Complejo resto del sector hortícola","2022","134.33767389","Bienes"
"Complejo resto del sector hortícola","2023","86.60482712","Bienes"
"Complejo resto del sector hortícola","2024","158.0868301","Bienes"
"Complejo forestal","2021","861.38740479","Bienes"
"Complejo forestal","2022","793.47121387","Bienes"
"Complejo forestal","2023","627.86903456","Bienes"
"Complejo forestal","2024","743.92382045","Bienes"
"Complejo azucarero","2021","216.612064","Bienes"
"Complejo azucarero","2022","217.71518137","Bienes"
"Complejo azucarero","2023","147.36271029","Bienes"
"Complejo azucarero","2024","422.14544888","Bienes"
"Complejo textil","2021","486.96173606","Bienes"
"Complejo textil","2022","479.46910097","Bienes"
"Complejo textil","2023","254.59357624","Bienes"
"Complejo textil","2024","383.78338989","Bienes"
"Complejo tabacalero","2021","252.34092809","Bienes"
"Complejo tabacalero","2022","325.62196993","Bienes"
"Complejo tabacalero","2023","279.50686509","Bienes"
"Complejo tabacalero","2024","323.4543487","Bienes"
"Complejo avícola","2021","339.69902181","Bienes"
"Complejo avícola","2022","423.53248845","Bienes"
"Complejo avícola","2023","215.3195981","Bienes"
"Complejo avícola","2024","260.31930888","Bienes"
"Complejo miel","2021","223.33436928","Bienes"
"Complejo miel","2022","252.35681592","Bienes"
"Complejo miel","2023","187.43787874","Bienes"
"Complejo miel","2024","190.75895459","Bienes"
"Complejo yerba mate","2021","79.02872606","Bienes"
"Complejo yerba mate","2022","94.33674953","Bienes"
"Complejo yerba mate","2023","90.78758122","Bienes"
"Complejo yerba mate","2024","101.51700682","Bienes"
"Complejo té","2021","80.78557834","Bienes"
"Complejo té","2022","81.07864534","Bienes"
"Complejo té","2023","76.03551324","Bienes"
"Complejo té","2024","82.27872036","Bienes"
"Complejo equino","2021","69.76632938","Bienes"
"Complejo equino","2022","74.51966802","Bienes"
"Complejo equino","2023","61.66465367","Bienes"
"Complejo equino","2024","67.74152266","Bienes"
"Resto de exportaciones","2021","6827.9816931","Bienes"
"Resto de exportaciones","2022","6436.49619013","Bienes"
"Resto de exportaciones","2023","5402.34355345","Bienes"
"Resto de exportaciones","2024","5469.41028762","Bienes"
"Bienes y serv. del gobierno, n.i.o.p.","2006","124.05256056215","Servicios"
"Construcción","2006","20.1","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2006","61.4197805203455","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2006","5.7442284268","Servicios"
"Serv. de seguros y pensiones","2006","9.45486787910307","Servicios"
"Serv. financieros","2006","118.032475288309","Servicios"
"Servicios basados en conocimiento","2006","2780.75649407932","Servicios"
"Transporte","2006","1440.18204205319","Servicios"
"Viajes","2006","3351.27264411116","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2007","130.279775136662","Servicios"
"Construcción","2007","38.39","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2007","77.4073023906265","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2007","6.092734","Servicios"
"Serv. de seguros y pensiones","2007","9.53158893543597","Servicios"
"Serv. financieros","2007","156.83384825572","Servicios"
"Servicios basados en conocimiento","2007","3586.76925651858","Servicios"
"Transporte","2007","1715.24059900347","Servicios"
"Viajes","2007","4325.19139193521","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2008","151.33582805552","Servicios"
"Construcción","2008","19.17270467","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2008","102.420921466988","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2008","9.09324490049524","Servicios"
"Serv. de seguros y pensiones","2008","11.9525281199551","Servicios"
"Serv. financieros","2008","157.74832454502","Servicios"
"Servicios basados en conocimiento","2008","4573.76174080482","Servicios"
"Transporte","2008","1734.59415922793","Servicios"
"Viajes","2008","4664.0696199856","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2009","135.621250476973","Servicios"
"Construcción","2009","6.24148769","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2009","112.133889217188","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2009","5.47896937561905","Servicios"
"Serv. de seguros y pensiones","2009","15.1397258923663","Servicios"
"Serv. financieros","2009","106.87564097229","Servicios"
"Servicios basados en conocimiento","2009","4647.65108538627","Servicios"
"Transporte","2009","1526.62431017689","Servicios"
"Viajes","2009","3988.85496444718","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2010","185.727058796157","Servicios"
"Construcción","2010","14.7073470412","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2010","120.025244059126","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2010","3.86470316952381","Servicios"
"Serv. de seguros y pensiones","2010","21.2352609260839","Servicios"
"Serv. financieros","2010","170.47983608307","Servicios"
"Servicios basados en conocimiento","2010","5334.83302932109","Servicios"
"Transporte","2010","1977.0604571042","Servicios"
"Viajes","2010","4989.21042410832","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2011","201.234821644502","Servicios"
"Construcción","2011","9.14707685","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2011","139.020681590571","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2011","4.80570124590476","Servicios"
"Serv. de seguros y pensiones","2011","28.8722588571429","Servicios"
"Serv. financieros","2011","101.349309479516","Servicios"
"Servicios basados en conocimiento","2011","6435.17554904885","Servicios"
"Transporte","2011","2146.42302027278","Servicios"
"Viajes","2011","5430.95285639421","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2012","199.414824425077","Servicios"
"Construcción","2012","14.38245119","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2012","142.892430564227","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2012","4.24965409438095","Servicios"
"Serv. de seguros y pensiones","2012","25.3748808880507","Servicios"
"Serv. financieros","2012","100.954551807795","Servicios"
"Servicios basados en conocimiento","2012","6441.99664648571","Servicios"
"Transporte","2012","2304.10648372477","Servicios"
"Viajes","2012","5013.72880637769","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2013","192.751841580019","Servicios"
"Construcción","2013","1.88680162","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2013","126.814628938967","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2013","3.12178019047619","Servicios"
"Serv. de seguros y pensiones","2013","24.794492122764","Servicios"
"Serv. financieros","2013","81.1798614029419","Servicios"
"Servicios basados en conocimiento","2013","6213.35375159021","Servicios"
"Transporte","2013","2511.3463915996","Servicios"
"Viajes","2013","4524.64221933038","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2014","206.53402296682","Servicios"
"Construcción","2014","2.65051105","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2014","110.210002821907","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2014","4.72020894","Servicios"
"Serv. de seguros y pensiones","2014","27.2836780793139","Servicios"
"Serv. financieros","2014","60.1762369378128","Servicios"
"Servicios basados en conocimiento","2014","5569.01496449189","Servicios"
"Transporte","2014","2455.73715132171","Servicios"
"Viajes","2014","4960.04505111693","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2015","207.972623092268","Servicios"
"Construcción","2015","9.10877522","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2015","101.439781765135","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2015","3.0593183303","Servicios"
"Serv. de seguros y pensiones","2015","25.0597499112203","Servicios"
"Serv. financieros","2015","57.0487508458928","Servicios"
"Servicios basados en conocimiento","2015","5553.09076975534","Servicios"
"Transporte","2015","2329.77778811266","Servicios"
"Viajes","2015","4926.95479294362","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2016","182.355002060148","Servicios"
"Construcción","2016","1.56931746","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2016","95.8773412817344","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2016","1.607185732","Servicios"
"Serv. de seguros y pensiones","2016","36.7121871312917","Servicios"
"Serv. financieros","2016","91.4657976320918","Servicios"
"Servicios basados en conocimiento","2016","6025.82948159309","Servicios"
"Transporte","2016","2022.37992873234","Servicios"
"Viajes","2016","4966.91064260251","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2017","232.101841491248","Servicios"
"Construcción","2017","4.352814","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2017","92.4137898369513","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2017","5.55682509273143","Servicios"
"Serv. de seguros y pensiones","2017","41.407478923366","Servicios"
"Serv. financieros","2017","140.723586390705","Servicios"
"Servicios basados en conocimiento","2017","7693.20597219193","Servicios"
"Transporte","2017","1926.82195813254","Servicios"
"Viajes","2017","5369.61769592281","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2018","217.033144532025","Servicios"
"Construcción","2018","0","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2018","130.343836308894","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2018","0.529929325668448","Servicios"
"Serv. de seguros y pensiones","2018","44.4429097389651","Servicios"
"Serv. financieros","2018","195.491966790909","Servicios"
"Servicios basados en conocimiento","2018","7255.55094873626","Servicios"
"Transporte","2018","1935.96261407447","Servicios"
"Viajes","2018","5562.80782832513","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2019","191.81920628385","Servicios"
"Construcción","2019","0.27721817","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2019","116.960066543741","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2019","0","Servicios"
"Serv. de seguros y pensiones","2019","45.2597320354526","Servicios"
"Serv. financieros","2019","198.105594683118","Servicios"
"Servicios basados en conocimiento","2019","7088.38195335626","Servicios"
"Transporte","2019","1920.95429676332","Servicios"
"Viajes","2019","5240.66273677673","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2020","165.93175662446","Servicios"
"Construcción","2020","0.898778788826229","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2020","65.2602922142949","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2020","0","Servicios"
"Serv. de seguros y pensiones","2020","34.6562210909597","Servicios"
"Serv. financieros","2020","184.534502272738","Servicios"
"Servicios basados en conocimiento","2020","6062.76694492014","Servicios"
"Transporte","2020","1250.22158638275","Servicios"
"Viajes","2020","1727.46752449953","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2021","183.814797777013","Servicios"
"Construcción","2021","0.180134431144886","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2021","69.8299128120436","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2021","0","Servicios"
"Serv. de seguros y pensiones","2021","37.1617762392011","Servicios"
"Serv. financieros","2021","148.969883236337","Servicios"
"Servicios basados en conocimiento","2021","7066.93537840611","Servicios"
"Transporte","2021","1687.64426559646","Servicios"
"Viajes","2021","394.199529154335","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2022","189.750901991141","Servicios"
"Construcción","2022","0.412150186655281","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2022","57.7003708100996","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2022","0","Servicios"
"Serv. de seguros y pensiones","2022","57.9949506252012","Servicios"
"Serv. financieros","2022","194.827990657196","Servicios"
"Servicios basados en conocimiento","2022","8269.05530931958","Servicios"
"Transporte","2022","2172.60230066482","Servicios"
"Viajes","2022","3473.51964800575","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2023","190.69947583589","Servicios"
"Construcción","2023","17.5301401173579","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2023","74.5382350461235","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2023","0","Servicios"
"Serv. de seguros y pensiones","2023","55.5125985608109","Servicios"
"Serv. financieros","2023","196.102784823304","Servicios"
"Servicios basados en conocimiento","2023","8530.70755624904","Servicios"
"Transporte","2023","1980.93548981445","Servicios"
"Viajes","2023","5486.31978479593","Servicios"
"Bienes y serv. del gobierno, n.i.o.p.","2024","244.369379511559","Servicios"
"Construcción","2024","13.8616132692326","Servicios"
"Serv. de mantenimiento y reparaciones n.i.o.p.","2024","87.5463589363093","Servicios"
"Serv. de manufactura sobre insumos físicos pertenecientes a otros","2024","0","Servicios"
"Serv. de seguros y pensiones","2024","66.2236230691763","Servicios"
"Serv. financieros","2024","190.058687632849","Servicios"
"Servicios basados en conocimiento","2024","9289.92181590343","Servicios"
"Transporte","2024","2315.38656270456","Servicios"
"Viajes","2024","4959.48076720386","Servicios"
