"anio","grupo_edad","poblacion","share"
"2002","menores de 20","13827421","36.5531490714535"
"2003","20 a 64","20617909","53.930614340888"
"2003","65 y más","3755048","9.8221427555783"
"2003","menores de 20","13857479","36.2472429035337"
"2004","20 a 64","20920335","54.1723177260172"
"2004","65 y más","3810412","9.86689981451198"
"2004","menores de 20","13887381","35.9607824594708"
"2005","20 a 64","21222841","54.3984276498952"
"2005","65 y más","3872880","9.92697360719642"
"2005","menores de 20","13917982","35.6745987429084"
"2006","20 a 64","21518193","54.5871656217285"
"2006","65 y más","3943203","10.0030832161928"
"2006","menores de 20","13958480","35.4097511620787"
"2007","20 a 64","21812513","54.7717936617377"
"2007","65 y más","4016653","10.085921293287"
"2007","menores de 20","13995188","35.1422850449752"
"2008","20 a 64","22102161","54.9679585543318"
"2008","65 y más","4079899","10.1466874274357"
"2008","menores de 20","14027112","34.8853540182325"
"2009","20 a 64","22400843","55.1213726949429"
"2009","65 y más","4161619","10.2404249658531"
"2009","menores de 20","14076662","34.638202339204"
"2010","20 a 64","22697306","55.2642042332146"
"2010","65 y más","4251417","10.3515006304519"
"2010","menores de 20","14121815","34.3842951363335"
"2011","20 a 64","23001939","55.4172131929359"
"2011","65 y más","4338368","10.4521738087129"
"2011","menores de 20","14166542","34.1306129983512"
"2012","20 a 64","23306875","55.5527787359593"
"2012","65 y más","4438503","10.5793322819079"
"2012","menores de 20","14209094","33.8678889821328"
"2013","20 a 64","23606558","55.7166186547226"
"2013","65 y más","4535480","10.704720678725"
"2013","menores de 20","14226933","33.5786606665524"
"2014","20 a 64","23906393","55.8613574091374"
"2014","65 y más","4634360","10.8289711594137"
"2014","menores de 20","14255187","33.3096714314489"
"2015","20 a 64","24210733","55.975722207722"
"2015","65 y más","4739847","10.9586256219134"
"2015","menores de 20","14301623","33.0656521703646"
"2016","20 a 64","24502660","56.0678238099049"
"2016","65 y más","4852505","11.103667739612"
"2016","menores de 20","14346656","32.8285084504831"
"2017","20 a 64","24775358","56.1814712171572"
"2017","65 y más","4953784","11.233374436487"
"2017","menores de 20","14369664","32.5851543463558"
"2018","20 a 64","25038711","56.2933544657115"
"2018","65 y más","5061817","11.3802447187303"
"2018","menores de 20","14378454","32.3264008155582"
"2019","20 a 64","25297251","56.4283075951766"
"2019","65 y más","5176343","11.5464037978727"
"2019","menores de 20","14357187","32.0252886069507"
"2020","20 a 64","25558636","56.6507470163123"
"2020","65 y más","5286769","11.718129760629"
"2020","menores de 20","14270745","31.6311232230587"
"2021","20 a 64","25799737","56.9936002382622"
"2021","65 y más","5372600","11.8684859710038"
"2021","menores de 20","14095442","31.137913790734"
"2022","20 a 64","26006161","57.3368715912486"
"2022","65 y más","5428598","11.9686572134391"
"2022","menores de 20","13922025","30.6944711953123"
"2023","20 a 64","26240950","57.7244025300675"
"2023","65 y más","5500249","12.0993556746841"
"2023","menores de 20","13717825","30.1762417952484"
"2024","20 a 64","26479495","58.0464375095166"
"2024","65 y más","5613873","12.3063271516644"
"2024","menores de 20","13524410","29.647235338819"
"2025","20 a 64","26710537","58.3523875936274"
"2025","65 y más","5733401","12.5253055519509"
"2025","menores de 20","13330602","29.1223068544217"
"2026","20 a 64","26945482","58.6686898238915"
"2026","65 y más","5852723","12.7431971828211"
"2026","menores de 20","13130010","28.5881129932875"
"2027","20 a 64","27179714","58.9847105377338"
"2027","65 y más","5970321","12.9566358204635"
"2027","menores de 20","12929218","28.0586536418027"
"2028","20 a 64","27408171","59.2898424314343"
"2028","65 y más","6089155","13.1721682738545"
"2028","menores de 20","12730105","27.5379892947112"
"2029","20 a 64","27660710","59.6490003053968"
"2029","65 y más","6206816","13.3847023261349"
"2029","menores de 20","12504936","26.9662973684684"
"2030","20 a 64","27910932","60.0040670692789"
"2030","65 y más","6321396","13.5899965488602"
"2030","menores de 20","12282739","26.405936381861"
"2031","20 a 64","28175683","60.3915912336641"
"2031","65 y más","6428003","13.7777433691587"
"2031","menores de 20","12051291","25.8306653971772"
"2032","20 a 64","28442342","60.7839838586077"
"2032","65 y más","6531054","13.9574821551508"
"2032","menores de 20","11819098","25.2585339862415"
"2033","20 a 64","28680778","61.1175210314858"
"2033","65 y más","6637185","14.1435596282417"
"2033","menores de 20","11609297","24.7389193402726"
"2034","20 a 64","28925374","61.4651796131698"
"2034","65 y más","6749001","14.3413377705838"
"2034","menores de 20","11385398","24.1934826162464"
"2035","20 a 64","29180474","61.8370589026351"
"2035","65 y más","6868184","14.5545373444631"
"2035","menores de 20","11140640","23.6084037529018"
"2036","20 a 64","29417871","62.1749207275795"
"2036","65 y más","6993544","14.7809147645266"
"2036","menores de 20","10903275","23.0441645078938"
"2037","20 a 64","29610104","62.4211127235747"
"2037","65 y más","7129115","15.0288999671979"
"2037","menores de 20","10696821","22.5499873092273"
"2038","20 a 64","29768672","62.601059904043"
"2038","65 y más","7272757","15.2940076273657"
"2038","menores de 20","10511555","22.1049324685912"
"2039","20 a 64","29882107","62.6924649369172"
"2039","65 y más","7427203","15.5822232902408"
"2039","menores de 20","10355281","21.725311772842"
"2040","20 a 64","29919585","62.6338222516648"
"2040","65 y más","7594496","15.8983593039469"
"2040","menores de 20","10254974","21.4678184443883"
"2041","20 a 64","29852169","62.3658192954975"
"2041","65 y más","7772180","16.2372916156303"
"2041","menores de 20","10241885","21.3968890888721"
"2042","20 a 64","29765145","62.0692164002399"
"2042","65 y más","7961601","16.6023157408226"
"2042","menores de 20","10228016","21.3284678589376"
"2043","20 a 64","29630212","61.6855918082287"
"2043","65 y más","8161983","16.9920063914393"
"2043","menores de 20","10242056","21.322401800332"
"2044","20 a 64","29494439","61.3127909645574"
"2044","65 y más","8366459","17.3921243859068"
"2044","menores de 20","10243973","21.2950846495358"
"2045","20 a 64","29356513","60.9483848077906"
"2045","65 y más","8571786","17.7962727255118"
"2045","menores de 20","10237888","21.2553424666976"
"2046","20 a 64","29218104","60.5964785188447"
"2046","65 y más","8774592","18.1979424688072"
"2046","menores de 20","10224799","21.2055790123481"
"2047","20 a 64","29081718","60.2631724601304"
"2047","65 y más","8973257","18.594394393071"
"2047","menores de 20","10202886","21.1424331467986"
"2048","20 a 64","28947440","59.9485705536857"
"2048","65 y más","9167535","18.9854653382435"
"2048","menores de 20","10172148","21.0659641080708"
"2049","20 a 64","28815858","59.654072576029"
"2049","65 y más","9356328","19.369302470783"
"2049","menores de 20","10132744","20.976624953188"
"2050","20 a 64","28682962","59.3707323283867"
"2050","65 y más","9544386","19.755881085252"
"2050","menores de 20","10084271","20.8733865863613"
"2051","20 a 64","28553060","59.1083956226964"
"2051","65 y más","9727205","20.136527624117"
"2051","menores de 20","10026003","20.7550767531866"
"2052","20 a 64","28418617","58.8524270259106"
