"ppg_label","programa_desc","porcentaje","nuevo_programa_desc"
"No PPG","Desarrollo de Seguros Publicos de Salud (BIRF N° 8853-AR/BIRF N° 9222-AR/BIRF N° 9547-AR)",0.0852998342235184,"otros"
"No PPG","Desarrollo del Plan Antartico",0.00524543034960546,"otros"
"No PPG","Desarrollo del Turismo Nacional",0.00136372389540287,"otros"
"No PPG","Desarrollo Sostenible",0.000657570744406974,"otros"
"No PPG","Desarrollo Sustentable de la Cuenca Matanza - Riachuelo",0.0426442142110166,"otros"
"No PPG","Desarrollo Tecnologico para la Defensa",0.0111813422906602,"otros"
"No PPG","Desarrollo y Aplicacion de la Tecnologia Minera",0.00195246428413604,"otros"
"No PPG","Desarrollo y Fomento de la Cultura Ciudadana y la Economia Creativa",0.00333092143474661,"otros"
"No PPG","Desarrollos y Suministros para la Energia Nuclear",0.0749651291283625,"otros"
"No PPG","Deudas Directas de la Administracion Central",10.4995614032321,"Deudas Directas de la Administracion Central"
"No PPG","Difusion y Fortalecimiento del Patrimonio Cultural",0.00537197407767697,"otros"
"No PPG","Economia Social",0.000127356887515219,"otros"
"No PPG","Ejecucion de Infraestructura Vial para el Desarrollo Economico, Social y Productivo",0.00184954607129744,"otros"
"No PPG","Ejecucion de Obras, Operacion y Mantenimiento en Corredores Viales",0.0154855548942462,"otros"
"No PPG","Ejecucion de Planes, Programas y Proyectos para el Mejoramiento del Transporte",0.0355615666567328,"otros"
"No PPG","Ejecucion Obras de Mantenimiento y Rehabilitacion en Red por Administracion",0.260600426438013,"otros"
"No PPG","Ejecucion Obras de Rehabilitacion y Mantenimiento en Red por Sistema de Gestion Integral",0.0250026991131019,"otros"
"No PPG","Ejecucion Obras de Seguridad en Rutas Nacionales",0.00294848232514705,"otros"
"No PPG","Ejercicio de la Accion Publica y Defensa de la Legalidad",0.396303721375575,"otros"
"No PPG","Elaboracion y Actualizacion de Informacion Geoespacial y Cartografia Basica Nacional",0.00656110997859488,"otros"
"No PPG","Enseñanza, Capacitacion y Habilitacion",0.00241664081916055,"otros"
"No PPG","Estadisticas, Estudios e Investigaciones en Salud",0.000534103162228038,"otros"
"No PPG","Estudios e Investigaciones Historicas sobre Juan Domingo Peron",0.000161661860533042,"otros"
"No PPG","Estudios e Investigaciones Historicas sobre Maria Eva Duarte de Peron",5.05735552336122e-05,"otros"
"No PPG","Evaluacion y Acreditacion Universitaria",0.00494793399258338,"otros"
"No PPG","Federalizacion de las Politicas en Ciencia, Tecnologia e Innovacion",9.75977644904813e-07,"otros"
"No PPG","Financiamiento de la Produccion",0.00352146615157731,"otros"
"No PPG","Financiamiento de Organismos Internacionales para Desarrollo Cientifico - Tecnologico",0.00308374014162036,"otros"
"No PPG","Financiamiento para el Fomento de las Artes",0.002336507408433,"otros"
"No PPG","Finanzas, Bancos y Seguros",0.00297588573262569,"otros"
"No PPG","Fiscalizacion Cumplimiento de la Ley de Riesgos del Trabajo",0.0117030529899149,"otros"
"No PPG","Fiscalizacion, Regulacion y Control del Servicio de Transporte Terrestre",0.0230910571756407,"otros"
"No PPG","Fomento al Desarrollo Tecnologico",0.00335238183934281,"otros"
"No PPG","Fomento, Produccion y Difusion del Teatro",0.00657039927156845,"otros"
"No PPG","Fomento, Promocion y Apoyo a la Cultura",0.00149037039620697,"otros"
"No PPG","Fondo de Fortalecimiento Fiscal de la Provincia de Buenos Aires",0,"otros"
"No PPG","Fondo Nacional de Incentivo Docente",0.0657037871697062,"otros"
"No PPG","Formacion de Recursos Humanos",0.509433859798446,"Formacion de Recursos Humanos"
"No PPG","Formacion de Recursos Humanos Sanitarios y Asistenciales",0.00978435954703392,"otros"
"No PPG","Formacion Universitaria en Derechos Humanos",0.00101139416818719,"otros"
"No PPG","Formacion y Capacitacion",0.281335224011275,"otros"
"No PPG","Formacion y Capacitacion de la Gendarmeria Nacional",0.108711971764568,"otros"
"No PPG","Formacion y Capacitacion de la Policia Federal Argentina",0.0371253620679403,"otros"
"No PPG","Formacion y Capacitacion en Seguridad Aeroportuaria",0.00224564352473249,"otros"
"No PPG","Formacion y Capacitacion Profesional de la Prefectura Naval Argentina",0.041455373077834,"otros"
"No PPG","Formacion y Sancion de Leyes Nacionales",0.169002197403737,"otros"
"No PPG","Formacion y Sancion Legislativa",0.201150877192936,"otros"
